,tel,link,descricao
HIPER VAREJAO,+55 79 3215-5017,"['https://m.yelp.com/biz/hiper-varej%C3%A3o-aracaju', 'https://www.instagram.com/hipervarejao/?hl=en', 'https://www.facebook.com/hipervarejao/', 'https://guiafacil.com/site/hiper-varejao/aracaju/se/7932154741/', 'https://www.econodata.com.br/consulta-empresa/09323331000137-RJ-COMERCIO-DE-FRUTAS-E-VERDURAS-LTDA', 'https://www.apontador.com.br/local/se/aracaju/alimentos_e_bebidas/C411326136592C5928/hiper_varejao.html', 'https://local.infobel.br.com/BR102156089-7932155017/hiper_varejao-aracaju.html', '/search?q=HIPER+VAREJAO,+ARACAJU+-+SE&tbm=isch&source=univ&fir=HpX2w1-IfN7KAM%252CTUI8p8W5kGwlMM%252C_%253BG3XKKEyRqEA0jM%252CACuREWWi0zYmrM%252C_%253B4JGlQjpGKqNUNM%252Crh_QAlzSwPPjPM%252C_%253BUJa-efUtq7-xfM%252COETMS5CIfHgZ_M%252C_%253BhnfRi8KGvRgpYM%252CQL2TcsWe0KzH_M%252C_%253BCFPEpUOmJzupaM%252C6UOQN5F4wTQoOM%252C_%253BLpr5hDdXmTd4fM%252CNLhvYLu9juNvhM%252C_%253B5auAiCl-WGoVNM%252Caq2rIW0-scUcdM%252C_%253BEKlSQe-9d13bCM%252C5O_XnX1yq1bkVM%252C_%253B9NA6SGXK4I5K3M%252CGzSnssk2gVP14M%252C_&usg=AI4_-kSSksVmwFVWgwv11KcvXZZvFiN5gQ&sa=X&ved=2ahUKEwi8ob2ZuJb9AhVrF1kFHUf8AZ8QjJkEegQIJxAC', 'https://www.descubraonline.com/guia/se/aracaju/hiper-varejao-09323331000137/']","['Av. Coelho e Campos 90. Aracaju - SE 49065-210. Brazil. Directions. (79) 3215-4741. Call Now. More Info. Menu for Hiper Varejão. Known For.', '12.1k Followers, 1944 Following, 933 Posts - See Instagram photos and videos from Hiper Varejão (@hipervarejao)', ""Av. Coelho e Campos, 100, 49055-180 Aracaju, SE, Brazil. ... May be an image of 1 person and text that says 'HIPER VAREJÃO Cestou Faça."", 'Onde fica HIPER VAREJAO?', 'Consulte o CNPJ da HIPER VAREJAO de Aracaju, SE, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de funcionários,\xa0...', '... as fotos e as avaliações do Hiper Varejao especializado em null localizado em Avenida Mamede Paes Mendonça, 1000, 49055-670, Centro, Aracaju, SE.', 'Hiper Varejao - FRUTOS, LEGUMES FRESCOS E TEMPORÕES (RETALHO), Aracaju, 49010, Avenida Coelho e Campos 110 ... 49010 Aracaju Sergipe - BrazilExibir telefone.', 'Confira abaixo os telefones, endereço e e-mail para contato de Hiper Varejao em Aracaju, Sergipe. RJ COMERCIO DE FRUTAS E VERDURAS LTDA com o CNPJ 09.323.331/\xa0...']"
MBA MERCADINHO,+55 79 99917-9591,"['https://www.econodata.com.br/consulta-empresa/05002098000130-MERCADINHO-BARBOSA-E-ANDRADE-LTDA', 'https://www.apontador.com.br/local/se/aracaju/mercearias/C404911512520T520F/mba_mercadinho.html', 'https://www.descubraonline.com/guia/se/aracaju/mba-mercadinho-05002098000130/', 'https://cnpj.biz/05002098000130', 'https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-Mba_Mercadinho-Aracaju-site_203859526-4936', 'http://brfirmas.org/Mba+Mercadinho-1492842', 'https://www.diariocidade.com/se/aracaju/guia/mba-mercadinho-05002098000130/', 'https://paginaamarela.com.br/empresa/mba-mercadinho/aracaju/se/12636079']","['Consulte o CNPJ da MBA MERCADINHO de Aracaju, SE, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de funcionários,\xa0...', 'Encontre qual o telefone, o endereço, as fotos e as avaliações do Mba Mercadinho especializado em null localizado em Rua Sílvio Romero, 49060-630,\xa0...', 'Confira abaixo os telefones, endereço e e-mail para contato de Mba Mercadinho em Aracaju, Sergipe. · Endereço e dados de contato de MBA MERCADINHO · Locais nas\xa0...', 'Localização. Logradouro: Rua Silvio Romero, 425. Bairro: Santo Antonio. CEP: 49060-630. Município: Aracaju. Estado: Sergipe. Para correspondência: Mba\xa0...', 'Jan 16, 2023 — Estações de Ônibus perto de Mba Mercadinho em Aracaju ; Rua Do Carmo, 150, 2 min a pé, VISUALIZAR ; Avenida Visconde De Maracaju, 4 min a pé\xa0...', 'As informações acima sobre a Mba Mercadinho, localizada no endereço Rua Silvio Romero 425, Aracaju, SE 49060-630, são precisas e foram encontradas em fontes\xa0...', 'Mba Mercadinho em Aracaju - SE, Sergipe. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Diário Cidade.', 'Mba Mercadinho está no bairro Santo Antônio na cidade de Aracaju, SE. Veja aqui o telefone ☎ Telefone (79)... e o endereço completo para nos visitar.']"
MERCEARIA ANTONIO,NAO DISPONIBILIZADO,"['https://www.facebook.com/merceariasantoantonioo/', 'https://www.solutudo.com.br/mercearia-antonio-189771', 'https://www.apontador.com.br/local/se/aracaju/mercearias/QXN6E9KQ/mercearia_do_antonio.html', 'https://applocal.com.br/empresa/mercearia-antonio/aracaju/se/12638291', 'https://www.descubraonline.com/guia/se/aracaju/mercearia-antonio-02292404000121/', 'https://foursquare.com/v/mercearia-santo-antonio/50df771ae4b0a94f581c60e6', 'https://www.diariocidade.com/se/aracaju/guia/mercearia-antonio-02292404000121/']","['Mercearia Santo Antônio, Aracaju, Brazil. 147 likes · 211 were here. Aqui você encontra o melhor preço, e produtos de qualidade! Venham conferir!', '... Minimercados em Aracaju, SE | Mercearia antônio em Aracaju, SE | Solutudo. ... Rua Alexandre Bispo de Andrade, 209, Olaria Aracaju/SE - CEP 49092-070\xa0...', 'Mercearia do Antonio. Rua Evangelino da Paixão, 346, Lt Planal, Olaria,Aracaju - SE, CEP: 49092-510. 0 avaliações.', 'Endereço no bairro Olaria: Logradouro: Rua Alexandre Bispo de Andrade. Número: 209. Bairro: Olaria. Cidade: Aracaju. Estado: Sergipe. CEP: 49092-070.', 'Confira abaixo os telefones, endereço e e-mail para contato de Mercearia Antonio em Aracaju, Sergipe. JOSE LIMA MENDONCA com o CNPJ 02.292.404/0001-\xa0...', 'See 1 tip from 9 visitors to mercearia santo antonio. ""Em reformas ...."" ... See what your friends are saying about mercearia santo antonio. ... Aracaju, SE', 'A empresa Mercearia Antonio, localizada no bairro Olaria, em Aracaju-SE foi fundada em 1997. A atividade principal da empresa é Comércio Varejista de\xa0...']"
MERCEARIA DO VASQUINHO,+55 79 98885-0959,"['https://www.waze.com/live-map/directions/mercearia-do-vasquinho-rua-universo-aracaju?to=place.w.211617434.2116370953.6676833', 'https://www.apontador.com.br/local/se/aracaju/alimentos_e_bebidas/C406994515150D150B/mercearia_do_vasquinho.html', 'https://www.descubraonline.com/guia/se/aracaju/mercearia-do-vasquinho-07002286000193/', 'https://paginaamarela.com.br/empresa/mercearia-do-vasquinho/aracaju/se/12662217', 'https://informacoesdobrasil.com.br/local/se/aracaju/mercearia-do-vasquinho-avenida-universo-281+8623413/', 'https://www.diariocidade.com/se/aracaju/guia/mercearia-do-vasquinho-07002286000193/', 'https://br.todosnegocios.com/pt/mercearia-do-vasquinho-79-3249-3810', 'https://www.benditoguia.com.br/empresa/mercearia-do-vasquinho-inacio-barbosa-aracaju-se', 'https://applocal.com.br/empresa/mercearia-do-vasquinho/aracaju/se/12663926']","['Realtime driving directions to Mercearia do Vasquinho, Rua Universo, Aracaju, based on live traffic updates and road conditions – from Waze fellow drivers.', 'Mercearia do Vasquinho. Rua Mercúrio, , Inácio Barbosa,Aracaju - SE, CEP: 49040-380. 1 avaliações. Aberto agora. Dom: 10:00 às 18:00. Seg à Sáb:.', 'Confira abaixo os telefones, endereço e e-mail para contato de Mercearia Do Vasquinho em Aracaju, Sergipe. ; Razão Social: EVANDRO DOS SANTOS ; Nome Fantasia:\xa0...', 'Mercearia do Vasquinho exerce/atua como Ramo de Atividade de Mercearias e localiza-se na Rua Mercúrio no bairro Inácio Barbosa na cidade de Aracaju, SE.', 'Informações sobre MERCEARIA DO VASQUINHO - Avenida Universo, 281 - TERREO, Aracaju - SE. ... Subdistrito: ARACAJU Bairro(s): Inácio Barbosa.', 'Mercearia Do Vasquinho em Aracaju - SE, Sergipe. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Diário\xa0...', 'A Mercearia do Vasquinho está localizada em Av. Universo, 286 - Inácio Barbosa, Aracaju - SE, 49040-610, Brazil, Sergipe.', 'Mercearia do Vasquinho Inácio Barbosa Aracaju SE - Mercado em Aracaju localizada no endereço Av. Universo, 286 - Inácio Barbosa, Aracaju - SE, 49040-610,\xa0...', 'Precisa realizar a compra do mês? Mercearia do Vasquinho lugar da economia! Somos do ramo de Mercearias na cidade de Aracaju, oferecemos produtos de\xa0...']"
EMPORIO QUALITA,NAO DISPONIBILIZADO,"['https://www.apontador.com.br/local/sc/ararangua/mercearias/C40686470C5C5U5C5A/emporio_qualita.html', 'https://cnpj.biz/00987070000185', 'https://www.diariocidade.com/sc/ararangua/guia/emporio-qualita-00987070000185/', 'https://www.descubraonline.com/guia/sc/ararangua/emporio-qualita-00987070000185/', '/search?q=EMPORIO+QUALITA,+ARARANGUA+-+SC&tbm=isch&source=univ&fir=e_rr-pTQsBO1wM%252C50YGr4shaaUCbM%252C_%253BJSb5HvS9QC5pqM%252CdfOY3lLXpXkbgM%252C_%253Bb_7Az5DFn7WhQM%252COnoo2jJ-jcKsHM%252C_%253BBM_RQx2FwV0IVM%252CdfOY3lLXpXkbgM%252C_%253Bkf3hv4W6-BgM4M%252CX-nhwjkCkmwURM%252C_%253Bdt9tLQyr6iT8fM%252CdfOY3lLXpXkbgM%252C_%253BH9JOkRDSexc7hM%252C0nrJ2Gl_Wb4qYM%252C_%253BUPta9p9qfyPrRM%252CdfOY3lLXpXkbgM%252C_%253B_WYz9qNIR9ErCM%252COnoo2jJ-jcKsHM%252C_%253BAC3mE-cwdhJ2HM%252C0nrJ2Gl_Wb4qYM%252C_&usg=AI4_-kTcIzaip_LmAzvlNmZpvvihG5pi4g&sa=X&ved=2ahUKEwi-7s-wuJb9AhV0FlkFHeOVDBYQjJkEegQICBAC', 'http://brfirmas.org/Emporio+Qualita-1317922', 'https://transparencia.cc/dados/cnpj/00987070000185-SC-neville-hoff/', 'https://empresasdobrasil.com/empresa/emporio-qualita-00987070000185', 'http://cnpj.info/Neville-Hoff-Emporio-Qualita']","['Emporio Qualita. Avenida Getúlio Vargas, 865, SALA 04, ... Localização. Avenida Getúlio Vargas, 865, SALA 04, Centro, 88900-000, Araranguá - SC.', 'Localização. Logradouro: Avenida Getulio Vargas, 865. Complemento: Sala 04. Bairro: Centro. CEP: 88900-001. Município: Araranguá. Estado: Santa Catarina.', 'Emporio Qualita em Araranguá - SC, Santa Catarina. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Diário\xa0...', 'Emporio Qualita em Araranguá, Santa Catarina. Acesse agora e confira ✆ Telefones, Endereço, E-mail, Situação, CNAEs, Data de Abertura...', 'Emporio Qualita ; Padaria e Confeitaria Marron Glace. Av. Getúlio Vargas 547, Araranguá, SC 88900-000. Distância: 0.1904 quilômetros ; Mercearia da Nani. Rua Exp.', 'A empresa Neville Hoff, CNPJ 00.987.070/0001-85, de 14/12/1995, está com a situação ATIVA na RFB. Veja todos os Detalhes.', 'AV GETULIO VARGAS, 865, SALA 04 · Bairro CENTRO · Cidade Araranguá · CEP 88.900-000 · Telefone: Não disponível\xa0...', 'Endereço. Avenida Getulio Vargas, 865. Sala 04. CENTRO ARARANGUA - SC 88900-001. Contatos. Atividades de negócios da empresa.']"
MERCADO AVENIDA,NAO DISPONIBILIZADO,"['https://www.descubraonline.com/guia/sc/ararangua/mercado-avenida-07417945000152/', 'https://cnpj.biz/07417945000152', 'https://cidadeurgente.com/sc/ararangua/guia/mercado-avenida-07417945000152/', 'https://www.facebook.com/mercadochicosom/', '/search?q=MERCADO+AVENIDA,+ARARANGUA+-+SC&tbm=isch&source=univ&fir=V8YS65GKRGyRyM%252Cc9SKQftS80LwhM%252C_%253B8QYGrPeiuFe5XM%252Cc9SKQftS80LwhM%252C_%253Ben_no0fD4CQ7OM%252CAzf_wP4jJJ0nSM%252C_%253B7jEG2RB42SUgtM%252Cc9SKQftS80LwhM%252C_%253Bs6keYDE48sxvPM%252Cje8PnFVkIyz1OM%252C_%253BJQBl-FaaTQdaZM%252Cje8PnFVkIyz1OM%252C_%253B6FFTwGMFPBjljM%252CyRlI1RBe4iRytM%252C_%253BK50tyGlIpSXLOM%252Cc9SKQftS80LwhM%252C_%253BI9Qsy5V43YZG4M%252Cc9SKQftS80LwhM%252C_%253Bafip6xVdkXVFOM%252Cje8PnFVkIyz1OM%252C_&usg=AI4_-kTx2xeqZvVWEq_F2kZl7D3pSPS2Jg&sa=X&ved=2ahUKEwi_nom2uJb9AhUOEFkFHTwhC-EQjJkEegQIExAC', 'https://www.apontador.com.br/local/sc/ararangua/alimentos/C40219675C595E595D/mercado_23_horas.html', 'http://setesupermercados.com.br/']","['Mercado Avenida em Araranguá, Santa Catarina. Acesse agora e confira ✆ Telefones, Endereço, E-mail, Situação, CNAEs, Data de Abertura...', 'Localização. Logradouro: Avenida Getulio Vargas, 2817. Complemento: Sala 04. Bairro: Jardim das Avenidas. CEP: 88900-001. Município: Araranguá.', 'Mercado Avenida em Araranguá - SC, Santa Catarina. ... Endereço: Avenida Getulio Vargas, 2817, SALA 04, Jardim das Avenidas, Araranguá/SC - CEP 88900-001\xa0...', '“Aqui você encontra tudo que precisa”  Mercado Chico Som 3  Bairro: Jardim... ... Rua Francisco Anastacio, 290 - Jardim Cibele - Araranguá/SC.', 'Mercado 23 Horas. Rua Vereador Manoel Costa, 107, SALA 01, Jardim das Avenidas,Araranguá - SC, CEP: 88900-000. 0 avaliações. Aberto agora.', 'Rua Pedro João Pereira, 676. Bairro Mato Alto - Araranguá, SC Avenida Padre Antônio Luiz Dias, 866. Vila São José - Araranguá, SC\xa0...']"
SUPERMERCADO PEREIRA,+55 48 3524-9063,"['https://pt-br.facebook.com/pereirasupermercado.sc/', 'https://www.solutudo.com.br/sc/ararangua/super-minimercados/supermercado-pereira-10122125', 'https://nicelocal.br.com/santa-catarina/shops/supermercado_pereira/', 'https://www.diariocidade.com/sc/ararangua/guia/supermercado-pereira-03495337000105/', 'https://cidadeurgente.com/sc/ararangua/guia/supermercado-pereira-03495337000105/', 'https://m.yelp.com/biz/supermercado-sete-ararangu%C3%A1-2', 'https://soamaps.com/country/BR/69754/supermercado-pereira', 'https://cnpj.biz/03495337000105', 'https://www.descubraonline.com/guia/sc/ararangua/supermercado-pereira-03495337000105/']","['Supermercado Pereira ; Endereço. Alameda Ascendino Moraes De Sa, 7799, Santa Catarina Araranguá/SC - CEP 88902-490 ; Telefone. (48) 3524-3754 ; Email. contefar-01@\xa0...', 'Supermercado Pereira,: localização da loja e detalhes de contato, ... Endereço. 88902-552, Brasil, Araranguá - SC, R. Abílio Geronimo Pereira, BR 101 KM 420.', 'Confira no mapa como chegar em Supermercado Pereira, no endereço: Alameda Ascendino Moraes de Sa, 7799, Santa Catarina, Araranguá-SC. CEP: 88902-490 .', 'Confira no mapa como chegar em Supermercado Pereira, no endereço: Alameda Ascendino Moraes de Sa, 7799, Santa Catarina, Araranguá-SC. CEP: 88902-490 .', 'Photos · Map · R. Pedro João Pereira 676. Araranguá - SC 88900-000. Brazil. Directions · (48) 3522-1905. Call Now · More Info. Menu for Supermercado Sete · Known For.', 'Santa Catarina, Araranguá - State of Santa Catarina, 88900-000, Brazil. ... The address of the Supermercado Pereira is Santa Catarina, Araranguá - State of\xa0...', 'Todos os dados da empresa Supermercado Pereira L. Serafim Pereira Botke LTDA com CNPJ 03.495.337/0001-05 - 03495337000105 de Araranguá/SC. Telefone, E-mail.', 'Confira abaixo os telefones, endereço e e-mail para contato de Supermercado Pereira em Araranguá, Santa Catarina. L. SERAFIM PEREIRA BOTKE LTDA com o CNPJ\xa0...']"
MERCADO MAR E SOL,NAO DISPONIBILIZADO,"['https://www.solutudo.com.br/empresas/sc/ararangua/super-minimercados/mercado-mar-sol-10149202', 'https://www.diariocidade.com/sc/ararangua/guia/mercado-mar-e-sol-05916144000106/', 'https://www.apontador.com.br/local/sc/ararangua/alimentos/C40180051B382N382D/mercado_mar_sol.html', 'https://www.descubraonline.com/guia/sc/ararangua/mercado-mar-e-sol-05916144000106/', 'https://cidadeurgente.com/sc/ararangua/guia/mercado-mar-sol-05808457000140/', 'https://cnpj.biz/05808457000140', 'https://consultas.plus/lista-de-empresas/santa-catarina/ararangua/97371777000102-mercado-mar-e-sol-ltda/']","['A empresa Mercado Mar & Sol trabalha desde 2003 na categoria Super - Minimercados na cidade de Araranguá, SC na Rua Antonio Bertoncini, Nº 1.737 - Mato Alto\xa0...', 'A empresa Mercado Mar E Sol, localizada no bairro Mato Alto, em Araranguá-SC foi fundada em 2003. A atividade principal da empresa é Comércio Varejista de\xa0...', '... o endereço, as fotos e as avaliações do Mercado Mar & Sol especializado em null localizado em Rua Antônio Bertoncini, 88900-000, Mato Alto, Araranguá, SC.', 'Confira abaixo os telefones, endereço e e-mail para contato de Mercado Mar E Sol em Araranguá, Santa Catarina. FRANCISCO DE LORENZI CANCELIER com o CNPJ 05.916.', 'Confira no mapa como chegar em Mercado Mar & Sol, no endereço: Rua Antonio Bertoncini, 1.737, Mato Alto, Araranguá-SC. CEP: 88900-001 .', 'Todos os dados da empresa Mercado Mar & Sol Everaldo Costa Caetano Mercado com CNPJ 05.808.457/0001-40 - 05808457000140 de Araranguá/SC. Endereço, CNAE(s).', 'A empresa Mercado Mar E Sol Ltda, aberta em 11/04/1994, é uma MATRIZ do tipo Sociedade Empresária Limitada que está situada em Araranguá – SC.']"
COMERCIAL MERCELANDIA,NAO DISPONIBILIZADO,"['/search?q=COMERCIAL+MERCELANDIA,+BOA+VISTA+-+RR&tbm=isch&source=univ&fir=33w4yWWGYt7h7M%252CieKwU71Xu_0-GM%252C_%253BeHoAKvaBCCGH8M%252CP7rzkeVMaPlAnM%252C_%253BW2TtXW1B3GgGEM%252CqxXKPMMgu3oYcM%252C_%253Bd1YxOiVpGx15GM%252CwNqNjnTRwMP4RM%252C_%253B2cpBfj_bJrSA2M%252CNn-5Psgcaf0voM%252C_%253BBgCuJOWNOxJ3uM%252C2CYME3t5JUWLCM%252C_%253BYFToT5TJdiZr9M%252CM5Zjuxp1Rk8NFM%252C_%253B2FOxpCFbdwg-pM%252CsxIC5Xx9uCJ0qM%252C_%253BNWsXTZIbQVDwbM%252CLBkzc1iva4UtQM%252C_%253B_3uP-cbr4PFXmM%252CieKwU71Xu_0-GM%252C_&usg=AI4_-kREIa6Hm9tjfrfYDtlQt72fnFKi7g&sa=X&ved=2ahUKEwifs4_HuJb9AhXMLFkFHZh9D_sQjJkEegQIFBAC', 'https://www.listaamarela.com.br/empresa/rr/boa_vista/comercial_mercelandia_11098241/mapa', 'https://brazilguide.net/c/boaventura-v-dos-santos-03380627000103', 'https://www.guiatelefone.com/boa-vista-rr/mercados-e-supermercados/2410591/comercial-mercelandia', 'https://moovitapp.com/index/en/public_transit-Jiu_Jitsu_Roraima_Top_Team-Boa_Vista-site_37935996-4307', 'https://en.wikipedia.org/wiki/Boa_Vista,_Roraima', 'https://boa-vista-eco-hotel.booked.net/', 'https://pubmed.ncbi.nlm.nih.gov/6879054/']","['COMERCIAL MERCELANDIA. COMERCIAL MERCELANDIA está na categoria da Supermercados em Boa Vista/RR. Avenida Brilho do Sol , 1146. Bela Vista, Boa Vista, RR.', 'A empresa Comercial Mercelandia localizada em Avenida Brasil, 1146, Treze de Setembro, Boa Vista/RR - possui CNPJ 033.806.270/0010-3.', 'Mercantil Amarelinho Bela Vista, Boa Vista, RR Supermercados · Mercantil Mourão Bela Vista, Boa Vista, RR Supermercados · Comercial Aliança. (95) 3626-09...', 'Jan 15, 2023 — Directions to Jiu Jitsu - Roraima Top Team (Boa Vista) with public transportation. The following transit lines have routes that pass near\xa0...', ""Boa Vista is the capital of the Brazilian state of Roraima. Situated on the western bank of the Branco River, the city lies 220 km (140 mi) from Brazil's\xa0..."", 'Boa Vista Eco - Rabil airport is 0.5 miles from this 4-star hotel, which lies in Mecejana district.', 'by CH Osanai · 1983 · Cited by 100 — [Dengue outbreak in Boa Vista, Roraima. Preliminary report]. Rev Inst Med Trop Sao Paulo. 1983 Jan-Feb;25(1):53-4. [Article in Portuguese]\xa0...']"
KAZOKU COMERCIAL,NAO DISPONIBILIZADO,"['https://www.solutudo.com.br/empresas/rr/boa-vista/depositos-de-bebidas/kazoku-comercial-11235474', 'https://www.descubraonline.com/guia/rr/boa-vista/kazoku-comercial-03420140000107/', 'https://consultas.plus/lista-de-empresas/roraima/boa-vista/03420140000107-kazoku-comercial-eireli/', '/search?q=KAZOKU+COMERCIAL,+BOA+VISTA+-+RR&tbm=isch&source=univ&fir=9qnaB7MzWmnE9M%252CHPTgCQDRNpXLuM%252C_%253B4r5Ah17MxIo5fM%252C-i8nBQAH7AgwJM%252C_%253BRok9i8ziCFS-tM%252CNLIiBCWOgmKwWM%252C_%253BdAr7f7uDN5kCbM%252CDGo9pRTA6FrMVM%252C_%253BgBpNZwbLK6ThEM%252CDGo9pRTA6FrMVM%252C_%253B_larddek9Bp3nM%252CNeKiceMhYJYVJM%252C_%253B2-aINrMUhv1nOM%252CgvaxjQWqAGc3tM%252C_%253B99rgdKq7xMx42M%252CNeKiceMhYJYVJM%252C_%253B5pPnONW9CI7dmM%252CC4qyTPBeh0rP0M%252C_%253Bjz6VvpkaJ8ClWM%252CNLIiBCWOgmKwWM%252C_&usg=AI4_-kTUz5PfwhrFKeoltfIdAhPHk148BA&sa=X&ved=2ahUKEwi9vpXNuJb9AhWiElkFHbBuBCoQjJkEegQIEhAC', 'https://cnpj.biz/03420140000107', 'http://cnpj.info/Kazoku-Comercial-Eireli-Kazoku-Comercial', 'https://cidadeurgente.com/rr/boa-vista/guia/kazoku-comercial-03420140000107/', 'https://www.informecadastral.com.br/cnpj/kazoku-comercial-eireli-03420140000107']","['A empresa Kazoku Comercial trabalha desde 1999 na categoria Depósitos de Bebidas na cidade de Boa Vista, RR na Avenida Sao Joaquim, Nº 759 - Doutor Silvio\xa0...', 'Kazoku Comercial em Boa Vista, Roraima. ... Boa Vista, Roraima. KAZOKU COMERCIAL EIRELI com o CNPJ 03.420.140/0001-07, iniciou as atividades em 24/09/1999.', 'A empresa Kazoku Comercial Eireli, aberta em 24/09/1999, é uma MATRIZ do tipo Empresa Individual de Responsabilidade Limitada (de Natureza Empresária) que\xa0...', 'Sep 24, 1999 — Contatos. E-mail: [email protected] (Enviar E-mail). Telefone(s): (95) 98403-2898 (Ligar) (Whatsapp) (91) 99614-4930 (Ligar) (Whatsapp)\xa0...', 'Consulta CNPJ da empresa Kazoku Comercial LTDA | Kazoku Comercial. Também ver outro informações: situação cadastral, ... BOA VISTA - RR 69314-342\xa0...', 'A empresa Koku Comercial, que tem a razão social KAZOKU COMERCIAL EIRELI, está presente no segmento de Distribuidoras de Bebidas e foi fundada em 24/09/1999\xa0...', 'O CNPJ da empresa Kazoku Comercial Eireli (Kazoku Comercial) é 03.420.140/0001-07. Com sede em BOA VISTA, RR, possui 23 anos, 1 meses e 30 dias e foi\xa0...']"
