,tel,link,descricao
BAR E MERCARIA SAO JOSE,NAO DISPONIBILIZADO,"['https://www.descubraonline.com/guia/sp/francisco-morato/bar-e-mercaria-sao-jose-04607849000189/', 'https://informacoesdobrasil.com.br/local/sp/francisco-morato/bar-e-mercearia-sao-jose-rua-gildo-severino-da-silva-225+7167545/', 'https://www.econodata.com.br/consulta-empresa/04607849000189-J-F-MARTINS-BAR-E-MERCEARIA', 'https://www.diariocidade.com/sp/francisco-morato/guia/bar-e-mercaria-sao-jose-04607849000189/', 'https://cnpj.biz/04607849000189', 'https://www.solutudo.com.br/empresas/sp/francisco-morato/diversos/bar-e-mercearia-1312038']","['J. F. MARTINS BAR E MERCEARIA com o CNPJ 04.607.849/0001-89, iniciou as atividades em 15/08/2001. A principal atividade dessa empresa é Comércio Varejista\xa0...', 'BAR E MERCEARIA SAO JOSE. Rua Gildo Severino da Silva, 225, Francisco Morato - SP. Editar os dados desse local. Distrito: FRANCISCO MORATO', 'Consulte o CNPJ da BAR E MERCARIA SAO JOSE de Francisco Morato, SP, seus sócios e contatos como telefones, emails e website, além de faturamento,\xa0...', 'A atividade principal da empresa é Comércio Varejista de Mercadorias em Geral, Com Predominância de Produtos Alimentícios - Minimercados, Mercearias e Armazéns.', 'CNPJ: 04.607.849/ ; Inscrição Estadual SP: 311.079.520.119 ; Razão Social: J. F. Martins Bar e Mercearia ; Nome Fantasia: Bar e Mercaria Sao Jose ; Data da Abertura\xa0...', 'A empresa Bar E Mercearia trabalha desde 2019 na categoria Bares - Pubs na cidade de Francisco Morato, SP na Rua Lázaro Cláudio De Oliveira, Nº 851 - Jardim\xa0...']"
MINIMERCADO ZUIA,NAO DISPONIBILIZADO,"['https://www.solutudo.com.br/empresas/sp/francisco-morato/super-minimercados/minimercado-zuia-1304491', 'https://spotway.com.br/sp/franciscomorato/emp/11751527-minimercado-zuia', 'https://www.diariocidade.com/sp/francisco-morato/guia/minimercado-zuia-05326865000166/', 'https://consultas.plus/lista-de-empresas/sao-paulo/francisco-morato/05326865000166-izaias-rodrigues-minimercado/', 'https://cnpj.biz/05326865000166', 'https://www.informecadastral.com.br/cnpj/izaias-rodrigues-minimercado-05326865000166', 'https://www.facebook.com/minimercadoepadariatresestrelas/']","['Minimercado Zuia ; Endereço. Rua Jacaranda, 290, Jardim - C Francisco Morato/SP - CEP 07929-070 ; Telefone. (11) 4488-5768 ; Email. jzdedetizadora@ig.com.br.', 'A empresa Minimercado Zuia, registrada na Receita Federal sob o CNAE ... está localizada no endereço Rua Jacaranda, 290 C - Jardim, Francisco Morato/SP.', 'A empresa Minimercado Zuia, localizada no bairro Jardim, em Francisco Morato-SP foi fundada em 2002. A atividade principal da empresa é Comércio Varejista\xa0...', 'A empresa Izaias Rodrigues - Minimercado, aberta em 27/08/2002, é uma MATRIZ do ... Estado / UF: São Paulo / SP; Município: Francisco Morato; Bairro: Jardim\xa0...', 'Todos os dados da empresa Izaias Rodrigues - Minimercado com CNPJ 05.326.865/0001-66 - 05326865000166 de Francisco Morato/SP. Telefone, E-mail, Endereço...', 'O CNPJ da empresa Izaias Rodrigues - Minimercado (Minimercado Zuia) é 05.326.865/0001-66. Com sede em FRANCISCO MORATO, SP, possui 20 anos, 3 meses e 1 dias\xa0...', 'Mini Mercado Três Estrelas, Francisco Morato. 43 likes · 3 were here. Mini Mercado e Padaria Três Estrelas.. Trabalhamos com cartão de Débito e...']"
COMERCIAL LUA CRESCENTE,NAO DISPONIBILIZADO,"['https://diariocidade.atualizabahia.com/sp/francisco-morato/guia/comercial-lua-crescente-05666258000579/', 'https://spotway.com.br/sp/franciscomorato/emp/11748300-comercial-lua-crescente', 'https://cadastroempresa.com.br/cnpj/05.666.258/0005-79-comercial-lua-crescente-rogerio-cristhian-higa', 'https://cnpj.biz/05666258000145', 'https://consultacnpj.com/cnpj/rogerio-cristhian-higa-comercial-lua-crescente-05666258000579', '/search?q=COMERCIAL+LUA+CRESCENTE,+FRANCISCO+MORATO+-+SP&tbm=isch&source=univ&fir=m032oNNDMvmNVM%252C_aD-lFBtbQI_WM%252C_%253Bz_gXB1hpLyausM%252CAYukbD5nmIsCCM%252C_%253BXWZ6JMx_eVeTaM%252CyzA2gO9CWdhKKM%252C_%253BHaW-wePkmTLYsM%252C17jDaR04_173tM%252C_%253BAxAJZ5nVmrEIEM%252ClcPGczNNrEbNuM%252C_%253BYNRb1_Bh5jAsUM%252CEOq0g-ksrxvjXM%252C_%253BFdFIic8ZmTIKcM%252CRupJG5YFHoOGdM%252C_%253BP9gxIy7RAhUjPM%252CmnBI3YEDW0IJ7M%252C_%253BH6nPVm5sJpiZCM%252C17jDaR04_173tM%252C_%253B0BBa8rsX2XHphM%252CRupJG5YFHoOGdM%252C_&usg=AI4_-kRSSTRbIG9WCx2NZkPIPCrfvMxSjg&sa=X&ved=2ahUKEwiK1K-Yupf9AhWxFlkFHUeVDZQQjJkEegQIGBAC', 'https://www.informecadastral.com.br/cnpj/rogerio-cristhian-higa-05666258000579', 'https://brasilcnpj.org/sp/francisco-morato/rogerio-cristhian-higa-05666258000579', 'https://empresasdobrasil.com/empresas/francisco-morato-sp/comercio-de-artigos-de-armarinho?pagina=2']","['A empresa Comercial Lua Crescente, localizada no bairro Centro, em Francisco Morato-SP foi fundada em 2013. A atividade principal da empresa é Comércio\xa0...', 'A empresa Comercial Lua Crescente, registrada na Receita Federal sob o CNAE ... no endereço Rua Geronimo Caetano Garcia, 73 - Centro, Francisco Morato/SP.', 'Comercial Lua Crescente - Rogerio Cristhian Higa com CNPJ 05.666.258/0005-79 é uma empresa de Francisco Morato/SP. Acesse para mais informações.', 'May 15, 2003 — CNPJ: 05.666.258/ ; Inscrição Estadual SP: 675.142.058.111 ; Razão Social: Rogerio Cristhian Higa ; Nome Fantasia: Comercial Lua Crescente ; Data da\xa0...', 'COMERCIAL LUA CRESCENTE. 05.666.258/0005-79 - Atualizado há 2 meses. Empresa de francisco morato /SP fundada em 17/06/2013. Sua atividade principal é\xa0...', 'O CNPJ da empresa Rogerio Cristhian Higa (Comercial Lua Crescente) é 05.666.258/0005-79. Com sede em FRANCISCO MORATO, SP, possui 9 anos, 7 meses e 12 dias\xa0...', 'Nome fantasia: COMERCIAL LUA CRESCENTE. CNPJ: 05.666.258/0005-79. Tipo: FILIAL. Cnpj da Matriz: ../- ... Município/UF: FRANCISCO MORATO/SP. CEP: 07901000.', 'Lista de Empresas de Comercio de artigos de armarinho em Francisco Morato - SP - Página 2. ... COMERCIAL LUA CRESCENTE LTDA - ME · SUELI AP. DOS SANTOS - ME.']"
O BARATEIRO,+55 84 3331-5412,"['https://br.todosnegocios.com/pt/mercadinho-barateiro_19l-84-3331-5412', 'https://www.apontador.com.br/guia_de_ruas/rn/assu/rua_poeta_renato_caldas.html', 'https://www.instagram.com/ptassurn/?hl=en', '/search?q=O+BARATEIRO,+ASSU+-+RN&tbm=isch&source=univ&fir=_4E-Dhrv2vYAlM%252CemVVLJnp5fJSUM%252C_%253BEvU-hQFa5EzIZM%252C0IihWI6H8ZkPzM%252C_%253BeIzOxynpXhHAsM%252Ch2OKQlewAppZCM%252C_%253Bt5ZjY6FU-7-PHM%252C0IihWI6H8ZkPzM%252C_%253BVc1FjlYQc0g0GM%252CB01ppFbUKSEQHM%252C_%253BiOkBrZ7FyQjfiM%252CemVVLJnp5fJSUM%252C_%253BNPE7_SbfsJOYQM%252C0IihWI6H8ZkPzM%252C_%253B4LZmaaHvJmYAVM%252C2dsXOfn0BEYyUM%252C_%253BV30McU9qJMkxrM%252CdBrOuFuwcWuReM%252C_%253Bwnt_FL_US-FIWM%252CGep3VL08ntJMUM%252C_&usg=AI4_-kQ2UtZk9KD8Xiwav_eaDfEBKj65Fw&sa=X&ved=2ahUKEwivxvudupf9AhULFVkFHSoBDvIQjJkEegQIGRAC', 'https://www.facebook.com/Aribella-Moda-122061092531585/posts/', 'https://en.wikipedia.org/wiki/Assu,_Rio_Grande_do_Norte']","['A Mercadinho Barateiro. está localizada em R. José B Ramalho, 2-26, Açu - RN, 59650-000, Brazil, Assu, Rio Grande do Norte.', 'Encontre locais em rua poeta renato caldas, assu, rn e descubra telefones, como chegar e avaliações de clientes que já passaram pela região.', 'PARTIDO DOS TRABALHADORES - ASSÚ/RN Filie-se ao maior partido da América Latina. #FORABOLSONARO ; 575 posts ; 2,517 followers ; 5,961 following.', 'Rua: Luiz Correia de Sá Leitão, n° 787 Bairro: Vertentes , Assu, RN, Brazil. +55 84 9913-0355. Photos · See all photos · Aribella Moda is at Aribela.', 'Açu (or Assu) is a municipality (município) in the state of Rio Grande do Norte in Brazil. The population is 58,384 (2020 est.) in an area of 1303 km².']"
MERCADINHO E FRIGORIFICO SAO JOAO,NAO DISPONIBILIZADO,"['https://foursquare.com/v/mercadinho-e-frigor%C3%ADfico-s%C3%A3o-jo%C3%A3o/516e9a3ee4b0d8b7d5191037', 'https://guiafacil.com/site/mercadinho-e-frigorifico-sao-joao/acu/rn/84991275669', 'https://vymaps.com/BR/Mercadinho-E-Frigorifico-Sao-Joao-287730191650032/', 'https://www.descubraonline.com/guia/rn/acu/mercadinho-e-frigorifico-sao-joao-08685364000164/', 'http://brfirmas.org/Mercadinho+e+Frigor%C3%ADfico+S%C3%A3o+Jo%C3%A3o-175304', 'https://www.cnpj.world/empresa/joao-batista-siqueira-de-souza/cH0xfg6G', 'https://inteligue.com.br/mercadinho-e-frigorifico-sao-joao', '/search?q=MERCADINHO+E+FRIGORIFICO+SAO+JOAO,+ASSU+-+RN&tbm=isch&source=univ&fir=AhHyWFbbTdnqSM%252CSMSzLiGH_pYl-M%252C_%253BFmSq6jMB-SZ3qM%252CSMSzLiGH_pYl-M%252C_%253B7AL6EfhQWVS2FM%252CGWcYppNSR0HU0M%252C_%253BH5IYVP38cYyKtM%252CBBDHPIQ5d9MxxM%252C_%253B3ByDwyc1IYNYaM%252CBBDHPIQ5d9MxxM%252C_%253BQbf5sbhlhDeFVM%252CN_Rkkwxk0PiO-M%252C_%253BJA-FVfrCqUTz3M%252CBBDHPIQ5d9MxxM%252C_%253B08g-agxdVQO1_M%252Cq8uXs5JQ8bJemM%252C_%253BAf5z6g0MWYInmM%252CBBDHPIQ5d9MxxM%252C_%253BmoZZgWKjUvjyXM%252CBBDHPIQ5d9MxxM%252C_&usg=AI4_-kQfNLGJrns8qAXwus_ECeJQe3gtZA&sa=X&ved=2ahUKEwiTgd-jupf9AhUKD1kFHbG4ANYQjJkEegQIGxAC']","['See 2 tips from 37 visitors to Mercadinho e Frigorífico São João. ""Vende ração pra cães e gatos no quilo, e tem boas marcas.""', 'MERCADINHO E FRIGORIFICO SAO JOAO tem como foco o segmento de Supermercados em Açu. Você pode localizá-lo em Rua João XXIII, 517 no bairro São João em A...', 'Mercadinho e Frigorífico São João ; Address, : Rua João Xxiii, 517, 59650-000 Assu, Rio Grande do Norte ; Coordinate, : -5.596864, -36.909529 ; Phone, : +55 84\xa0...', 'Confira abaixo os telefones, endereço e e-mail para contato de Mercadinho E Frigorifico Sao Joao em Açu, Rio Grande do Norte. · 47.22-9-01 Comércio Varejista de\xa0...', 'Rede Ideal Supermercados. Rua Antônio Simão Bezerra 21, Açu, RN 59650-000. Distância: 0.5546 quilômetros ; Frigorifico So Carne. Rua Joao Celso Filho 1224, Assu,\xa0...', 'Joao Batista Siqueira de Souza (Mercadinho e Frigorifico Sao Joao). Informações públicas do CNPJ ""Joao Batista Siqueira de Souza"" de Assu, RN.', 'Veja o telefone e endereço da empresa MERCADINHO E FRIGORÍFICO SÃO JOÃO Açu, Supermercados em Açu - RN. R João XXIII, São João. Fone (84) 99127-56...']"
RESTAURANTE E LANCHONETE BARTH,NAO DISPONIBILIZADO,"['https://www.solutudo.com.br/sc/laurentino/super-minimercados/restaurante-e-lanchonete-barth-7623341', 'https://www.procuroacho.com/empresas/sc/laurentino/04.648.313/0001-01/restaurante-e-lanchonete-barth', 'https://local.infobel.br.com/BR100104315/restaurante_e_lanchonete_barth-laurentino.html', 'https://www.descubraonline.com/guia/sc/laurentino/restaurante-e-lanchonete-barth-04648313000101/', 'https://www.diariocidade.com/sc/laurentino/guia/restaurante-e-lanchonete-barth-04648313000101/', 'https://directmap.biz/laurentino/1169', 'https://lojasshoppingsc.com.br/sc/restaurante-e-lanchonete-barth-centro-laurentino-supermercado-hipermercado-mercadinho-752813', '/search?q=RESTAURANTE+E+LANCHONETE+BARTH,+LAURENTINO+-+SC&tbm=isch&source=univ&fir=QopiBgQnGMA9aM%252CdcdxWVQl1-2GVM%252C_%253BThnqtNSedRgEKM%252CTkZ0FrSzRzbI1M%252C_%253B6JBaL06PpB9ZLM%252CdcdxWVQl1-2GVM%252C_%253BtRD3z8uQpast5M%252CdcdxWVQl1-2GVM%252C_%253BSgSyDex-aPR9gM%252CKu-e42OxO6_tEM%252C_%253BvwBBJGTendQGLM%252CdcdxWVQl1-2GVM%252C_%253BBsIHTjBm1G_khM%252CTkZ0FrSzRzbI1M%252C_%253Btk1pFONRoGudYM%252CdcdxWVQl1-2GVM%252C_%253BpyrDetrWMfWOcM%252CTkZ0FrSzRzbI1M%252C_%253Bt9TsKEBkRApekM%252CdcdxWVQl1-2GVM%252C_&usg=AI4_-kSAAcGH5_a10LaweCxcQJHdzqRWUg&sa=X&ved=2ahUKEwj4tMCpupf9AhUtFVkFHadQA8EQjJkEegQIGBAC', 'https://cidadeurgente.com/sc/laurentino/guia/restaurante-e-lanchonete-barth-04648313000101/amp/']","['No mercado, a empresa está localizada na Rodovia Sc 350, Nº 959 no bairro Centro em Laurentino - SC, CEP 89170-000. A empresa Restaurante E Lanchonete Barth\xa0...', 'Informações da Empresa Restaurante e Lanchonete Barth - 04.648.313/0001-01. ... Localizada em Laurentino / SC, a empresa é uma Matriz do tipo Empresário\xa0...', 'Restaurante e Lanchonete Barth - ALIMENTAÇÃO GERAL (RETALHO), Laurentino, 89170-000, Rod. Sc 350 959, TEL: 4788513..., Brasil, Nesta página : Restaurante e\xa0...', 'Restaurante E Lanchonete Barth em Laurentino, Santa Catarina. Acesse agora e confira ... Centro - Laurentino - SC CEP 89170-000. Dados de contato:', 'Restaurante E Lanchonete Barth em Laurentino - SC, Santa Catarina. ... A empresa Restaurante E Lanchonete Barth, localizada no bairro Centro,\xa0...', 'Restaurante e Lanchonete Barth, Laurentino, Laurentino, Santa Catarina, Brasil. Restaurante. 4. não há comentários. Nenhuma foto encontrada. Centro - SC-350\xa0...', 'De Beto Carrero ao Oktoberfest, SC um destino perfeito. Santa Catarina é o sétimo estado mais visitado pelos turistas no Brasil. Sua principal atração é o\xa0...', 'Restaurante E Lanchonete Barth em Laurentino - SC, Santa Catarina. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de\xa0...']"
ACOUGUE E MERCEARIA SAO JOSE,NAO DISPONIBILIZADO,"['https://www.solutudo.com.br/empresas/ac/feijo/super-minimercados/acougue-e-mercearia-sao-jose-10180431', 'https://www.descubraonline.com/guia/ac/feijo/acougue-e-mercearia-sao-jose-07867081000170/amp/', 'https://cidadeurgente.com/ac/feijo/guia/acougue-e-mercearia-sao-jose-07867081000170/', 'https://www.diariocidade.com/ac/feijo/guia/acougue-e-mercearia-sao-jose-07867081000170/', 'https://www.econodata.com.br/consulta-empresa/24564311000141-L-P-DE-SOUSA-EIRELI', 'https://empresasdobrasil.com/empresa/acougue-e-mercearia-sao-jose-07867081000170', 'https://www.facebook.com/profile.php?id=100069973477036', 'https://www.apontador.com.br/em/ac/alimentos-e-bebidas/mercearias?page=35', 'https://books.google.com/books?id=8BSwsOMnHL8C&pg=PA6209&lpg=PA6209&dq=ACOUGUE+E+MERCEARIA+SAO+JOSE,+FEIJO+-+AC&source=bl&ots=CvR4DIHAje&sig=ACfU3U0SQDLNQfZd60oQSNGCpBSZkK5Fog&hl=en&sa=X&ved=2ahUKEwii8JGvupf9AhUMFlkFHcZ8AUYQ6AF6BAgdEAM']","['A empresa Acougue E Mercearia Sao Jose trabalha há mais de 16 anos na categoria Super - Minimercados na cidade de Feijó, AC na Rua Nair Macambira,\xa0...', 'Confira abaixo os telefones, endereço e e-mail para contato de Acougue E Mercearia Sao Jose em Feijó, Acre. ... ANTONIO JOSE S. DE SOUZA com o CNPJ 07.867.081/\xa0...', 'Nome Fantasia: Acougue E Mercearia Sao Jose ; Razão Social: ANTONIO JOSE S. DE SOUZA ; CNPJ: 07.867.081/0001-70 ; Início das atividades: 23/02/2006 ; Atividade\xa0...', 'A empresa Acougue E Mercearia Sao Jose, localizada no bairro Nair Araujo, em Feijó-AC foi fundada em 2006. A atividade principal da empresa é Comércio\xa0...', 'Consulte o CNPJ da ACOUGUE E MERCEARIA PONTO CERTO de Feijó, AC, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...', 'Dados da empresa ACOUGUE E MERCEARIA SAO JOSE - ANTONIO JOSE S. DE SOUZA - ME - CNPJ 7867081000170.', 'Açougue e mercearia São José 2. 97 likes • 97 followers. Posts. About. Photos. Videos. More. Posts. About. Photos. Videos. Intro. Page · Grocery Store.', 'Encontre aqui diversas informações sobre Mercearias em Acre. ... Açougue e Mercearia Jp ... Rua São José, 23, João Eduardo I, Rio Branco - AC.']"
SUPERMERCADO ROTTOLI,+55 51 3840-0317,"['https://m.facebook.com/profile.php?id=392594947861618&__tn__=C-R', 'https://www.imigrante-rs.com.br/index.php/site/galerias/visualizar/videos/23', 'https://www.solutudo.com.br/empresas/rs/imigrante/super-minimercados/supermercado-rottoli-8190229', 'https://www.listaamarela.com.br/empresa/rs/imigrante/supermercado-rottoli_9361152', 'https://www.econodata.com.br/consulta-empresa/01870868000105-SUPERMERCADO-ROTTOLI-LTDA', 'https://www.diariocidade.com/rs/imigrante/guia/supermercado-rottoli-01870868000105/', 'https://www.guiatelefone.com/imigrante-rs/mercados-e-supermercados/2382613/supermercado-rottoli', '/search?q=SUPERMERCADO+ROTTOLI,+IMIGRANTE+-+RS&tbm=isch&source=univ&fir=LzEQfCNvIcY85M%252CKstF4iUc9HS_QM%252C_%253BuHgBJ7xaRQZBAM%252CKstF4iUc9HS_QM%252C_%253B-u7vuiOOwUT2nM%252CKstF4iUc9HS_QM%252C_%253ByGy9AGXGYHVx3M%252CKstF4iUc9HS_QM%252C_%253B50B6xaCXBKg4uM%252C5TkkXoXazsaLeM%252C_%253BzLLG8GMSCfRhpM%252CKstF4iUc9HS_QM%252C_%253B62YXEyBC3K0BmM%252CKstF4iUc9HS_QM%252C_%253BLBLEpaBu41aqjM%252CKstF4iUc9HS_QM%252C_%253BzwMp5eslEegdKM%252C1pHLcxZVkdqbbM%252C_%253BdcrKleAswKie2M%252CzEDYm2PLXZoriM%252C_&usg=AI4_-kQuHvkOApEFIkQ0UpGonX-FSwnZrQ&sa=X&ved=2ahUKEwjhmdO0upf9AhX-EVkFHfuBCOoQjJkEegQIGRAC', 'https://consultas.plus/lista-de-empresas/rio-grande-do-sul/imigrante/01870868000105-supermercado-rottoli-ltda/']","['A empresa Supermercado Rottoli trabalha há mais de 25 anos na categoria Super - Minimercados na cidade de Imigrante, RS na Avenida Ipiranga, Nº 447 - Daltro\xa0...', 'SUPERMERCADO ROTTOLI. SUPERMERCADO ROTTOLI está na categoria da Supermercados em Imigrante/RS. Avenida Ipiranga , 501. Daltro Filho, Imigrante, RS.', 'Consulte o CNPJ da SUPERMERCADO ROTTOLI de Imigrante, RS, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...', 'Supermercado Rottoli em Imigrante - RS, Rio Grande do Sul. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas\xa0...', 'Avaliações, telefone e endereço de SUPERMERCADO ROTTOLI em Daltro Filho, Imigrante, RS. Ligue (51) 3754-11...', 'Dados públicos extraídos do CNPJ · Situação: ATIVA · Número do CNPJ: 01.870.868/0001-05 · Razão Social: Supermercado Rottoli Ltda · Nome Fantasia: Supermercado\xa0...']"
MERCEARIA IPANEMA,NAO DISPONIBILIZADO,"['http://brfirmas.org/Mercearia+Ipanema-720748', 'https://www.facebook.com/docultivo/?locale=pt_BR', 'https://www.instagram.com/mercearia.ipanema/?hl=en', 'http://onetokenenergydrink.com.br/listing/padaria-mercearia-santos-balneario-picarras-sc/', '/search?q=MERCEARIA+IPANEMA,+BALNEARIO+DE+PICARRAS+-+SC&tbm=isch&source=univ&fir=Ya6e1zKzUcSdDM%252CD4GlLckawHKixM%252C_%253B2uFvd1zvHWn1EM%252CD4GlLckawHKixM%252C_%253B4TwrenoWG8-qnM%252CeDuhGYVs9FOpHM%252C_%253Bv64cCmZGSUqNqM%252CD4GlLckawHKixM%252C_%253BjBluWzThVlWB9M%252CD4GlLckawHKixM%252C_%253B_JxnogBU_xtlcM%252CD4GlLckawHKixM%252C_%253BcnHRfLTTenJsrM%252CD4GlLckawHKixM%252C_%253BoHfD7aPZqRVoVM%252CD4GlLckawHKixM%252C_%253BR_rE3d_IMcpsJM%252CxvNXUeDHjbf90M%252C_%253BY_rzhEmIF8PPNM%252CD4GlLckawHKixM%252C_&usg=AI4_-kSflVD6Qe4Cz18HLmnJ36t00D_ANQ&sa=X&ved=2ahUKEwjuyMi6upf9AhW8D1kFHWNQC98QjJkEegQIBxAC', 'https://consultas.plus/lista-de-empresas/santa-catarina/balneario-picarras/12441145000107-gp-litoral-hoteis-ltda/', 'http://cnpj.info/degar', 'https://www.econodata.com.br/consulta-empresa/47686775000126-ALEXANDRE-BELEM-FERREIRA-JUNIOR', 'https://www.solutudo.com.br/empresas/sc/bal-picarras/super-minimercados/jomar-mercearia-10211635', 'https://www.solutudo.com.br/empresas/sc/bal-picarras/super-minimercados/bar-e-mercearia-da-preta-18554106', 'https://cadastroempresa.com.br/cnpj/12.441.145/0001-07-itacolomi-hotel-gp-litoral-hoteis-ltda', 'https://www.superkoch.com.br/sandalia-ipanema-baby-turma-da-monica-vermelho-17-24-64559']","['Mercearia Ipanema ; Padaria e Confeitaria Berlin. Av. Nereu Ramos 669, Balneário Picarras, SC 88380-000. Distância: 0.0000 quilômetros ; Mercearia Xiliki. Av.', 'Do Cultivo, Balneário Piçarras. 541 curtidas · 34 estiveram aqui. Nossa missão é trazer alimentos orgânicos e certificados, contribuindo com o consumo...', 'Trabalhamos com uma enorme variedades de DOCES sempre com um ótimo custo benefício!. Mercearia Ipanema, estamos localizados na Rua Nova Jerusalém 778.', 'Padaria & Mercearia Santos - Balneário Piçarras/SC ... Endereço: Av. Nereu Ramos, 287 – Centro, Balneário Piçarras – SC, 88380-000.', 'Situação: ATIVA; Número do CNPJ: 12.441.145/0001-07; Razão Social: Gp Litoral Hoteis Ltda; Nome Fantasia: Itacolomi Hotel; Data de Abertura: 25/08/2010\xa0...', 'Fantasia nome: Mercearia Degar Localização: Nossa Sra. da Paz, Balneario de Picarras - SC; CNPJ: 02.919.778/0001-.. | 029197780001.', 'Consulte o CNPJ da XERE MERCEARIA E CONVENIENCIA de Praia Grande, SP, seus sócios e contatos como telefones, emails e website, ... BALNEARIO DE PICARRAS, SC.', 'No mercado, a empresa está localizada na Rua Gaivota, Nº 804 no bairro Itacolomi em Balneário Piçarras - SC, CEP 88380-000. A empresa Jomar Mercearia está\xa0...', 'A empresa Bar E Mercearia Da Preta trabalha desde 2020 na categoria Super - Minimercados na cidade de Balneário Piçarras, SC na Av Emanoel Pinto,\xa0...', 'Logradouro: Nereu Ramos, 670 ; Bairro: Centro ; CEP: 88380-000 ; Município: Balneário Piçarras ; Estado: Santa Catarina.', 'SUPERMERCADOS KOCH | Razão Social: KOCH HIPERMERCADO S/A | CNPJ 02.831.172/0002-13 | Endereço: AV BAYER FILHO, 725. CENTRO. Tijucas/SC. CEP 88.200-000 | Imagens\xa0...']"
MERCADINHO SAO JOSE,NAO DISPONIBILIZADO,"['https://www.solutudo.com.br/empresas/sp/silveiras/super-minimercados/mercadinho-sao-jose-7340683', 'https://www.apontador.com.br/local/sp/silveiras/mercearias/C404604E5D0E6T0E62/mercadinho_sao_jose.html', 'https://www.listaamarela.com.br/empresa/sp/silveiras/mercadinho-sao-jose_8196499', 'https://local.infobel.br.com/BR120602470/mercadinho_sao_jose-silveiras.html', 'https://www.descubraonline.com/guia/sp/silveiras/mercadinho-sao-jose-03694547000122/', 'https://www.diariocidade.com/sp/silveiras/guia/mercadinho-sao-jose-03694547000122/', 'https://cnpj.biz/03694547000122', 'https://applocal.com.br/empresa/mercadinho-sao-jose/silveiras/sp/8207849']","['Mercadinho Sao Jose ; Endereço. Rua Prefeito Jose De Abreu Ferraz, 560, Centro Silveiras/SP - CEP 12690-000 ; Telefone. (12) 9781-4032 ; Email. tony-econ@hotmail.', 'Encontre qual o telefone, o endereço, as fotos e as avaliações do Mercadinho Sao Jose especializado em null localizado em Avenida Governador Carvalho Pinto,\xa0...', 'Mercadinho Sao Jose está na categoria da Supermercados em Silveiras/SP. Rua Professor José de Abreu Ferraz 568 , Centro, Silveiras, SP.', 'Mercadinho São José - ALIMENTAÇÃO GERAL (RETALHO), Silveiras, 12690, Rua José Ferraz Filho 23, TEL: 1297793..., Brasil, Nesta página : Mercadinho São José,\xa0...', 'Mercadinho Sao Jose em Silveiras, São Paulo. Acesse agora e confira ✆ Telefones, Endereço, E-mail, Situação, CNAEs, Data de Abertura...', 'Mercadinho Sao Jose em Silveiras - SP, São Paulo. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Diário\xa0...', 'Todos os dados da empresa Mercadinho Sao Jose Gessimara de Fatima Cardoso Tavares com CNPJ 03.694.547/0001-22 - 03694547000122 de Silveiras/SP. Telefone...', 'Mercadinho Sao Jose fica sediada no endereço Rua Professor José de Abreu Ferraz 568 no bairro Centro na cidade de Silveiras, SP. Saiba como chegar navegando\xa0...']"
