,tel,link,descricao
MC DONALDS,NAO DISPONIBILIZADO,"['https://www.tripadvisor.com/Restaurant_Review-g303584-d4445881-Reviews-McDonald_s-Joinville_State_of_Santa_Catarina.html', 'https://www.facebook.com/mcdonaldsjlle/', 'https://www.instagram.com/mcdonaldsjlle/?hl=en', 'https://m.yelp.com/biz/mcdonalds-joinville-4', 'https://foursquare.com/v/mcdonalds/4c8d17ba5e38b1f7232a37f9']","[""McDonald's, Joinville: See 13 unbiased reviews of McDonald's, rated 2 of 5 on Tripadvisor and ranked #670 of 884 restaurants in Joinville."", ""5741 Followers, 1077 Following, 1701 Posts - See Instagram photos and videos from McDonald's Joinville (@mcdonaldsjlle)"", ""R. Orestes Guimarães, 720. Joinville - SC 89204-060. Brazil ; (47) 3433-5582 ; Visit Website. http://www.mcdonalds.com.br ; More Info. Menu for McDonald's."", 'See 156 photos from 2931 visitors about trendy, coffee, and ice cream. ""Um novo conceito em ""Fast"" Food""']"
TEMPERO CRIOULO,+55 47 3422-6383,[],[]
BISTRO 87,+55 51 3106-9048,"['https://www.tripadvisor.com/Restaurant_Review-g2348695-d6004504-Reviews-Bistro_87-Portao_State_of_Rio_Grande_do_Sul.html', 'https://www.facebook.com/Bistro87cafeportao/', 'https://restaurantguru.com/Bistro-87-Portao', 'https://www.solutudo.com.br/empresas/rs/portao/restaurantes/bistro-87-8544106', 'https://www.descubraonline.com/guia/rs/portao/bistro-87-01736336000180/', 'https://www.diariocidade.com/rs/portao/guia/bistro-87-05739579000122/', 'https://www.guiatelefone.com/portao-rs/restaurantes/2101545/bistro-87', 'https://restaurantespertodemim.com/e/bistro-87-wmqkl/']","[""Ratings and reviews. 5.0 2 reviews. #15 of 28 Restaurants in Portao. There aren't enough food, service, value or atmosphere ratings for Bistro 87, RS yet."", 'Bistrô 87, Portão. 1028 likes · 16 talking about this · 3738 were here. Buffet ao meio dia; À noite: Chopp artesanal; Sextas : Musica ao vivo; Espaço...', 'Jan 15, 2023 — Bistrô 87, #11 among Portão restaurants: 74 reviews by visitors and 16 detailed photos. Find on the map and call to book a table.', 'A empresa Bistro 87 trabalha desde 2003 na categoria Restaurantes na cidade de Portão, RS na Rua Minas Gerais, Nº 87 - Centro. Entre em contato via telefone\xa0...', 'Bistro 87 em Portão, Rio Grande do Sul. ... BISTRO 87 RESTAURANTE LTDA com o CNPJ 01.736.336/0001-80, iniciou as atividades em ... Centro - Portão - RS', 'Bistro 87 em Portão - RS, Rio Grande do Sul. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Diário Cidade.', 'Bistro 87, o melhor lugar para comer da região. Aqui você encontra a comida mais deliciosa da cidade de Portão, RS. Espaço ideal para fazer reuniões de negócios\xa0...', 'Bistro 87 em Portão desde 2020. Acesse agora e confira Telefones, whatsapp, Endereço e Localização da empresa, para encontrar Restaurantes.']"
RESTAURANTE PEQUENO BOSQUE,+55 49 3233-3318,"['https://www.tripadvisor.com.br/Restaurant_Review-g1916180-d2405988-Reviews-Restaurante_Pequeno_Bosque-Sao_Joaquim_State_of_Santa_Catarina.html', 'http://www.restaurantepequenobosque.com.br/', 'https://turismo.saojoaquim.sc.gov.br/onde-comer/item/restaurante-pequeno-bosque', 'https://www.instagram.com/restaurantepequenobosque/?hl=en', 'https://www.facebook.com/people/Restaurante-Pequeno-Bosque-S%C3%A3o-Joaquim/100063497382432/', 'https://cardapio.menu/restaurants/sao-joaquim/restaurante-pequeno-bosque', 'https://restaurantguru.com.br/Restaurante-Pequeno-Bosque-Sao-Joaquim-Sao-Joaquim', 'https://untappd.com/v/pequeno-bosque-restaurante/4043966', 'http://www.serracatarinense.com/pequenobosque/']","['O Restaurante Pequeno Bosque nasceu em 2.006, com a inspiração na gastronomia de países europeus, utiliza matéria-prima de excelente qualidade, com pratos\xa0...', '... de São Joaquim - SC, reúne uma seleta carta de vinhos e um variado cardápio a ""La Cart"" e sequência de Fondue ao meio dia. São massas, carnes, peixes,\xa0...', 'Restaurante Pequeno Bosque. Restaurant ... #serrasc #saojoaquim ... ESTAMOS CONTRATANDO. São duas vagas importantes e se você se identifica com o trabalho e.', '8 days ago — Depois de visitar Sao Joaquim Chateaubriand Historic Municipal Museum, muitas pessoas vão até este restaurante. NRestaurante Pequeno Bosque\xa0...', ""Find out what's popular at Pequeno Bosque Restaurante in São Joaquim, SC in real-time and see activity."", 'gaúcha a mais de 25 anos, agora também na Serra Catarinense no município de São Joaquim - SC, reúne uma seleta carta de vinhos e um variado cardápio a ""La\xa0...']"
RESTAURANTE UNIVASF,NAO DISPONIBILIZADO,"['https://portais.univasf.edu.br/proae/servicos-proae/restaurante-universitario', '/search?q=RESTAURANTE+UNIVASF,+PETROLINA+-+PE&tbm=isch&source=univ&fir=PudN5tYd_qVauM%252CzzhkeTDnSvfQUM%252C_%253BRbfCi7gvbixQPM%252CIwq6pArRbw39cM%252C_%253BsxyJg0JHHrZnbM%252CIwq6pArRbw39cM%252C_%253BmQH7XASKYE0HmM%252CSp_3NH_rN7b09M%252C_%253Bi3zD_-2X4EVEUM%252CNHKCdv1ZZ0ItHM%252C_%253BkNN1GJyLsk_KDM%252CJx7Fi0ILLU6M0M%252C_%253B4XXLA2YsyWeEPM%252CIwq6pArRbw39cM%252C_%253BXdzciXVqJyHSHM%252CnFApHhNhb_DI3M%252C_%253B3W1TN_6m36OuXM%252CJx7Fi0ILLU6M0M%252C_%253BMylIG7d1PtHzlM%252C1D-85NNs4hdYoM%252C_&usg=AI4_-kQdSxyEclQHPLCAO6-swPM-86nBrw&sa=X&ved=2ahUKEwiolPLx6ZD9AhXrF1kFHVxrCiUQjJkEegQIExAC', 'https://foursquare.com/v/restaurante-universit%C3%A1rio/4f4c001ae4b0774b54cc4ec3', 'https://www.tripadvisor.com/HotelsNear-g737074-d14777679-UNIVASF_Fundacao_Universidade_Federal_Do_Vale_Do_Sao_Francisco-Petrolina_State_of_Pernambuco.html', 'https://www.procuroacho.com/empresas/pe/petrolina/08.998.109/0006-86/restaurante-univasf', 'https://www.waze.com/live-map/directions/restaurante-universitario-univasf-av.-jose-de-sa-manicoba-petrolina?to=place.w.209389226.2093892261.15343333']","['Mar 9, 2017 — A Univasf dispões de três Restaurantes Universitários (RUs) localizados nos Campi Petrolina Sede, Ciências Agrárias (CCA) e Juazeiro-BA.', 'See 1 photo and 3 tips from 145 visitors to Restaurante Universitário. ... restaurante universitário univasf campus centro petrolina •.', 'Hotels near UNIVASF - Fundacao Universidade Federal Do Vale Do Sao Francisco, Petrolina on Tripadvisor: Find 2626 traveler reviews, 1309 candid photos,\xa0...', '... 16/05/2022 através do CNPJ 08.998.109/0006-86, razão social Acesso Restaurantes Ltda e nome fantasia Restaurante Univasf. Localizada em Petrolina / PE,\xa0...', 'Realtime driving directions to Restaurante Universitário - UNIVASF, Av. José de Sá Maniçoba, Petrolina, based on live traffic updates and road conditions\xa0...']"
RESTAURANTE CAPIVARA,+55 87 3862-2585,"['https://www.tripadvisor.com/Restaurant_Review-g737074-d2386948-Reviews-Capivara-Petrolina_State_of_Pernambuco.html', 'https://www.instagram.com/restaurantecapivarapetrolina/?hl=en', 'https://www.facebook.com/restaurantecapivarapetrolina/', 'https://m.yelp.com/biz/capivara-restaurante-petrolina', '/search?q=RESTAURANTE+CAPIVARA,+PETROLINA+-+PE&tbm=isch&source=univ&fir=ufCUL5VIc1fKwM%252CriwnYkvhlHRX2M%252C_%253BPJAtu5nUymxDkM%252C3mC5prf8nG9NVM%252C_%253BLUdEX23syqbPUM%252CJn3N0RdGFMfpLM%252C_%253BNnvVbHhtWxrBYM%252Cxx8B9Gg_jPsjLM%252C_%253B2tvIADPQpgmGAM%252C3mC5prf8nG9NVM%252C_%253BNf9VIiFalNLUVM%252CJ1-8eKf4ZJNZTM%252C_%253BE17_rYs_K7VNeM%252CUhHl2DHbDiyJPM%252C_%253BTVlotqFoPxq6nM%252CriwnYkvhlHRX2M%252C_%253BT5ob9wtklprIkM%252Ck1b6ngl2kFjx5M%252C_%253Bl6tFhG0vpD4aPM%252CSctA6GWgwTKssM%252C_&usg=AI4_-kSbR3TCA4RYoJJmY8QiDU0Acpjmgw&sa=X&ved=2ahUKEwiP-Zv46ZD9AhX5M1kFHUZQBp0QjJkEegQILBAC', 'https://foursquare.com/v/restaurante-capivara/4cb1f47bdd619c74a3a7e490/photos', 'https://restaurantguru.com/Capivara-Petrolina', 'https://www.solutudo.com.br/empresas/pe/petrolina/restaurantes/restaurante-capivara-3552321']","['5049 Followers, 1038 Following, 284 Posts - See Instagram photos and videos from Restaurante Capivara Petrolina PE (@restaurantecapivarapetrolina)', 'Restaurante Capivara Petrolina · Halaman · Restoran · Av. Cardoso de Sá, 429, Petrolina, PE, Brazil · +55 87 3862-2585 · Buka sekarang · Penilaian · 3.3 (34 Semakan).', 'A empresa Restaurante Capivara trabalha há mais de 27 anos na categoria Restaurantes na cidade de Petrolina, PE na Avenida Cardoso De Sa, Nº 429 - Letra A\xa0...']"
RESTAURANTE LUFALU,+55 11 4639-7343,"['https://restaurantguru.com/Restaurante-Lufalu-Poa', 'https://m.facebook.com/profile.php?id=540780182780017', 'https://foursquare.com/v/restaurante-lufalu/4eca51479a52756c58f2b336', 'https://www.ifood.com.br/delivery/poa-sp/restaurante-lufalu-centro/fe7ac19a-5b90-490e-b0b1-0ff6c6af87c0', 'https://www.solutudo.com.br/empresas/sp/poa/restaurantes/restaurante-lufalu-1794117', '/search?q=RESTAURANTE+LUFALU,+POA+-+SP&tbm=isch&source=univ&fir=Mdh82Bzz1XCFgM%252C0fH7a0GNN5hdjM%252C_%253BU4S8ZvGRsQaudM%252C0fH7a0GNN5hdjM%252C_%253BeGrxUBNroFc7BM%252CLdj0vXzNf1fb_M%252C_%253Bseizt43c7RBjkM%252C0fH7a0GNN5hdjM%252C_%253BfSP6HMTKAulAHM%252C0fH7a0GNN5hdjM%252C_%253BE1ixHfMw64i7_M%252CLdj0vXzNf1fb_M%252C_%253Bul3q3TbywtmlqM%252C0fH7a0GNN5hdjM%252C_%253Bjsh6Kpq3JdVKgM%252C0fH7a0GNN5hdjM%252C_%253B2ZrzI5z9ADi3fM%252CJAdww8nGnG4AbM%252C_%253BNma6qQEAl1kblM%252C0fH7a0GNN5hdjM%252C_&usg=AI4_-kSWI2f-PnZE4f4B-YpAc1jQrNdgQQ&sa=X&ved=2ahUKEwi8ip7-6ZD9AhWNElkFHT0PDCkQjJkEegQIHBAC', 'https://2pos.biz/ms/63278/12058']","['Jan 15, 2023 — Restaurante Lufalu, #146 among Poá restaurants: 525 reviews by visitors and 20 detailed photos. Find on the map and call to book a table.', 'Lufalu, Poá, SP, Brazil. ... Lufalu. Get Directions. 14 people checked in here. Restaurant ... Maria Domingues is eating almoçando at Lufalu.', 'See 3 photos and 1 tip from 22 visitors to Restaurante Lufalu. ""que fomeeeeeeeeeeeeeeeeeeeee""', 'Faça seu pedido online na Restaurante Lufalu e receba em casa agora mesmo! Delivery de Restaurantes em Poa é aqui no iFood.', 'A empresa Restaurante Lufalu trabalha há mais de 17 anos na categoria Restaurantes na cidade de Poá, SP na Rua Hermogenes La Regina, Nº 60 - Centro.', 'Restaurante Lufalu, restoran. R. Hemógenes La Regina, 60 - Centro, Poá - SP, 08550-230, Brazil, penilaian — 4.2/5. Lokasi pada peta, telefon, waktu operasi,\xa0...']"
PARADAO LINHARES,NAO DISPONIBILIZADO,"['https://www.tripadvisor.com/Restaurant_Review-g1731603-d10243087-Reviews-Paradao_Grill-Linhares_State_of_Espirito_Santo.html', 'https://www.facebook.com/postoparadaoda101/?locale=pt_BR', 'https://business.google.com/website/paradaoda101', 'https://www.solutudo.com.br/es/linhares/postos-e-conveniencias/posto-paradao-da-101-17125805', 'https://restaurantguru.com.br/Churrascaria-Paradao-da-101-Linhares', 'https://www.econodata.com.br/consulta-empresa/07062816000199-PARADAO-LINHARES-RESTAURANTE-LTDA', '/search?q=PARADAO+LINHARES,+LINHARES+-+ES&tbm=isch&source=univ&fir=2qcVeaAbOENWhM%252CQ4MPdsA7rAwhwM%252C_%253B7ejRaaj3qXw8CM%252C0z9IGL5jkMG0hM%252C_%253BqHOUKRJtmu-12M%252CkW5kMkv9MnON0M%252C_%253BPdHm5iDXn-llCM%252CMHmGadzcfTIW_M%252C_%253BlOXDYSwub08V5M%252CMHmGadzcfTIW_M%252C_%253BxPc8BjMO1e8fEM%252CLMe_3bDihtKkKM%252C_%253BDNpMr4aSXzOY1M%252C-qEfTxQ8eQiJ2M%252C_%253BZL5gNCV11TL1zM%252C1YRyiyGcwwdElM%252C_%253BbCsILlIoGvot1M%252CoUEb9-fL92arGM%252C_%253BEYeBN-Rbyp6_dM%252CZahuY5RVUZTPCM%252C_&usg=AI4_-kQg-kLll8EvL4Kl9HdXsaPvY0EnZA&sa=X&ved=2ahUKEwjCnKGE6pD9AhWwFlkFHaktDBEQjJkEegQIOxAC']","['Posto Paradão da 101 , Serviços e Alimentação, Linhares. 776 curtidas · 2 falando sobre isso · 2.660 estiveram aqui. Oferecemos ainda serviços de lavagem...', 'Oct 2, 2018 — Posto Paradao da 101. ... Posto Paradão da 101 lá você pode abastecer seu veículo de passeio, sua motocicleta seu caminhão ... Linhares - ES.', 'Posto Paradao Da 101 ; Endereço. Rodovia Governador Mario Covas, S/N, Bebedouro - Km 16010 Linhares/ES - CEP 29915-140 ; Telefone. (27) 3373-5590 • (27) 9946-7622', 'Jan 10, 2023 — Churrascaria Paradão Da 101, #34 entre Linhares churrascarias: 3 fotos ... O menu de local é recomendado para os amantes da culinária.', 'Consulte o CNPJ da PARADAO LINHARES de Linhares, ES, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...']"
PANELAO SELF-SERVICE,NAO DISPONIBILIZADO,"['https://www.solutudo.com.br/empresas/pb/joao-pessoa/restaurantes/panelao-self-service-4856850', 'https://www.facebook.com/restaurantepanelavermelha/', 'https://www.descubraonline.com/guia/pb/joao-pessoa/panelao-self-service-03655098000103/', 'https://www.instagram.com/panelavelhajp/', '/search?q=PANELAO+SELF-SERVICE,+JOAO+PESSOA+-+PB&tbm=isch&source=univ&fir=UBBwbynP5-vvWM%252CusTIo6VCNtjg_M%252C_%253BcGG0XtCnhHqR4M%252C_Kxigp4Pl8eW5M%252C_%253BOwufbNTrirr7NM%252CFnhZtUgdlkGQkM%252C_%253B4SO_08jPcmjlVM%252CusTIo6VCNtjg_M%252C_%253BFEQnz9DZv_xdrM%252C-hZHvkfhNobNzM%252C_%253BfNcZRcsG-tFVRM%252CkopqTMHnddZN9M%252C_%253BqasftzFDmDAebM%252CusTIo6VCNtjg_M%252C_%253BATf3AKmY5ni41M%252CFnhZtUgdlkGQkM%252C_%253BZ8JHnqdCxBNCDM%252C_Kxigp4Pl8eW5M%252C_%253BJgBkaHwVShB1bM%252Cowg6GPC4aXQB3M%252C_&usg=AI4_-kSQiG3Z6Y9EeewcBHY4S4TgKiw_dA&sa=X&ved=2ahUKEwiWs66K6pD9AhW8MVkFHRxkDIQQjJkEegQIOBAC', 'https://www.tripadvisor.com/Restaurant_Review-g303428-d15344053-Reviews-Self_service_Cabo_Branco-Joao_Pessoa_State_of_Paraiba.html', 'https://telepesquisa.com/pb/empresas/d/sabor-na-panela-self-service']","['A empresa Panelao Self-Service trabalha desde 2000 na categoria Restaurantes na cidade de João Pessoa, PB na Rua Treze De Maio, Nº 20 - Centro.', 'Restaurante Panela Vermelha Self Service e Delivery, João Pessoa, Brazil. 2 likes. Barbecue Restaurant.', 'Panelao Self-Service em João Pessoa, Paraíba. ... Endereço e dados de contato de PANELAO SELF-SERVICE. Endereço: ... Centro - João Pessoa - PB CEP 58013-070.', '1990 Followers, 989 Following, 33 Posts - See Instagram photos and videos from Panela Velha JP (@panelavelhajp)', 'Self service Cabo Branco, Joao Pessoa: See 10 unbiased reviews of Self service Cabo Branco, rated 3.5 of 5 on Tripadvisor and ranked #664 of 1259\xa0...', 'Encontre aqui telefone, endereço, descontos e whatsapp de Restaurantes na Sabor na Panela Self Service, no bairro em João Pessoa, - telepesquisa.com.']"
PIZZA NOSTRA,+55 83 3247-0040,"['https://www.instagram.com/pizzanostrajp/?hl=en', 'https://pt-br.facebook.com/pizzanostratambau/', 'https://www.tripadvisor.com.br/Restaurant_Review-g303428-d4533087-Reviews-Pizza_Nostra-Joao_Pessoa_State_of_Paraiba.html', 'https://restaurantguru.com.br/Pizza-Nostra-Joao-Pessoa', 'https://www.ifood.com.br/delivery/joao-pessoa-pb/pizza-nostra-tambau-jardim-cidade-universitaria/62cdd6a4-a2fe-429c-b254-e7de60a547ec', 'https://pedir.delivery/pizzanostrabancarios', 'https://www.yelp.com/biz/pizza-nostra-jo%C3%A3o-pessoa', 'https://www.rappi.com.br/restaurantes/900135119-pizza-nostra']","['O melhor rodízio de pizza  , massa   e petisco   da região Tambaú (83) 3247-0040. Bancários (83) 3023-2295 · No rodízio da Pizza Nostra não pode\xa0...', 'Pizza Nostra Tambaú. Ver mais. • Pedido mínimo R$ 30,00. 4.5. iFood. Site Institucional · Fale conosco · Carreiras · iFood Colômbia. Descubra.', 'Photos · Map · Av. Almirante Tamandaré 970. João Pessoa - PB 58039-010. Brazil. Directions · (83) 3247-0040. Call Now · More Info. Menu for Pizza Nostra · Known For.', 'Pizza Nostra. Rua Rosa Lima dos Santos, 41 - Jardim Cidade Universitaria João Pessoa - PB 58051-590. Pizza - Pizza Nostra. Frete. Grátis. (novos usuários).']"
