,tel,link,descricao
TOP DA ILHA SUPERMERCADOS,NAO DISPONIBILIZADO,"['https://www.instagram.com/topdailhasupermercados/?hl=en', 'https://www.facebook.com/topdailhasuper/', 'https://www.sitemercado.com.br/topdailhasupermercados/florianopolis-top-da-ilha-supermercados-sao-joao-do-rio-vermelho-rodovia-joao-gualberto-soares/produtos/padaria/confeitaria', 'https://www.econodata.com.br/consulta-empresa/01533830000147-TOP-DA-ILHA-SUPERMERCADOS-LTDA', 'https://avaliacoesbrasil.com/supermercado/florianopolis/top-da-ilha-supermercados-rio-/', 'https://www.dnb.com/business-directory/company-profiles.top_da_ilha_supermercados_ltda.baa5cba0dd6b6aa945dedb3ebd21b614.html', 'https://www.waze.com/live-map/directions/br/sc/top-da-ilha-supermercados-(sitio-de-cima)?to=place.ChIJrbo-kuRBJ5URl6CKacRLygk']","['4967 Followers, 1157 Following, 271 Posts - See Instagram photos and videos from TOP DA ILHA SUPERMERCADOS (@topdailhasupermercados)', 'COMPRAR BEM, É TOP!!! . Agora são 4 lojas para melhor atender você, mais o nosso Delivery e ainda estamos no IFood!!! Delivery pelo ZAP', 'Top da Ilha Supermercados. Rodovia João Gualberto Soares, 4458, São João do Rio Vermelho, Florianópolis, SC, 88060-000. Top Da Ilha Supermercados Ltda.', 'Consulte o CNPJ da TOP DA ILHA SUPERMERCADOS de Florianópolis, SC, seus sócios e contatos como telefones, emails e website, além de faturamento,\xa0...', '(Supermercado) em Florianópolis (Santa Catarina). ROD. JOÃO GUALBERTO SOARES, 4458 - SÃO JOÃO DO RIO VERMELHO, FLORIANÓPOLIS - SC, 88058-300, BRASIL.', 'Find company research, competitor information, contact details & financial data for TOP DA ILHA SUPERMERCADOS LTDA of FLORIANOPOLIS, SANTA CATARINA.', 'Realtime driving directions to Top da Ilha Supermercados (Sítio de Cima), 1500 Rod. ... 1500 Rod. João Gualberto Soares, SC, BR. Open in Waze\xa0...']"
SUPER ZANDAO,NAO DISPONIBILIZADO,"['#fpstate=ive&vld=cid:53fdc0f4,vid:--lFVJgjkik', '/search?q=SUPER+XANDAO,+NOVA+PRATA+-+RS&tbm=isch&source=univ&fir=XTGVMwvAJSbn5M%252COsdidc7gFQmCWM%252C_%253BjdPBMXoKpSmSwM%252CHVcdcriutvMPeM%252C_%253BdTaEgt5-bBFC2M%252CbQ2AGBI3Id_f_M%252C_%253BOuS2-aDgICsN1M%252CdUrZrgi_r8MKmM%252C_%253BmYfiYEN4rb-UIM%252C_aOMWEX_hg-zCM%252C_%253BGosTdyod2ff7FM%252CL0gpDWGea0YNnM%252C_%253BIcudl1-GxNomAM%252CUyXDi6F-BNY0BM%252C_%253B8Jeai_1kGZ2P5M%252CxX4LqxBQux9kmM%252C_%253BOf9AleHKT4rWKM%252CQryue1uxAHG2BM%252C_%253BExRFJ2owctdP1M%252COsdidc7gFQmCWM%252C_&usg=AI4_-kSwMSck9jZLrXV9tsQhsLhxmqWhCg&sa=X&ved=2ahUKEwim04Lsh5_9AhXkFlkFHc2EDFAQjJkEegQIOhAC', 'https://www.planetabrasileiro.com/super-zandao-santa-cruz-nova-prata-rs-F100FC60F12D544', 'https://wanderlog.com/drive/between/131160/131645/balneario-camboriu-to-nova-prata-drive', 'https://fr-fr.facebook.com/groups/triboeletrica/', 'https://jornalng.net.br/noticias/soges-conhece-os-campeoes-do-torneio-de-inverno/', 'https://anchor.fm/flow-podcast01/episodes/RENATO-CARIANI-E-JULIO-BALESTRIN--GIANZO---Flow-119-e1p43i0']","['Mar 24, 2022 — Alimentos - supermercados, supermercados - endereço: Rua Capoeiras, 174 - Santa Cruz - Nova Prata, Rio Grande do Sul - telefone: +55 (54)\xa0...', 'The direct drive from Balneario Camboriu to Nova Prata is 388 mi (624 km), and should have a drive time of 7 hrs 23 mins in normal traffic.', 'em perfeito estado; cor prata. Uso de apenas 26 km. Bateria de 48V 10Ah, ... Bike elétrica super nova! ... João Andre Arguelho Xandao et 8 autres personnes.', 'Sep 23, 2022 — Super 10 Original A, Nárnia, Sombras, Dinos, Cevadera e Bud ficaram com as taças · Série Prata · Série Bronze.', 'Arlindinho é filho do Arlindo Cruz e um sambista da nova geração. 02:15:13 ... SUPER XANDÃO É O ÚLTIMO HERÓI DA TERRA PLANA!!!! XANDÃO FOREVER. 01:59:30.']"
MAGAZAN CASTANHEIRA,NAO DISPONIBILIZADO,"['https://m.yelp.com/biz/magazan-castanheira-bel%C3%A9m', 'https://www.facebook.com/magazancasa/', 'https://foursquare.com/v/magazan/4d0636e4c2e53704187cc267', 'https://www.instagram.com/magazancasa/?hl=en', 'http://www.castanheirashopping.com.br/detalhe-loja/magazan-casa', 'https://guiafacil.com/site/magazan-castanheira/belem/pa/9140081006/', '/search?q=MAGAZAN+CASTANHEIRA,+BELEM+-+PA&tbm=isch&source=univ&fir=2eu2G5vGTEa5cM%252C9p8cua5_4zqmYM%252C_%253Bl4TyCOxQOECwnM%252CZxC-19d93CvTkM%252C_%253BwYc-OWYvSObQdM%252COF43gWXRKh1BEM%252C_%253BPTOznZ4uyIzZDM%252Ce-WM3BJvI6TH8M%252C_%253BNQK5JTP539xhAM%252C4ehY-K6GUV5HyM%252C_%253BLYSIgyJtJRGjeM%252Ce-WM3BJvI6TH8M%252C_%253BSoI5vKUlFvDB6M%252CDvMWEUigs4zizM%252C_%253BhIFNZdeGbMtzqM%252C9p8cua5_4zqmYM%252C_%253B0d9ZGXpFTDi_uM%252CsgiG1nIg-kS9uM%252C_%253BCz04oH1jDkxBsM%252CBPxSfYXfW6WJ-M%252C_&usg=AI4_-kQzpkqEP7aquuQsOyH7L6QqddiKCA&sa=X&ved=2ahUKEwjT07vzh5_9AhWHGFkFHXYmCsIQjJkEegQIEhAC', 'https://lojas.magazineluiza.com.br/filiais/1340/belem']","['Rod. BR-316 km 1. Belém - PA 66645-000. Brazil. Directions. (91) 4008-1006. Call Now. More Info. Menu for Magazan Castanheira. Known For.', 'Rodovia BR 316 km 01, 66017-100 Belém, PA, Brazil. Get Directions ... Castanheira shopping 1º piso ... Magazan Casa is at Shopping Castanheira.', 'Magazan. Department Store, Miscellaneous Shop, and Big Box Store. Belém.', '49.5k Followers, 12 Following, 287 Posts - See Instagram photos and videos from Magazan Casa (@magazancasa)', 'Magazan Casa. 1° Andar. 4008-1041. https://magazancasa.com.br/ · Voltar. Fale conosco Trabalhe conosco 91 4008-8100 / 91 4008-8101. Horário de funcionamento.', 'MAGAZAN CASTANHEIRA tem como foco o segmento de Supermercados em Belém. Você pode localizá-lo em Rodovia BR 316, 0 no bairro Castanheira em Belém. Para ...', 'Fale com nossos vendedores da Loja Castanheira e receba as melhores ofertas pelo celular. ... Br-316 Shopping C Castanheira, 0. Castanheira, Belem - PA']"
LIDER CANUDOS,+55 91 4008-1017,"['https://guiafacil.com/site/lider-canudos/belem/pa/9140081436/', 'https://www.solutudo.com.br/empresas/pa/belem/super-minimercados/lider-canudos-4082124', 'https://www.apontador.com.br/local/pa/belem/audio_e_video/C41348613E285O2856/lider_canudos.html', 'https://br.top10place.com/lider-canudos-814900772.html', 'https://www.listaamarela.com.br/empresa/pa/belem/lider-canudos-11125490', 'https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-L%C3%ADder_Canudos-Belem-site_25945889-3183', 'https://belem.com.br/guia/279/lider-canudos']","['LIDER CANUDOS tem como foco o segmento de Supermercados em Belém. Você pode localizá-lo em Avenida Ceará, 518 no bairro Canudos em Belém. Para mais info...', 'A empresa Lider Canudos trabalha desde 2000 na categoria Super - Minimercados na cidade de Belém, PA na Avenida Ceara, Nº 518 - Canudos.', 'Lider Canudos. AV CEARA, 518, Canudos,BELEM - PA, CEP: 66070-080. 0 avaliações.', 'How to contact Lider Canudos ? Address: 518 Avenida Ceará Belém, PA 66070-080. Brazil. Telephone: (91)3236-0539. Download vCard:.', 'Na Lista Amarela você encontra o telefone, endereço e mais informações sobre Líder Canudos em Belém, PA.']"
CENTRO DE DISTRIBUICAO AUGUSTO MONTENEGRO - CDAM,+55 91 4008-1014,"['http://www.grupolideronline.com.br/centro', 'https://www.solutudo.com.br/empresas/pa/belem/super-minimercados/centro-de-distribuicao-augusto-montenegro-cdam-4082122', 'https://www.econodata.com.br/consulta-empresa/05054671001554-LIDER-COMERCIO-E-INDUSTRIA-LTDA-', 'https://pt.foursquare.com/v/centro-de-distribui%C3%A7%C3%A3o-do-grupo-lider--cdam/4eca8e0799115348dc832d79', 'https://www.apontador.com.br/local/pa/belem/fotografia/C41566513F16N16/centro_de_distribuicao_augusto_montenegro_cdam.html', 'https://www.descubraonline.com/guia/pa/belem/centro-de-distribuicao-augusto-montenegro-cdam-05054671001554/', 'https://empresasdobrasil.com/empresa/centro-de-distribuicao-augusto-montenegro-cdam-05054671001554', 'https://www.diariocidade.com/pa/belem/guia/centro-de-distribuicao-augusto-montenegro-cdam-05054671001554/']","['Centro De Distribuicao Augusto Montenegro - Cdam ; Endereço. Rodovia Augusto Montenegro, S/N, Tapana - Km 8 Fundos Belém/PA - CEP 66833-000 ; Telefone. (91) 4008-\xa0...', 'Consulte o CNPJ da CENTRO DE DISTRIBUICAO AUGUSTO MONTENEGRO - CDAM de Belém, PA, seus sócios e contatos como telefones, emails e website,\xa0...', 'Distribuimos para todos o estado do pará marcas de primeira qualidade e o melhor de tudo, com preços bem menor que a concorrencia....venha conferir.', '... do Centro de Distribuicao Augusto Montenegro - Cdam especializado em null localizado em Rodovia Augusto Montenegro, km 8, 66640-000, Agulha, Belém, PA.', 'Centro De Distribuicao Augusto Montenegro - Cdam em Belém, Pará. Acesse agora e confira ✆ Telefones, Endereço, E-mail, Situação, CNAEs, Data de Abertura...', 'Dados da empresa CENTRO DE DISTRIBUICAO AUGUSTO MONTENEGRO - CDAM - LIDER COMERCIO E INDUSTRIA LTDA. - CNPJ 5054671001554.', 'Centro De Distribuicao Augusto Montenegro - Cdam em Belém - PA, Pará. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de\xa0...']"
COMERCIAL DIAS,+55 91 3259-1098,"['https://www.solutudo.com.br/empresas/pa/belem/super-minimercados/comercial-dias-4081927', 'https://www.apontador.com.br/local/pa/belem/alimentos/C401396512105Z1053/comercial_dias.html', 'https://www.descubraonline.com/guia/pa/belem/comercial-dias-04980585000104/', 'https://cnpj.biz/29051994000157', 'https://m.yelp.com/biz/comercial-pague-menos-bel%C3%A9m', 'https://paginaamarela.com.br/empresa/comercial-dias/belem/pa/12653259', 'https://www.jusbrasil.com.br/processos/nome/55503508/comercial-dias-ltda-me']","['Comercial Dias ; Endereço. Rua Barao De Igarape Miri, 40, Guama - Terreo Belém/PA - CEP 66075-000 ; Telefone. (91) 3259-1098 • (91) 3259-1098 ; Email. cont_messias\xa0...', '... o endereço, as fotos e as avaliações do Comercial Dias especializado em null localizado em Rua Br. de Igarapé Miri, terreo, 66075-000, Guamá, Belém, PA.', 'Confira abaixo os telefones, endereço e e-mail para contato de Comercial Dias em Belém, Pará. · Endereço e dados de contato de COMERCIAL DIAS · Locais nas\xa0...', 'A empresa Comercial Dias de CNPJ 29.051.994/0001-57, fundada em 11/11/2017 e com razão social Rosildo Dias Alves, está localizada na cidade Belém do estado Pará\xa0...', 'Photos · Map · Tv. Henrique Dias 140. Belém - PA 66625-620. Brazil. Directions · (91) 3248-2089. Call Now · More Info. Menu for Comercial Pague Menos · Known For. No.', 'Comercial Dias - Supermercados está no bairro Coqueiro na cidade de Belém, PA. Veja aqui o telefone ☎ Telefone (91)... e o endereço completo para nos\xa0...', 'O Jusbrasil encontrou 11 processos de Comercial Dias Ltda me nos Diários Oficiais. A maioria é do TJPA, seguido por TJSP. ... TRF1 · Belém, PA.']"
FILIAL 1262,NAO DISPONIBILIZADO,"['/search?q=FILIAL+1262,+BELEM+-+PA&tbm=isch&source=univ&fir=wQHWUDyqVvJ8CM%252CL4Qngx8_pJOyqM%252C_%253BWJk5nlyrpxqbtM%252C9CIc21jgl8Ym3M%252C_%253BmzIESC6MFWKllM%252CP0UDphWjBvkuuM%252C_%253B6ZAiB7rb2f2psM%252Cf8wb_f5nqsMxlM%252C_%253BJ_WqEcFP_U-w5M%252C0VmyDt6owUl9tM%252C_%253BCjJFlC3QyWuqHM%252CaGsq3V9BPlAipM%252C_%253BExE76AQf-3vWnM%252C8ZkVQlOvB_SxgM%252C_%253B1vaOlX7hI94EXM%252CtkRwRF3DHTGH8M%252C_%253BMzs4Ok7Henw-uM%252CPf84d5G6yjBfAM%252C_%253Bcb5gbEw4gFXcvM%252CbAI5Mp0qwhULDM%252C_&usg=AI4_-kQ2bAOLovc8kXe513pojJnCNKhERw&sa=X&ved=2ahUKEwjymN2LiJ_9AhUQEVkFHShxC_oQjJkEegQICRAC', 'https://www.diretoriobrasil.net/filiais/filial-1374-00776574126095.html?est=14&atv=n', 'https://www.linkedin.com/company/ocrim-s.a.', 'https://www.tjpa.jus.br/PortalExterno/institucional/Selo-Digital/673276-cartorios-implantados.xhtml', 'https://www.econodata.com.br/consulta-empresa/04423503000201-OTICAS-JESUS-LTDA', 'https://consultacnpj.com/cnpj/b2w-companhia-digital-filial-1262-00776574154030', 'https://belem-pa.brasil-infos.com/trans-70-filial-belem-pa/', 'http://www.belem.pa.gov.br/app/ANUARIO_2011/ANUARIO%202011%20COMPLETO.pdf', 'https://www.detran.pa.gov.br/noticias/index.php?id=2426']","['FILIAL 1262 - AMERICANAS S.A.. Avenida Alcindo Cacela, 2397, Cremacao - Belem - PA. Comércio Varejista de Mercadorias em Geral, Com Predominância de\xa0...', 'Avenida Escola Politécnica 1262. Jaguaré. São Paulo, São Paulo 05350-000, BR. Get directions. Avenida Marechal Hermes, s/n. Umarizal. Belém, Pará 66053-150,\xa0...', 'Consulte o CNPJ da OTICA JESUS de Belém, PA, seus sócios e contatos como telefones, ... FILIAL. Opção pelo Simples. EXCLUIDO desde 01/07/2007.', 'O CNPJ da empresa AMERICANAS S.A. é: 00.776.574/1540-30. Tenha acesso ao número de telefone, e-mail, razão social dessa e de outras 43 milhões de empresas.', 'Confira aqui todas as informações disponíveis sobre Trans 70 - Filial Belem-PA em Avenida Almirante Tamandaré, 1100 - Campina, Pará: Descubra o endereço,\xa0...', 'Tabela 3-1.5 - Extinção mensal de filial, por tipo jurídico, na sede e unidades desconcentradas da Junta Comercial do Estado do Pará, no Município de Belém\xa0...', 'Com a adesão de novos cartórios, já são 14 municípios do Pará que contam com ... Belém - 4º Ofício De Notas Filial - 1302 ... Parauapebas - 1º Ofício - 1262']"
SUPERMERCADO VI TORIA,NAO DISPONIBILIZADO,"['https://www.guiatelefone.com/belem-pa/mercados-e-supermercados/1203307/supermercado-vi-toria', 'https://guiafacil.com/site/supermercado-vi-toria/belem/pa/9132262748/', 'https://www.descubraonline.com/guia/pa/belem/supermercado-vi-toria-03226141000115/', 'https://cidadeurgente.com/pa/belem/guia/supermercado-vi-toria-03226141000115/', 'https://informacoesdobrasil.com.br/local/pa/belem/supermercado-vitoria-passagem-stelio-maroja-889a+3674461/', '/search?q=SUPERMERCADO+VI+TORIA,+BELEM+-+PA&tbm=isch&source=univ&fir=FHLN8KHHCcpwjM%252CF35BKq6cgX14tM%252C_%253B1oSF1PpXurEStM%252CfokfTbIoVGOGjM%252C_%253BO_mM6mGJNDXjrM%252CfokfTbIoVGOGjM%252C_%253BGLw6DuRiwVYGhM%252C6S9ui3Xg3KYv4M%252C_%253BNSF4McAxVNDY8M%252CF35BKq6cgX14tM%252C_%253BsKPodG_AtWaDcM%252C-M-pyE4di-KV-M%252C_%253Bm7NBas78rhG7NM%252CfokfTbIoVGOGjM%252C_%253BAy9J0dan9DtpYM%252CsOh3Mdd8MTIglM%252C_%253BFxu_4mpY37IcEM%252CfokfTbIoVGOGjM%252C_%253BzIFx0NZfibjjtM%252ChI7f22T9WgNkqM%252C_&usg=AI4_-kR_wKf1q6xPDXC2_W2Hd5kwe6X8mA&sa=X&ved=2ahUKEwjfjc2RiJ_9AhX7MlkFHVWTCmYQjJkEegQIExAC', 'https://www.tripadvisor.com/Hotel_Review-g303404-d2015236-Reviews-New_Inn_Batista_Campos-Belem_State_of_Para.html', 'https://www.sitemercado.com.br/supermercadoeconomicojurunas/belem-supermercado-economico-pedreira-pedreira-av-pedro-miranda/produto/uva-vitoria-marim-500g']","['Telefone · Supermercado Formosa. (91) 3246-90... telefone · Distribuidora Garcia Estivas em Geral Fátima, Belém, PA Supermercados · Armazém K Delícias. (91) 3276-\xa0...', 'SUPERMERCADO VI TORIA tem como foco o segmento de Supermercados em Belém. Você pode localizá-lo em Rua Domingos Marreiros, 1684 no bairro Fátima em Belé...', 'Confira abaixo os telefones, endereço e e-mail para contato de Supermercado Vi Toria em Belém, Pará. S. G. SOARES VAREJISTA com o CNPJ 03.226.141/0001\xa0...', 'Confira no mapa como chegar em Supermercado Vi Toria, no endereço: Rua Domingos Marreiros, 1684, Fatima, Belém-PA. CEP: 66630-505 .', 'Passagem Stelio Maroja, 889A, Belém - PA ... To navigate, press the arrow keys. BESbswy.', 'New Inn Batista Campos is located in the center of Belém-PA city 1 km meters from the traditional market ... Vitoria, ES435 contributions144 helpful votes.', 'Supermercado Econômico - Pedreira. icone bolsa. Retirada em Av Pedro Miranda, 1021, Pedreira, Belém. icone relógio. Selecione um horário. Trocar de loja.']"
LIDER MARAMBAIA,+55 4008-1040,"['https://untappd.com/v/supermercados-lider-magazan-marambaia/9541837', 'https://m.facebook.com/profile.php?id=1547936835518566', 'https://foursquare.com/v/supermercados-l%C3%ADder--magazan-marambaia/56c70bbf498e757a74240bc2', 'http://www.grupolideronline.com.br/lojas', 'https://www.solutudo.com.br/pa/belem/super-minimercados/lider-marambaia-4082134', 'https://seusfolhetos.com.br/lojas/belem/lider-supermercados/av-tavares-bastos-827-marambaia', 'https://avaliacoesbrasil.com/supermercado/belem/lider-marambaia/']","[""Find out what's popular at Supermercados Líder & Magazan Marambaia in Belém, PA in real-time and see activity."", 'Lider Tavares Bastos Marambaia, Belém, PA, Brazil. 991 likes · 9 talking about this · 6955 were here. Big Box Retailer.', 'See 3 photos from 51 visitors to Supermercados Líder & Magazan Marambaia.', 'MARAMBAIA 24H. Av. Tavares Bastos, 827. Tel.: 4008-1040. Horário: PEDREIRA ... Farma Líder. ALCINDO CACELA ... Rua dos Pariquis, 1056 Jurunas - Belém - PA', 'A empresa Lider Marambaia trabalha desde 2014 na categoria Super - Minimercados na cidade de Belém, PA na Avenida Tavares Bastos, Nº 827 - Marambaia.']"
SUPERMERCADO ATUAL,+55 51 3068-1976,"['https://www.facebook.com/supermercadosatual/?locale=pt_BR', 'https://www.instagram.com/atualsupermercados/?hl=en', 'https://www.solutudo.com.br/empresas/rs/guaiba/super-minimercados/supermercado-atual-10199220', 'https://www.econodata.com.br/consulta-empresa/08917568000183-MERCADO-FROZZA-E-FERNANDES-LTDA', 'https://www.listaamarela.com.br/empresa/rs/guaiba/supermercado_atual_9360741', 'https://pt.foursquare.com/v/supermercado-atual/501e8aade4b0ccb681c7e884', 'https://applocal.com.br/empresa/supermercado-atual/guaiba/rs/12113900', 'https://www.guiatelefone.com/guaiba-rs/mercados-e-supermercados/2381686/supermercado-atual']","['ou. Criar nova conta · Foto da capa: Foto de Atual Supermercados. ... Avenida Lupcinio Rodrigues 1115, bairro Santa Rita, 92500-000 Guaíba, RS. Como chegar.', 'Qualidade, tradição e excelência há 22 anos oferecendo o melhor para seus clientes! Telefone: (51) 34021946 ou (51) 30681976 · 1,346 posts · 3,955 followers.', 'Supermercado Atual ; Endereço. Avenida Lupicinio Rodrigues, 1115, Santa Rita Guaíba/RS - CEP 92500-000 ; Telefone. (51) 3472-2532 ; Email. mercadoatualguaiba@gmail\xa0...', 'Consulte o CNPJ da SUPERMERCADO ATUAL de Guaíba, RS, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...', 'Na Lista Amarela você encontra o telefone, endereço e mais informações sobre Supermercado Atual em Guaíba, RS.', 'volnei w. ... ""Bom mercado."" Laryssa O. Laryssa Oliveira · Brasil » RS » » Guaíba ». Esta é a sua empresa\xa0...', 'WhatsApp ☎ (51) 98226-34... Realize suas compras no Supermercado Atual em Guaíba, RS. Atuamos como Supermercados na região, onde a nossa família atende a\xa0...', 'Avaliações, telefone e endereço de SUPERMERCADO ATUAL em Jardim Santa Rita, Guaíba, RS. Ligue (51) 3491-49...']"
