,tel,link,descricao
MORAES SUPERMERCADOS,+55 71 3395-0506,"['https://www.apontador.com.br/local/ba/salvador/supermercados/001768089000101/moraes_supermercados.html', 'https://www.solutudo.com.br/empresas/ba/salvador/super-minimercados/moraes-supermercados-5335519', 'https://www.listamais.com.br/local/cad_id9f0QBX/moraes-supermercados-mercados-em-salvador-ba', 'https://avaliacoesbrasil.com/supermercado/salvador/moraes-supermercados/', 'https://eguias.net/moraes-supermercados-salvador-ba', 'https://www.econodata.com.br/consulta-empresa/01768089000101-MERCADINHO-F-C-LTDA', 'https://www.locaisdobrasil.com.br/encontre/mercados/salvador-ba/moraes-supermercados/63162d2a6c74b7fce2ade282', 'https://foursquare.com/v/supermercado-moraes/50cf1ccbe4b0e9d6479d8a06', 'https://www.boaempresa.com.br/local/moraes-supermercados-supermercados-salvador-ba-567077', 'https://www.benditoguia.com.br/empresa/moraes-supermercados-aguas-claras-salvador-ba']","['Encontre qual o telefone, o endereço, as fotos e as avaliações do Moraes Supermercados ... em Estrada Matadouro, 82, 86, 41311-262, Águas Claras, Salvador, BA.', 'Moraes Supermercados ; Endereço. Rua Do Matadouro, 82/86, Aguas Claras - Terreo Salvador/BA - CEP 41310-000 ; Telefone. (71) 3395-6902 • (71) 3395-0506 ; Email.', 'Moraes Supermercados Salvador BA Mercados | Encontre na Lista Mais o Telefone, WhatsApp, Endereço, Avaliações e Como Chegar em Rua Matadouro , Aguas Claras.', '(Supermercado) em Salvador (Bahia). R. DO MATADOURO, 82 - ÁGUAS CLARAS, SALVADOR - BA, 41310-000, BRASIL. Moraes Supermercados.', 'Moraes Supermercados está situada no bairro Águas Claras na cidade de Salvador, BA. Nosso telefone para contato: (71) 3395.', 'Consulte o CNPJ da MORAES SUPERMERCADOS de Salvador, BA, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...', 'Moraes Supermercados em Salvador - BA, melhor Mercados da região. Veja como chegar no endereço, horário de funcionamento, telefone, promoções,\xa0...', 'See 2 photos and 1 tip from 197 visitors to Supermercado Moraes. ""Wisque com agua de coco blz"" ... Águas Claras, Salvador.', 'Telefone e endereço de Moraes Supermercados em Salvador Rua Do Matadouro, 82 Águas Claras - Salvador - BA Tel: (71) 339...', 'Moraes Supermercados Águas Claras Salvador BA - Supermercado em Salvador localizada no endereço R. do Matadouro, 82 - Águas Claras, Salvador - BA,\xa0...']"
CRIS EMBALAGENS,+55 71 3249-1343,"['https://pt-br.facebook.com/crisembalagens/', 'https://crisembalagens.negocio.site/', 'https://guiafacil.com/site/cris-embalagens/salvador/ba/7132491343/', 'https://www.solutudo.com.br/empresas/ba/salvador/doces/cris-embalagens-5335895', 'https://www.apontador.com.br/local/ba/salvador/embalagens/C403845F2A245U245E/cris_embalagens.html', 'https://www.listamais.com.br/local/cad_idDZf7QX7/cris-embalagens-embalagens-em-salvador-ba', 'https://www.goomer.app/cris-embalagens', 'https://cnpj.biz/01857987000128', '/search?q=CRIS+EMBALAGENS,+SALVADOR+-+BA&tbm=isch&source=univ&fir=B6OWLize5AJYUM%252CflISFtzvkvsjUM%252C_%253BkfC13Bz8vMCFEM%252CQ60I8PJcfXnFeM%252C_%253BSTw8hv176cNgAM%252CflISFtzvkvsjUM%252C_%253B_7IUF24yALuELM%252CQ60I8PJcfXnFeM%252C_%253BMlSwI8qcA7BKWM%252CNXqqlWAT3JoiZM%252C_%253Bra463AH4aPn_cM%252CQ60I8PJcfXnFeM%252C_%253BjcIB112xga5RCM%252CflISFtzvkvsjUM%252C_%253BWNziJuWBlL7KxM%252CQ60I8PJcfXnFeM%252C_%253BpHj28UKfrVa8QM%252CflISFtzvkvsjUM%252C_%253BzaiukrryCKHQaM%252Cvut8SF-eRg3aMM%252C_&usg=AI4_-kReFcRc5QqhVPJSrpfAYbziWNYFFQ&sa=X&ved=2ahUKEwj3odu5u5L9AhVkF1kFHZZ_DYcQjJkEegQIGRAC']","['CRIS EMBALAGENS tem como foco o segmento de Embalagens em Salvador. Você pode localizá-lo em Rua Santo Amaro, 44 no bairro Itapuã em Salvador. Para mais...', 'A empresa Cris Embalagens que tem como razão social Maria Cristina Lima Alves foi fundada em 23/05/1997 e está cadastrada na Solutudo no segmento de Doces\xa0...', '... o endereço, as fotos e as avaliações do Cris Embalagens especializado em null localizado em Rua Sto. Amaro, 44, LOJA, 41620-480, Itapuã, Salvador, BA.', 'Cris Embalagens Salvador BA Embalagens | Encontre na Lista Mais o Telefone, WhatsApp, Endereço, Avaliações e Como Chegar em Rua Santo Amaro,', 'Faça seu pedido online no Cris Embalagens, null em Salvador. Acesse e peça agora pelo delivery Goomer!', 'Todos os dados da empresa Cris Embalagens Maria Cristina Lima Alves com CNPJ 01.857.987/0001-28 - 01857987000128 de Salvador/BA. Telefone, E-mail, CNAE(s).']"
MERCEARIA ANDRADE,+55 71 3303-4355,"['https://m.yelp.com/biz/mercearia-andrade-salvador', 'https://www.solutudo.com.br/empresas/ba/salvador/super-minimercados/mercearia-andrade-5334608', 'https://www.econodata.com.br/consulta-empresa/47087736000102-ROBSON-DOS-SANTOS-DE-ANDRADE', 'https://www.apontador.com.br/local/ba/salvador/alimentos_e_bebidas/C408570F280D4D0D4B/mercearia_andrade.html', 'https://eguias.net/empresa/mercearia-andrade/salvador/ba/66093', 'https://cnpj.biz/47087736000102', 'https://www.listamais.com.br/local/cad_id9D0fX9/mercearia-andrade-emporios-e-armazens-em-salvador-ba']","['A empresa Mercearia Andrade trabalha desde 1996 na categoria Super - Minimercados na cidade de Salvador, BA na Rua Mello Moraes Filho, Nº 365 - Fazenda\xa0...', 'Consulte o CNPJ da MERCEARIA ANDRADE de Salvador, BA, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...', 'Mercearia Andrade. Rua Melo Morais Fo., 365, Fazenda Grande do Retiro,Salvador - BA, CEP: 40301-155. 0 avaliações.', 'Mercearia Andrade atua no segmento Armazéns, Empórios e Mercearias, está situada:no no bairro Fazenda Grande do Retiro, na cidade de Salvador, BA.', 'Jul 9, 2022 — Todos os dados da empresa Mercearia Andrade Robson dos Santos de Andrade com CNPJ 47.087.736/0001-02 - 47087736000102 de Salvador/BA.', 'Mercearia Andrade Salvador BA Empórios e Armazéns | Encontre na Lista Mais o Telefone, WhatsApp, Endereço, Avaliações e Como Chegar em Rua Melo Morais Filho\xa0...']"
MODA DE GOIANIA,+55 71 98136-5500,"['https://www.solutudo.com.br/empresas/ba/salvador/c/moda-goiania-5547084', 'https://avaliacoesbrasil.com/loja-de-roupa/salvador/moda-goiania/', 'https://www.diariocidade.com/ba/salvador/guia/moda-goiania-31445643000172/', 'https://www.apontador.com.br/local/ba/salvador/confeccoes/C40619773C5A0Z5A05/moda_de_goiania.html', 'https://www.descubraonline.com/guia/ba/salvador/moda-goiania-31445643000172/', 'https://www.locaisdobrasil.com.br/encontre/loja-de-roupa/salvador-ba/moda-goiania/61ce033c6d02c968e4a297bf', 'https://www.instagram.com/usegoianiafashion/?hl=en', 'https://www.econodata.com.br/consulta-empresa/31445643000172-PALOMA-SANTOS-SILVA-EIRELI', '/search?q=MODA+DE+GOIANIA,+SALVADOR+-+BA&tbm=isch&source=univ&fir=lUwAZCKMpMkSbM%252CPGhSfATV_MmXCM%252C_%253Ba6o6Z0b9AoUUtM%252CSQllb0KoIhVN2M%252C_%253B07nCKmJsuCTK2M%252Csh9BuUR8xNlyAM%252C_%253BIYZx5iCs2ZmoVM%252CDjEEK-YO1fE45M%252C_%253Bc9aRLmlzu7gxMM%252Csh9BuUR8xNlyAM%252C_%253BCDn_2641-oqiXM%252CSQllb0KoIhVN2M%252C_%253ByyiNqf7RVDTtZM%252C1hAylmwK-MxxQM%252C_%253BMLP9W5ZL8BuquM%252C1hAylmwK-MxxQM%252C_%253BXlxNmvsmyqkjSM%252CEDVrm53ez00oPM%252C_%253B9hm7sNc5XiPFsM%252CQSHJ2veeDKdywM%252C_&usg=AI4_-kTz2u7ZIR4zkalJ0Y7wRaAyQXjS8A&sa=X&ved=2ahUKEwj-pMvFu5L9AhVGMlkFHfd1CUQQjJkEegQIJhAC', 'https://www.facebook.com/feiraodosgoianos/?locale=pt_BR']","['A empresa Moda Goiania trabalha desde 2018 na categoria Roupas e Acessórios na cidade de Salvador, BA na Avenida Dorival Caymmi, Nº 490 - Itapua.', '(Loja De Roupa) em Salvador (Bahia). AV. DORIVAL CAYMMI, 190 - ITAPUÃ, SALVADOR - BA, 41635-150, BRASIL. Moda Goiânia.', 'A empresa Moda Goiania, localizada no bairro Itapua, em Salvador-BA foi fundada em 2018 ... Avenida Dorival Caymmi, 490, Itapua, Salvador/BA - CEP 41635-150\xa0...', 'Encontre qual o telefone, o endereço, as fotos e as avaliações do Moda de Goiania ... em Rua Da Tranquilidade, 11, 41705-200, Boca do Rio, Salvador, BA.', 'Confira abaixo os telefones, endereço e e-mail para contato de Moda Goiania em Salvador, Bahia. · 47.55-5-03 Comercio Varejista de Artigos de Cama, Mesa e Banho\xa0...', 'Moda Goiânia em Salvador - BA, melhor Loja de roupa da região. Veja como chegar no endereço, horário de funcionamento, telefone, promoções,\xa0...', 'desapegacapitaldaspraias. Desapega Capital Das Praias · lojabocavermelha. BOCAVERMELHA ® · salvadormeucarnaval. Carnaval de Salvador · achei.em_salvador.ba.', 'Consulte o CNPJ da MODA GOIANIA de Salvador, BA, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de funcionários,\xa0...', '(Cidade Baixa), Salvador, BA, Brazil ... Novo Feirão Dos Goianos trazendo da capital da moda ... sucesso com seus lindos calçados de Goiânia !!']"
VALBRAZ,NAO DISPONIBILIZADO,"['https://www.solutudo.com.br/ba/salvador/super-minimercados/valbraz-5340094', 'https://en.wikipedia.org/wiki/Salvador,_Bahia', 'https://www.econodata.com.br/consulta-empresa/03231469000120-VALBRAZ-COMERCIO-VAREJISTA-DE-GENERO-ALIMENTICIOS-LTDA', '/search?q=VALBRAZ,+SALVADOR+-+BA&tbm=isch&source=univ&fir=B5N9ffVHkecfTM%252CpxBxr_j6hJur3M%252C_%253B7NI31dvdi-iKMM%252C__enw9Y6E16cUM%252C_%253Bbx3uP05XNZ376M%252CeCeA7frdb11sSM%252C_%253BtwqOnnOxCfhC3M%252CpxBxr_j6hJur3M%252C_%253B6y4P0wUNwh4i7M%252CpxBxr_j6hJur3M%252C_%253BlL_99q79ZoigPM%252CbBISQSCrDqBRWM%252C_%253BHuNLBiNthJ7zFM%252CpxBxr_j6hJur3M%252C_%253BTixjOqNxys5FqM%252CD47Esq4AA7dniM%252C_%253Biv4ZoC7xl6ErDM%252CD47Esq4AA7dniM%252C_%253B9MeXQkN055nGaM%252CD47Esq4AA7dniM%252C_&usg=AI4_-kSHtOyNeLDb5-EWmASxf0iwHHdeCA&sa=X&ved=2ahUKEwjcocbLu5L9AhXPEmIAHTOSDbQQjJkEegQIChAC', 'https://www.apontador.com.br/local/ba/salvador/alimentos/C4033626365E2E5E29/valbraz.html', 'https://whc.unesco.org/en/list/309/', 'https://whc.unesco.org/en/list/309/', 'https://www.descubraonline.com/guia/ba/salvador/valbraz-03231469000120/', 'https://br.todosnegocios.com/pt/valbraz-comercio-varejista-de-genero_1O-71-3397-1002']","['Valbraz ; Endereço. Rua Rua Dr Eduardo Dotto, 79, Paripe Salvador/BA - CEP 40800-010 ; Telefone. (71) 3397-9765 ; Email. hiloli@bol.com.br.', 'Salvador (English: Savior) is a Brazilian municipality and capital city of the state of Bahia. Situated in the Zona da Mata in the Northeast Region of\xa0...', 'Consulte o CNPJ da VALBRAZ de Salvador, BA, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de funcionários,\xa0...', '... telefone, o endereço, as fotos e as avaliações do Valbraz especializado em null localizado em Rua Doutor Eduardo Dotto, 40800-010, Paripe, Salvador, BA.', 'As the first capital of Brazil, from 1549 to 1763, Salvador de Bahia witnessed the blending of European, African and Amerindian cultures.', 'Confira abaixo os telefones, endereço e e-mail para contato de Valbraz em Salvador, Bahia. VALBRAZ COMERCIO VAREJISTA DE GENERO ALIMENTICIOS LTDA com o CNPJ\xa0...', 'Valbraz Comercio Varejista De Genero Alimenticios está localizado em Salvador (Bahia). Esta empresa está operando na seguinte indústria: Mercearias e\xa0...']"
MARAVILHAS DO LAR,+55 71 3017-6922,"['https://www.maravilhasdolar.com/', 'https://www.solutudo.com.br/empresas/ba/salvador/cutelaria/maravilhas-do-lar-5353982', 'https://www.diariocidade.com/ba/salvador/guia/maravilhas-do-lar-07267564000134/', 'https://www.apontador.com.br/local/ba/salvador/alimentos/C40740270B160N160A/maravilhas_do_lar.html', 'https://omelhordobairro.com/salvador-centro/anuncio/maravilhas-do-lar-95870', 'https://www.descubraonline.com/guia/ba/salvador/maravilhas-do-lar-07267564000134/', 'https://www.facebook.com/profile.php?id=100069574661673', 'https://applocal.com.br/empresa/maravilhas-do-lar/salvador/ba/11583004']","['Tapete de Banheiro · Em até 15x fixas No cartão Maravilhas do Lar · Frete Fixo R$ 30 estado de SP · 1º troca grátis Confira nossa política · Retire na loja Compre\xa0...', 'Maravilhas Do Lar ; Endereço. Rua Tomaz Gonzaga, 373, Pernambues - Terreo Salvador/BA - CEP 41130-000 ; Telefones. (71) 9137-6078\xa0...', 'A empresa Maravilhas Do Lar, localizada no bairro Centro, em Salvador-BA foi fundada em 2005. A atividade principal da empresa é Comércio Varejista de\xa0...', 'Encontre qual o telefone, o endereço, as fotos e as avaliações do Maravilhas do Lar ... localizado em Rua General Labatut, 84, 40070-100, Barris, Salvador, BA.', 'Maravilhas Do Lar - 1839 Em Centro, Salvador, Ba e mais, você encontra no O Melhor do Bairro. Informações, fotos, localização, funcionamento. Confira!', 'Maravilhas Do Lar em Salvador, Bahia. Acesse agora e confira ✆ Telefones, Endereço, E-mail, Situação, CNAEs, Data de Abertura...', 'LAR 7 Maravilhas, Salvador, Bahia, Brazil. 38 likes · 3 were here. O LAR 7 MARAVILHAS que cuidada de idosos acima de 60 anos portadores de deficiências...', 'Ligue ☎ (71)... Precisa ir ao supermercado? Venha para Maravilhas do Lar - Supermercados em Salvador, BA. Confira nossas ofertas e realize aqui suas\xa0...']"
O ABENCOADO,+55 71 98606-1347,"['https://www.solutudo.com.br/empresas/ba/salvador/super-minimercados/o-abencoado-5357355', 'https://www.tiktok.com/@miirandowskii/video/7183085067604937990', 'https://www.sympla.com.br/evento/abencoado/1453816', 'https://www.instagram.com/santa__izabel/', '/search?q=O+ABENCOADO,+SALVADOR+-+BA&tbm=isch&source=univ&fir=M9H9pswlSe5KvM%252CKcpbU8zNKnmVLM%252C_%253B1IUQ98gVGxEWdM%252C0gyBElxHy47F1M%252C_%253BaDHQHSe0DDCSqM%252C0gyBElxHy47F1M%252C_%253B-kzzAK8jzyloRM%252CkBqjDQeKTVp4xM%252C_%253BxAv5DWX3oyf61M%252Cw2tOoud4RQAusM%252C_%253BenEkzqLdJZzY_M%252Co0eRtCS7OnktMM%252C_%253BOtTVzGoNqDAsJM%252C6xjVKZUn6JVCgM%252C_%253B3bWMQjj4BC1sIM%252C0gyBElxHy47F1M%252C_%253BWsgt98VPUc_ivM%252CMro9NtiCR8ORzM%252C_%253BmKo8uYoR2_j0-M%252CPTm1j-nEpwHHcM%252C_&usg=AI4_-kQwDqD3XUdNxuSmvWLlRfuK-XQvbg&sa=X&ved=2ahUKEwiakOzXu5L9AhUrE1kFHW_CC0oQjJkEegQIBhAC', 'https://www.apontador.com.br/local/ba/salvador/alimentos/C408283756303E3034/o_abencoado.html', 'https://www.tripadvisor.com.br/ShowUserReviews-g303272-d15019597-r696135465-Salvador_Bahia_Pelourinho-Salvador_State_of_Bahia.html', 'https://partiubalada.com.br/abencoado-13-01-2022', 'https://www.linkedin.com/in/aben%C3%A7oado-bia-5a727989']","['A empresa O Abencoado trabalha há mais de 16 anos na categoria Super - Minimercados na cidade de Salvador, BA na Avenida Beira Rio, Nº 16 - Periperi.', 'Jan 13, 2023 — Compre ingressos para Abençoado em Salvador dia 13 de janeiro. Confira os melhores eventos de ... Evento presencial em Amado, Salvador - BA\xa0...', 'Salvador-Ba . Msm sem merecer, Deus mim ama ❤️ · 21 posts · 747 followers · 738 following\xa0...', 'Encontre qual o telefone, o endereço, as fotos e as avaliações do O Abencoado especializado em null localizado em Rua Porto Alegre, 6-D, CASA, 40720-332,\xa0...', 'Salvador Bahia Pelourinho: Lugar abençoado - Veja 26 dicas e avaliações dos hóspedes, 55 fotos e encontre promoções para Salvador Bahia Pelourinho,\xa0...', 'Abençoado no Amado. Com Cheiro de Amor, Negra Cor e Batifun. Dia 13/01/2022 (Quinta) às 14:00h no Amado em Salvador/BA. All inclusive com Buffet de Feijoada\xa0...', ""View Abençoado Bia's profile on LinkedIn, the world's largest professional ... Abençoado has 1 job listed on their profile. ... Salvador, Bahia, Brazil.""]"
MERCADINHO CRISTAL,+55 71 3256-6205,"['https://www.solutudo.com.br/empresas/ba/salvador/super-minimercados/mercadinho-cristal-5357788', 'https://www.apontador.com.br/local/ba/salvador/alimentos_e_bebidas/C4073997590A1E0A12/mercadinho_cristal.html', 'https://guiafacil.com/site/mercadinho-cristal/salvador/ba/7132566205/', 'https://www.listaamarela.com.br/empresa/ba/salvador/mercadinho-cristal_10077829', 'https://www.descubraonline.com/guia/ba/salvador/mercadinho-cristal-08103697000138/', 'https://sosserv.com.br/Mercadinho-Cristal-SALVADOR-telemap-650293.htm', 'https://salvador.mylinq.com.br/mercadinho-cristal-salvador-telelista-2360708.htm', 'https://paginaamarela.com.br/empresa/mercadinho-cristal/salvador/ba/10087470', 'https://www.diariocidade.com/ba/salvador/guia/mercadinho-cristal-08103697000138/']","['Mercadinho Cristal ; Endereço. Rua Conde De Porto Alegre, 37, Iapi - Terreo Salvador/BA - CEP 40330-201 ; Telefones. (71) 3256-6205 ; Email. rissosilva@bol.com.br.', 'Mercadinho Cristal. Rua Conde de Porto Alegre, 45, TERREO, Iapi,Salvador - BA, CEP: 40330-201. 0 avaliações.', 'MERCADINHO CRISTAL tem como foco o segmento de Supermercados em Salvador. Você pode localizá-lo em Rua Conde Porto Alegre, 45 no bairro Garcia em Salvad...', 'MERCADINHO CRISTAL está na categoria da Supermercados em Salvador/BA. Rua Conde Porto Alegre , 45. Garcia, Salvador, BA.', 'Confira abaixo os telefones, endereço e e-mail para contato de Mercadinho Cristal em Salvador, Bahia. · Endereço e dados de contato de MERCADINHO CRISTAL · Locais\xa0...', 'Na Mercadinho Cristal você encontra: Cristal em SALVADOR no Endereço: Rua Conde de Porto Alegre, 45 - Iapi, Salvador - BA, 40330-200, Brazil.', 'Na Mercadinho Cristal você encontra: Cristal em SALVADOR BA - Rua Conde de Porto Alegre, 45 - Iapi, Salvador - BA, 40330-200, Brazil.', 'Mercadinho Cristal - Hipermercado está no bairro Garcia na cidade de Salvador, BA. Veja aqui o telefone Telefone (71)... e o endereço completo para nos\xa0...', 'Mercadinho Cristal em Salvador - BA, Bahia. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Diário Cidade.']"
BOMBONIERE ENGENHO DOCE,NAO DISPONIBILIZADO,"['https://www.solutudo.com.br/empresas/ba/salvador/super-minimercados/bomboniere-engenho-doce-5343592', 'https://www.tripadvisor.com/Restaurant_Review-g303272-d5642090-Reviews-Bomboniere_Q_Doce-Salvador_State_of_Bahia.html', 'https://www.apontador.com.br/local/ba/salvador/alimentos/C4042306421A4D1A4D/bomboniere_engenho_doce.html', 'https://www.descubraonline.com/guia/ba/salvador/bomboniere-engenho-doce-03904467000154/', 'https://www.econodata.com.br/consulta-empresa/03904467000154-MERCEARIA-ENGENHO-DOCE-LTDA', 'https://foursquare.com/v/bomboniere-kidoce/51b37c0b498ee782f08b5748', 'https://www.diariocidade.com/ba/salvador/guia/bomboniere-engenho-doce-03904467000154/']","['Bomboniere Engenho Doce ; Endereço. Rua Das Palmeiras, 75 E, Engenho Velho Da Federacao Salvador/BA - CEP 40220-880 ; Telefones. (71) 3247-9576 ; Email.', ""Bomboniere Q'Doce, Salvador: See unbiased reviews of Bomboniere Q'Doce, ... 82 Engenho Velho De Brotas, Salvador, State of Bahia 40243-000 Brazil + Add\xa0..."", '... qual o telefone, o endereço, as fotos e as avaliações do Bomboniere Engenho Doce ... em null localizado em Rua Da Palmeira, 41615-010, Itapuã, Salvador, BA.', 'Confira abaixo os telefones, endereço e e-mail para contato de Bomboniere Engenho Doce em Salvador, Bahia. MERCEARIA ENGENHO DOCE LTDA com o CNPJ 03.904.467/\xa0...', 'Consulte o CNPJ da BOMBONIERE ENGENHO DOCE de Salvador, BA, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...', 'See 1 photo from 8 visitors to Bomboniere Ki-doce. ... Photo taken at Bomboniere Ki-doce by Jeane C. on 6/8/ ... Engenho Velho de Brotas, Salvador.', 'Bomboniere Engenho Doce em Salvador - BA, Bahia. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Diário\xa0...']"
LIDER PAES & CIA,+55 71 3330-1754,"['https://pt-br.facebook.com/liderpaesecia/', 'https://www.econodata.com.br/consulta-empresa/02337177000103-JL-PANIFICADORA-E-LANCHONETE-LTDA', 'https://restaurantguru.com.br/Lider-Paes-e-Cia-Salvador', 'https://www.locaisdobrasil.com.br/encontre/padarias/salvador-ba/lider-paes-e-cia/63162bf96c74b7fce2ade143', 'https://cnpj.biz/02337177000103', 'https://soamaps.com/country/BR/1300376/lider-paes-e-cia', 'https://www.descubraonline.com/guia/ba/salvador/lider-paes-cia-02337177000103/', 'https://br.todosnegocios.com/pt/l%C3%ADder-p%C3%A3es-e-cia-71-3330-1754']","['Líder Pães e Cia, Salvador, Bahia, Brazil. 138 likes · 20 were here. Bakery.', 'Consulte o CNPJ da LIDER PAES & CIA de Salvador, BA, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...', 'Jan 8, 2023 — Líder Pães e Cia, #1342 entre Salvador cafés: 149 avaliações e 17 fotos detalhadas. Encontrar no mapa e ligar para reservar uma mesa.', 'Líder Pães e Cia atua no ramo de Padarias, localizado em , 32 - Vasco da Gama, Salvador - BA, 40230-680. Veja telefone, como chegar endereço,\xa0...', 'Todos os dados da empresa Lider Paes & Cia Jl Panificadora e Lanchonete LTDA com CNPJ 02.337.177/0001-03 - 02337177000103 de Salvador/BA. Telefone, E-mail.', 'Rua Sérgio de Carvalho, 32 - Vasco da Gama, Salvador - BA, 40230-680, Brazil.', 'Lider Paes & Cia em Salvador, Bahia. Acesse agora e confira ✆ Telefones, Endereço, E-mail, Situação, CNAEs, Data de Abertura...', 'Líder Pães e Cia está localizado em Salvador (Bahia). Esta empresa está operando na seguinte indústria: Padarias. Indústria Comida » Compras - Outros; Padarias.']"
