,tel,link,descricao
DIVINO SABOR,+55 46 3225-7592,"['https://www.facebook.com/restauranteelancheriadivinosabor/', 'https://www.tripadvisor.com.br/Restaurant_Review-g1023657-d8059189-Reviews-Restaurante_Divino_Sabor-Pato_Branco_State_of_Parana.html', 'https://www.tripadvisor.ca/Restaurant_Review-g1023657-d8059189-Reviews-Restaurante_Divino_Sabor-Pato_Branco_State_of_Parana.html', 'https://m.yelp.com/biz/restaurante-divino-sabor-pato-branco', 'https://restaurantguru.com.br/Divino-Sabor-Pato-Branco', 'https://www.ifood.com.br/delivery/pato-branco-pr/divino-sabor-pizzaria-centro/a438e86e-fe02-4def-b8c0-4711d1419586', 'https://cardapio.menu/restaurants/pato-branco/restaurante-divino-sabor-1', 'https://g123.com.br/contato/4632257592-restaurante-e-lancheria-divino-sabor-rua-pedro-ramires-de-mello-223-pato-branco-pr']","['Divino Sabor · 223 Rua Pedro Ramires de Mello, Pato Branco, PR. Como chegar · Classificação · 0. (0 avaliações) · 85 pessoas fizeram check-in aqui · +55 46 3225-\xa0...', 'Restaurante Divino Sabor, Pato Branco: See 3 unbiased reviews of Restaurante Divino Sabor, rated 3.5 of 5 on Tripadvisor and ranked #117 of 193 restaurants\xa0...', 'R. Pedro Ramires de Mello 223. Pato Branco - PR 85501-250. Brazil. Directions ; (46) 3225-7592. Call Now ; More Info. Menu for Restaurante Divino Sabor.', 'Jan 15, 2023 — Divino Sabor Restaurante e Lancheria, #175 entre Pato Branco restaurantes: ❤️ 17 avaliações e 22 fotos ... Pato Branco, Paraná, Brasil.', 'Faça seu pedido online na Divino Sabor Pizzaria e receba em casa agora mesmo! Delivery de Restaurantes em Pato Branco é aqui no iFood.', 'O cardápio de Restaurante Divino Sabor em Pato Branco tem 1 pratos. ... Rua Pedro Ramires de Mello 223 | Centro, Pato Branco, State of Parana 85501-250,\xa0...', 'Telefone WhatsApp Mapa Site Restaurante e Lancheria Divino Sabor , endereço Rua Pedro Ramires de Mello, 223. ... Bar e Restaurantes em Pato Branco - PR\xa0...']"
MAOS NA MASSA,+55 46 3225-6321,"['https://www.facebook.com/maosnamassapb/', 'https://www.instagram.com/maosnamassapb/?hl=en', 'https://aiqfome.com/PR/pato-branco/maos-na-massa', 'https://www.ifood.com.br/delivery/pato-branco-pr/maos-na-massa-parque-do-som/d9bdc1d8-5936-42de-8281-c0cb66bfbaaa', 'https://www.procuroacho.com/empresas/pr/pato-branco/08.697.723/0001-01/maos-na-massa', 'https://www.informecadastral.com.br/cnpj/maos-na-massa-industria-e-comercio-de-alimentos-ltda-08697723000101', 'https://www.turismo2rodas.com/pr/pato-branco/guia/maos-na-massa-08697723000101/', 'https://www.diariocidade.com/pr/pato-branco/guia/maos-na-massa-08697723000101/']","['A legítima casa italiana! A la carte, rodízio e delivery Rua Araribóia, 2035, 85505-445 Pato Branco, PR, Brazil.', 'Mãos na Massa. A legítima casa italiana! A la carte, rodízio e delivery Para reservas e pedidos, clique no link. linktr.ee/maosnamassapb.', 'Delivery de Lasanha, Pizza e Massas no Mãos Na Massa de Pato Branco.', 'Nosso restaurante e delivery conta com deliciosos pratos italianos, preparados de maneira artesanal desde a massa até todos os molhos.', '... razão social Maos Na Massa Industria e Comercio de Alimentos Ltda e nome fantasia Maos Na Massa. Localizada em Pato Branco / PR, a empresa é uma Matriz\xa0...', 'O CNPJ da empresa Maos Na Massa Industria e Comercio de Alimentos Ltda (Maos Na Massa) é 08.697.723/0001-01. Com sede em PATO BRANCO, PR, possui 15 anos,\xa0...', 'Maos Na Massa em Pato Branco, Paraná. Acesse agora e confira ✆ telefones, endereço e horários de atendimento dessa empresa | Turismo2Rodas.', 'Maos Na Massa em Pato Branco - PR, Paraná. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Diário Cidade.']"
YUJ SUHI HOUSE,+55 46 3225-5533,"['https://www.tripadvisor.com/Restaurant_Review-g1023657-d5342634-Reviews-Yuj_Suhi_House-Pato_Branco_State_of_Parana.html', 'https://www.yelp.com/biz/yuj-sushi-house-pato-branco', 'https://untappd.com/v/restaurante-yuj-sushi-house/2596272?filter=you', 'https://www.facebook.com/yujsushihouse/', 'https://menulist.menu/restaurants/pato-branco/yuj-suhi-house', 'https://www.tripadvisor.co/LocationPhotoDirectLink-g1023657-d5342634-i154233138-Yuj_Suhi_House-Pato_Branco_State_of_Parana.html', 'https://foursquare.com/v/restaurante-yuj-sushi-house/4e5e47a0a809fd79d2961e92/photos', 'https://restaurantguru.com/Yuj-Sushi-House-Pato-Branco', '/search?q=YUJ+SUHI+HOUSE,+PATO+BRANCO+-+PR&tbm=isch&source=univ&fir=gbH5QBNECB9iqM%252CMqyRPw4pOVWV7M%252C_%253BYb5alxZ82VX1AM%252CMqyRPw4pOVWV7M%252C_%253BoTJARGa-qEMuiM%252CcLZW49Odt19DlM%252C_%253BDMTqmHGx02xFgM%252CcCfTh4VXURJ25M%252C_%253BNMZUMYVFPoDaMM%252CEUnAaHwjzJlgmM%252C_%253Bxr6Id4Qxed6yJM%252CcLZW49Odt19DlM%252C_%253BadLMuoKwC5AtSM%252C3yWS18E3PxOy1M%252C_%253BhIcZ1hcAeDfzZM%252CMqyRPw4pOVWV7M%252C_%253BnOSUi_SkNL7JdM%252CMqyRPw4pOVWV7M%252C_%253BG8vZ8iM8j6tvrM%252CFSQ86aJ4UebbUM%252C_&usg=AI4_-kRWr0OFrkxcw82NyXN9gnl7Lps4Vw&sa=X&ved=2ahUKEwjP3_v2lZH9AhVvEFkFHWweA48QjJkEegQILRAC', 'https://g123.com.br/contato/4632255533-restaurante-yuj-sushi-house-rua-assis-brasil-219-pato-branco-pr']","[""Delivery & Pickup Options - Yuj Sushi House in Pato Branco, reviews by real people. Yelp is a fun and easy way to find, recommend and talk about what's\xa0..."", 'Restaurante Yuj Sushi House. Sushi Restaurant. Assis Brasil, 219 Pato Branco, PR ( Map ). Incorrect Information? Learn More.', 'Yuj Sushi House · Page · Sushi Restaurant · Maria Bueno, 75, Pato Branco, PR, Brazil · +55 46 3225-5533 · yujsushih@gmail.com · Closed now · Rating · 4.6 (349 Reviews).', 'Sep 13, 2022 — On this page you can find the full menu of Yuj Suhi House. Currently 3 dishes and drinks are available. For seasonal or weekly specials,\xa0...', 'Imagen de Yuj Suhi House, Pato Branco: Yuj Sushi House. Consulta 17 fotos y videos de Yuj Suhi House tomados por miembros de Tripadvisor.', 'See all 20 photos taken at Restaurante Yuj Sushi House by 597 visitors. ... Restaurante Yuj Sushi House. Sushi Restaurant$$$$. Pato Branco.', 'Yuj Sushi House Delivery, #18 among Pato Branco sushi restaurants: 550 reviews by visitors and 27 detailed photos. Find on the map and call to book a table.', 'Telefone WhatsApp Mapa Site Restaurante Yuj Sushi House , endereço Rua Assis Brasil, 219. ... Yuj Sushi House. Bar e Restaurantes em Pato Branco - PR\xa0...']"
RESTAURANTE MARABA,+55 46 3225-3288,"['https://www.tripadvisor.com.br/Restaurant_Review-g1023657-d4874432-Reviews-Churrascaria_Maraba-Pato_Branco_State_of_Parana.html', 'https://pt-br.facebook.com/restaurantemarabapatobranco/', 'https://restaurantguru.com.br/Churrascaria-Maraba-Pato-Branco', 'https://cardapio.menu/restaurants/pato-branco/churrascaria-maraba-1', 'https://g123.com.br/contato/4632253288-churrascaria-maraba-rua-iguacu-815-pato-branco-pr', 'https://guiafacil.com/site/restaurante-e-churrascaria-maraba/pato-branco/pr/4632253288/', 'https://pt.foursquare.com/v/churrascaria-marab%C3%A1/4e8737d602d5aab4cf6e2696', 'https://www.tripadvisor.co/Restaurant_Review-g1023657-d4874432-Reviews-Churrascaria_Maraba-Pato_Branco_State_of_Parana.html', 'https://www.solutudo.com.br/pr/pato-branco/restaurantes/restaurante-maraba-10119676', 'https://www.sluurpy.com.br/pato-branco/restaurante/1485121/churrascaria-marab%C3%A1']","['Churrascaria Maraba. Rua Iguacu 815 | Centro, Pato Branco, State of Parana 85501-266, Brazil. Churrasco\xa0...', 'Telefone WhatsApp Mapa Site Churrascaria Marabá , endereço Rua Iguaçu, 815. ... Bar e Restaurantes em Pato Branco - PR ... Restaurante e Lanchonete Bela .', 'RESTAURANTE E CHURRASCARIA MARABÁ tem como foco o segmento de Churrascarias em Pato Branco. Você pode localizá-lo em Rua Iguaçu, 815 no bairro Centro em...', 'A empresa Restaurante Maraba trabalha desde 1999 na categoria Restaurantes na cidade de Pato Branco, PR na Rua Iguacu, Nº 815 - Sala - Centro.', 'Churrascaria Marabá, Pato Branco: navegue nos menu, leia acima de 21 revisões dos usuários de Sluurpy com uma classificação de 86/100 e verifique os preços.']"
DON GARCIA PIZZARIA,+55 63 3313-2401,"['https://www.tripadvisor.com/Restaurant_Review-g2344065-d5356250-Reviews-Don_Garcia_Pizzaria-Gurupi_State_of_Tocantins.html', 'https://tonolucro.delivery/gurupi/don-garcia-pizzaria', 'https://m.facebook.com/profile.php?id=532911793423851&__tn__=%2Ch', 'https://restaurantguru.com.br/Don-Garcia-Pizzaria-Gurupi', 'https://pizzariaspertodemim.com/e/don-garcia-pizzaria-aoswgt/', 'https://www.ifood.com.br/delivery/gurupi-to/pizzaria-don-garcia-setor-central/cfb6ceee-ac26-4066-9bce-63e60c39eaab', 'https://www.solutudo.com.br/empresas/to/gurupi/restaurantes/don-garcia-pizzaria-6811454', 'https://guiafacil.com/site/don-garcia-pizzaria/gurupi/to/6333128509/']","['Pizzaria Don Garcia. Get Directions. 281 people checked in here. +55 63 3313-2401. Pizza place. Indoor Dining · Heated Outdoor Seating. Popular Hours.', 'Pratos e bebidas em Don Garcia Pizzaria · Digite o link para o menu para Don Garcia Pizzaria · Ver menus de restaurantes próximos.', 'Don Garcia Pizzaria · Av Maranhao, 2047, Quadra32 Lote 04. Setor Central, Gurupi - TO · (63) 3312-8509 ☎ · PACO S GOURMET PIZZARIA · MAMA PIZZARIA · IMPERIO MASSAS\xa0...', 'Forno a lenha.', 'A empresa Don Garcia Pizzaria trabalha desde 2005 na categoria Restaurantes na cidade de Gurupi, TO na Avenida Maranhao, Nº 2047 - Quadra32 Lote 04 - Centro\xa0...', 'DON GARCIA PIZZARIA tem como foco o segmento de Restaurantes em Gurupi. Você pode localizá-lo em Avenida Maranhão, 2047 no bairro Setor Central em Gurup...']"
TALLES LANCHES,NAO DISPONIBILIZADO,"['https://www.facebook.com/@TallesRestaurantePizzaria/', 'https://www.instagram.com/tallesrestaurantepizzaria/?hl=en', 'https://inteligue.com.br/talles-lanches', 'https://www.listaamarela.com.br/empresa/rs/lajeado/talles-lanches_9362146', 'https://www.apontador.com.br/local/rs/lajeado/lanchonetes/C407481753462E4621/talles_lanches.html', 'https://www.solutudo.com.br/empresas/rs/lajeado/restaurantes/talles-lanches-10185301', '/search?q=TALLES+LANCHES,+LAJEADO+-+RS&tbm=isch&source=univ&fir=EuyToMygS3gHlM%252C4n3qViomcchSxM%252C_%253BARqLjf5yJGVRgM%252CU5j86ARUdCTeAM%252C_%253Bo6tQLAR2q9FdIM%252CKbiG_E08oS1CVM%252C_%253Bpg8IxZjy3hzpJM%252CU5j86ARUdCTeAM%252C_%253BKKcglQm2pO2kaM%252CJ80yaU9drXz2hM%252C_%253BGqHx6yOjbzym1M%252CJ80yaU9drXz2hM%252C_%253B7aAD0YDOvjrRhM%252CepdiK4RBOkqntM%252C_%253BIEN5aakh4pETmM%252C4n3qViomcchSxM%252C_%253Bkm18pAbvOq7TiM%252C4n3qViomcchSxM%252C_%253BZ-UgLW_ovrGXkM%252CepdiK4RBOkqntM%252C_&usg=AI4_-kQAsVyIdSmzvljUxn6zfrLWwSSUPA&sa=X&ved=2ahUKEwib_9aIlpH9AhX5KFkFHamNBz0QjJkEegQIEhAC']","['Talles Restaurante - Pizzaria, Lajeado, Rio Grande Do Sul, Brazil. 3699 likes · 102 talking about this · 668 were here. TALLES RESTAURANTE E PIZZARIA,...', '1414 Followers, 1945 Following, 98 Posts - See Instagram photos and videos from Talles Restaurante E Pizzaria (@tallesrestaurantepizzaria)', 'TALLES LANCHES ; LANCHERIA E RESTAURANTE DO GRINGO · (51) 9954-787... ; RESTAURANTE ALECRIM · (51) 3714-601... ; RESTAURANTE CASA DA MONTANHA · (51) 3710-127...', 'TALLES LANCHES. TALLES LANCHES está na categoria da Restaurantes em Lajeado/RS. Rua Pedro Américo , 307. Centenário, Lajeado, RS.', 'Encontre qual o telefone, o endereço, as fotos e as avaliações do Talles Lanches especializado em null localizado em Rua Pedro Américo, 307, 95900-000,\xa0...', 'A empresa Talles Lanches trabalha há mais de 16 anos na categoria Restaurantes na cidade de Lajeado, RS na Rua Pedro Americo, Nº 307 - Centenario.']"
BIFAO II,+55 51 3714-2777,"['https://www.facebook.com/bifaolajeado/', 'https://www.instagram.com/bifao2/?hl=en', 'https://www.tripadvisor.com.br/Restaurant_Review-g1023720-d5338270-Reviews-Bifao_Ii-Lajeado_State_of_Rio_Grande_do_Sul.html', 'https://restaurantguru.com/Bifao-Ii-Lajeado-2', '/search?q=BIFAO+II,+LAJEADO+-+RS&tbm=isch&source=univ&fir=eAhqQ5XAKqOsKM%252Cx7_l587c5pELFM%252C_%253B4sGZiAQdNldIAM%252CAjH6IWicO9yqUM%252C_%253BWasJDz6_Z3UIbM%252CJ6gp6SzaG3A46M%252C_%253BmkTKRF-GCOwGaM%252CJ6gp6SzaG3A46M%252C_%253BLBD7CT-p9z4ejM%252Cx7_l587c5pELFM%252C_%253BmGCPeEN62NyNvM%252C5ofNZl4Zu_zPBM%252C_%253BGDw-YtHVwGs24M%252CJ6gp6SzaG3A46M%252C_%253BZqy1b3StemrcBM%252Cb9uWTY9yspnFfM%252C_%253BTLBLqq7wdz7f1M%252CxF747NiuvqhbtM%252C_%253BbB0e0neJpJOg1M%252CdmCbryu8M0n0OM%252C_&usg=AI4_-kQrDnu4kvdqcAcdd1c0EI6sO_0qlg&sa=X&ved=2ahUKEwis_deOlpH9AhX0MlkFHQmEBZkQjJkEegQIIhAC', 'https://www.econodata.com.br/consulta-empresa/03065510000135-MARCOS-JOSE-BIANCHINI-CIA-LTDA', 'https://www.tripadvisor.co/Restaurant_Review-g1023720-d5338270-Reviews-Bifao_Ii-Lajeado_State_of_Rio_Grande_do_Sul.html', 'https://cardapio.menu/restaurants/lajeado/bifao-ii']","['Restaurante Bifão, Lajeado, Rio Grande Do Sul, Brazil. 9057 likes · 25 talking about this · 18210 were here. Pizza place.', '7699 Followers, 172 Following, 825 Posts - See Instagram photos and videos from Bifão-Restaurante e Pizzaria (@bifao2)', '4,0 9 avaliações. N.º 48 de 101 Restaurantes em Lajeado. Bifao Ii, RS ainda não recebeu pontuações suficientes para a comida, serviço, preço e ambiente.', 'Consulte o CNPJ da BIFAO II de Lajeado, RS, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de funcionários,\xa0...', 'Todavía no hay suficientes calificaciones sobre comida, servicio, precio o ambiente para Bifao Ii, RS. Sé uno de los primeros en escribir una opinión.', 'O cardápio de Bifao Ii em Lajeado tem 4 pratos. ... por favor contacta o proprietário por telefone ou através dos seus dados de contacto no seu website.']"
D'FRONTE,+55 51 3748-2943,"['https://zh-cn.facebook.com/restaurantedfronte/', 'https://www.tripadvisor.com.br/Restaurant_Review-g1023720-d5342053-Reviews-D_Fronte-Lajeado_State_of_Rio_Grande_do_Sul.html', 'https://es.foursquare.com/v/dfronte/4e318a47aeb7d41efd95c282', ""/search?q=D'FRONTE,+LAJEADO+-+RS&tbm=isch&source=univ&fir=83Ue7nJjEz2NxM%252CQeNHz9ZWjh1fZM%252C_%253BIanUzjoPEYLf6M%252CQeNHz9ZWjh1fZM%252C_%253BCBKqRFIOXrSv7M%252CKFrgxYoBrGDv_M%252C_%253B1c_j0x3WZe9PJM%252CArUeGYtEOOWuDM%252C_%253BGhGTR2-LgZBmTM%252CKFrgxYoBrGDv_M%252C_%253B0WW2Qw02jGfndM%252CKFrgxYoBrGDv_M%252C_%253BZW0qdQZQfuc2rM%252CKFrgxYoBrGDv_M%252C_%253Bi0J6c9dEMWEWFM%252CKFrgxYoBrGDv_M%252C_%253BHF8OXganbDR5kM%252Cu-tGAvmt__76uM%252C_%253Bgmly6Y2GfcwByM%252Cu-tGAvmt__76uM%252C_&usg=AI4_-kQiDu4Ebop4Ml8xDBgPkyCrpmRF1w&sa=X&ved=2ahUKEwi_79-UlpH9AhUtFVkFHeG2DM4QjJkEegQINRAC"", 'https://br.polomap.com/en/lajeado/16505', 'https://www.solutudo.com.br/empresas/rs/lajeado/restaurantes/d-fronte-10133215', 'https://www.descubraonline.com/guia/rs/lajeado/dfronte-03469115000118/', 'https://soamaps.com/country/BR/239590/restaurante-d-fronte', 'https://restaurantespertodemim.com/e/dfronte-okpse/']","[""Restaurante D'Fronte， Lajeado, Rio Grande Do Sul, Brazil. 721 次赞 · 23 人来过. ... Avenida Senador Alberto Pasqualini, 2300, Lajeado, RS, Brazil."", ""3,5 5 avaliações. N.º 96 de 101 Restaurantes em Lajeado. D'Fronte, RS ainda não recebeu pontuações suficientes para a comida, serviço, preço e ambiente."", 'Ver 1 tip de 44 visitantes de D\'Fronte. ""Buffet por kg bom e barato. Comida caseira.""', ""Restaurante D' Fronte is located at 95900-000 - São Cristóvão, Lajeado - RS, 95900-000, Brazil, near this place are: Pizza 485 (32 meter), Padrísimo (222 meter)\xa0..."", 'A empresa DFronte trabalha há mais de 22 anos na categoria Restaurantes na cidade de Lajeado, RS na Avenida Senador Alberto Pasqualini, Nº 2300 - Andar\xa0...', ""D'Fronte em Lajeado, Rio Grande do Sul. Acesse agora e confira ✆ Telefones, Endereço, E-mail, Situação, CNAEs, Data de Abertura..."", ""95900-000 - São Cristóvão, Lajeado - RS, Brazil. ... There are 3695 related addresses around Restaurante D' Fronte already listed on soamaps.com."", ""Veja o Endereço, Telefone, Localização e CNPJ da empresa D'fronte, para encontrar Restaurantes em Av Senador Alberto Pasqualini, São Cristóvão, Lajeado - RS\xa0...""]"
RESTAURANTE E LANCHERIA TEMPEROS DA NEIDE,NAO DISPONIBILIZADO,"['https://www.econodata.com.br/consulta-empresa/04301372000109-ALAN-MARCELO-KEMPER-CIA-LTDA', 'https://cnpj.biz/04301372000109', '/search?q=RESTAURANTE+E+LANCHERIA+TEMPEROS+DA+NEIDE,+LAJEADO+-+RS&npsic=0&rflfq=1&rldoc=1&rllag=-29455954,-51991633,2314&tbm=lcl&sa=X&ved=2ahUKEwiF2-malpH9AhXYEFkFHVd_AskQtgN6BAgUEAE', 'http://cnpj.info/Alan-Marcelo-Kemper-Cia-Restaurante-e-Lancheria-Temperos-da-Neide', 'https://cadastroempresa.com.br/cnpj/04.301.372/0001-09-restaurante-e-lancheria-temperos-da-neide-alan-marcelo-kemper-cia-ltda', 'https://www.facebook.com/temperoesabordeliverylajeado/', '/search?q=RESTAURANTE+E+LANCHERIA+TEMPEROS+DA+NEIDE,+LAJEADO+-+RS&tbm=isch&source=univ&fir=XWZ6JMx_eVeTaM%252CCF5pcm6_LYYjFM%252C_%253BenuN_0NP5jNT-M%252CMlSszqCVy7P0vM%252C_%253Bulcp4weSTZ7YuM%252CFMarydyrR-QlQM%252C_%253BuBUXAUdJdZ2cwM%252CFMarydyrR-QlQM%252C_%253BG9G4U9UinKjrCM%252CFMarydyrR-QlQM%252C_%253Bqv_wt7L9Tj-niM%252CFMarydyrR-QlQM%252C_%253BsJ-wbw24gUaNDM%252CFMarydyrR-QlQM%252C_%253Bt2Z_-NEl5Wz91M%252CFMarydyrR-QlQM%252C_%253BFSax-SfnXR_fJM%252CFMarydyrR-QlQM%252C_%253BvsK69ZyqpYs8FM%252CFMarydyrR-QlQM%252C_&usg=AI4_-kQziv3W88KXtZaJLe2gTH67yl-dpw&sa=X&ved=2ahUKEwiF2-malpH9AhXYEFkFHVd_AskQjJkEegQIGBAC', 'https://fgtas.rs.gov.br/upload/arquivos/201910/30154543-rede-credenciada-rs-atualizada.pdf', 'https://www.tasteofcountry.com/spc/?wptouch_switch=mobile&redirect=//lesfsenquiha.tk/143wwwtasteofcountrycomIvN651', 'https://transparencia.cc/dados/cep/95900036-avenida-senador-alberto-pasqualini-bairro-centro-lajeado-rs/']","['Consulte o CNPJ da RESTAURANTE E LANCHERIA TEMPEROS DA NEIDE de Lajeado, RS, seus sócios e contatos como telefones, emails e website, além de faturamento,\xa0...', 'Restaurante e Lancheria Temperos da Neide Alan Marcelo Kemper & Cia LTDA Avenida Senador Alberto Pasqualini 134 Sala 02. Centro Lajeado RS 95900-036.', 'Fantasia nome, RESTAURANTE E LANCHERIA TEMPEROS DA NEIDE ... LAJEADO - RS 95900-036 ... Diversificados subgrupos de restaurantes compõem essa modalidade,\xa0...', 'Completo: Restaurante e Lancheria Temperos da Neide Alan Marcelo Kemper & Cia LTDA Senador Alberto Pasqualini 134 Sala 02. Centro Lajeado RS 95900-036\xa0...', 'Tempero & Sabor Delivery · Page · Restaurant · Rua Maurício Cardoso, 203, São Cristóvão, Lajeado, RS, Brazil · +55 51 99918-3970 · Not yet rated (0 Reviews) · See\xa0...', '45 Angela Maria Flach Restaurante E Lancheria Flach ... Estrada Rs 040, 1400 / Km 98 ... 580 Sindicato Dos Trabalhadores Rurais de Lajeado 05.', 'Imobiliarias lajeado kaufmann, Bunici de dumini, Silvasorb gel hcpcs code, ... Dumano lanches, Arun gogna podcast, Job specialisation advantages?', 'Nome Fantasia: RESTAURANTE E LANCHERIA TEMPEROS DA NEIDE. Município / UF: LAJEADO / RS. Logradouro: AVENIDA SENADOR ALBERTO PASQUALINI. Bairro: CENTRO.']"
EMERTINI,+55 51 3709-1003,"['https://www.facebook.com/emertinirestaurante/', 'https://www.tripadvisor.in/Restaurant_Review-g1023720-d4607772-Reviews-Restaurante_Emertini-Lajeado_State_of_Rio_Grande_do_Sul.html', 'https://www.tripadvisor.ie/Restaurant_Review-g1023720-d4607772-Reviews-Restaurante_Emertini-Lajeado_State_of_Rio_Grande_do_Sul.html', '/search?q=EMERTINI,+LAJEADO+-+RS&tbm=isch&source=univ&fir=mlisUPCkcmG1zM%252CY07UiOHV24uMmM%252C_%253BNsTARopwOMtFOM%252CY07UiOHV24uMmM%252C_%253BiCPz2maTgF-cNM%252Cs4E_QXEUndJhBM%252C_%253BJlvpgCsCn196hM%252Cyx3me_CvNmrqoM%252C_%253B3gGhED9_mO3ZgM%252CygI5s8JKcnJCiM%252C_%253BNLO4Mc8JVa0XJM%252CImvd_1N-avjHEM%252C_%253Bm6oi_maKC8jVFM%252C9OksWBz6MUn0AM%252C_%253BixCtnP2g48Y56M%252CaYkCKkcou06WxM%252C_%253BjQabnSyHMi8JMM%252CYcay0np6wFJoPM%252C_%253B222_-oSgGOf50M%252CxabPCp5eOu2vHM%252C_&usg=AI4_-kSbMgP4fcWDeUBdwhj2Z2n3qkh4RA&sa=X&ved=2ahUKEwin4_iglpH9AhVnFFkFHYF_BCoQjJkEegQIGhAC', 'https://foursquare.com/v/emertini/4d7f7d3c64b84eb926dcc21a', 'https://www.econodata.com.br/consulta-empresa/01431216000174-EMER-BAR-E-RESTAURANTE-LTDA', 'https://www.overmelhinho.com.br/rs/lajeado/restaurante-emertini/104770', 'https://www.guiadoturismobrasil.com/gastronomia/3/restaurante/8/RS/lajeado/706/restaurante-emertini/17055', 'https://www.solutudo.com.br/empresas/rs/lajeado/restaurantes/restaurante-emertini-22721205']","['Restaurante Emertini, Lajeado: See 16 unbiased reviews of Restaurante Emertini, rated 4 of 5 on Tripadvisor and ranked #34 of 146 restaurants in Lajeado.', 'Read 8 tips and reviews from 176 visitors about trendy, good for groups and family-friendly. ""O molho de ervas (terças e quintas) é espetacular, e com...""', 'Consulte o CNPJ da EMERTINI de Lajeado, RS, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de funcionários,\xa0...', 'Restaurante Emertini. Restaurantes | Lajeado / RS. Endereço Rua Germano Berner, 441 Centro - Lajeado - RS. TELEFONE. (51) 3709-1003. Nossa Localização\xa0...', 'Lajeado/RS - Restaurante Emertini. (51) 3709-1003. Rua Germano Berner 441 - Florestal - CEP: 95900-000. Lajeado / RS. BRAZIL SALES- BANNER FULL HOME.', 'A empresa Restaurante Emertini trabalha na categoria Restaurantes na cidade de Lajeado, RS na R. Germano Berner, Nº 441 - Florestal.']"
