,tel,link,descricao
JULIA MERCEARIA,NAO DISPONIBILIZADO,"['https://www.descubraonline.com/guia/go/anhanguera/julia-mercearia-07110814000128/', 'https://www.apontador.com.br/local/go/anhanguera/mercearias/C40621261E544N5442/julia_mercearia.html', 'https://cnpj.biz/04238439000108', 'https://cidadeurgente.com/go/anhanguera/guia/julia-mercearia-04238439000108/amp/', 'https://www.diariocidade.com/go/anhanguera/guia/julia-mercearia-04238439000108/', 'https://www.planetabrasileiro.com/julia-mercearia-F1006C90E1BD447', 'https://consultas.plus/lista-de-empresas/goias/anhanguera/04238439000108-frederico-goncalves-franca-teixeira/', '/search?q=JULIA+MERCEARIA,+ANHANGUERA+-+GO&tbm=isch&source=univ&fir=XGQDqXxoF181-M%252CkNlUMql-0G68-M%252C_%253BEPgMlwlxmLyMoM%252CXkRM08WG_9IpwM%252C_%253ByvEf7a-K3ralIM%252CTCSyVJG32yC15M%252C_%253Bi5vg7mDmzYPHEM%252CCxtgcrOpNlHvkM%252C_%253BuQTip9JZYmjqkM%252CTCSyVJG32yC15M%252C_%253B9oW4EQns8KC22M%252CG5PBfuBLKoERJM%252C_%253B6O_Ck7Z-37NCsM%252CG5PBfuBLKoERJM%252C_%253BmuVenkRYfDD9EM%252CG5PBfuBLKoERJM%252C_%253B-Xd1cvyAumDL5M%252CM4-H_9y2IhxL2M%252C_%253Bi60h5NR5NtJJ4M%252Cgkah2gV-7avKSM%252C_&usg=AI4_-kQjoK-bYHt2vWQaCoU7uHdjsGmhdA&sa=X&ved=2ahUKEwi-p6XEiJj9AhUGMlkFHdwPCpsQjJkEegQIGBAC', 'https://cadastroempresa.com.br/cnpj/04.238.439/0001-08-julia-mercearia-frederico-goncalves-franca-teixeira']","['Razão Social: FABIANA GONCALVES FRANCA TEIXEIRA ; Nome Fantasia: JULIA MERCEARIA ; Natureza Jurídica: 213-5 Empresário Individual ; CNPJ: 07.110.814/0001-28\xa0...', 'Julia Mercearia. Rua Senador Dario de Paiva, , Centro,Anhanguera - GO, ... Localização. Rua Senador Dario de Paiva, , Centro, 75770-000, Anhanguera - GO.', 'Julia Mercearia Frederico Goncalves Franca Teixeira 04.238.439/0001-08 ; CNPJ: 04.238.439/ ; Razão Social: Frederico Goncalves Franca Teixeira ; Nome Fantasia:\xa0...', 'Julia Mercearia em Anhanguera - GO, Goiás. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Guia da Cidade.', 'Julia Mercearia em Anhanguera - GO, Goiás. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Diário Cidade.', 'Aug 29, 2022 — Mercearia Silva - S Central - Anhangüera Go ... armazéns - armazéns, empórios e mercearias, armazéns empórios e mercearias - endereço: Av Belchior\xa0...', 'Nov 21, 2000 — A empresa Frederico Goncalves Franca Teixeira, aberta em 21/11/2000, é uma MATRIZ do tipo Empresário (Individual) que está situada em\xa0...', 'Julia Mercearia - Frederico Goncalves Franca Teixeira com CNPJ 04.238.439/0001-08 é uma empresa de Anhanguera/GO. Acesse para mais informações.']"
MERCEARIA SAO LUIZ,NAO DISPONIBILIZADO,"['https://www.solutudo.com.br/empresas/sp/rinopolis/super-minimercados/mercearia-sao-luiz-7072182', 'https://applocal.com.br/empresa/mercearia-sao-luiz/rinopolis/sp/12294775', 'https://www.descubraonline.com/guia/sp/rinopolis/mercearia-sao-luiz-07858617000191/', 'https://www.guiatelefone.com/rinopolis-sp/mercados-e-supermercados/3425451/mercearia-sao-luiz', 'https://www.diariocidade.com/sp/rinopolis/guia/mercearia-sao-luiz-07858617000191/', 'https://paginaamarela.com.br/empresa/mercearia-sao-luiz/rinopolis/sp/12293066', 'https://www.procuroacho.com/empresas/sp/rinopolis/00.308.216/0001-19/bar-e-mercearia-sao-luiz', 'https://empresasdobrasil.com/empresa/bar-e-mercearia-sao-luiz-66985490000130', 'https://cadastroempresa.com.br/cnpj/07.858.617/0001-91-mercearia-sao-luiz-de-rinopolis-ltda']","['Mercearia Sao Luiz ; Endereço. Rua Sao Luiz, 692, Centro Rinópolis/SP - CEP 17740-000 ; Telefone. (18) 3583-1539 ; Email. esc_central@webendo.com.br.', 'Mercearia São Luiz em Rinópolis, SP ; Logradouro: Rua São Luis ; Número: 692 ; Bairro: Centro ; Cidade: Rinópolis ; Estado: São Paulo.', 'Confira abaixo os telefones, endereço e e-mail para contato de Mercearia Sao Luiz em Rinópolis, São Paulo. ; Razão Social: SILVANA APARECIDA BAGGIO CHAGAS ; Nome\xa0...', 'Consulte a nossas ofertas. estamos no endereço Rua São Luis, 692, no bairro de Centro na cidade de Rinópolis, SP. Avalie.', 'A empresa Mercearia Sao Luiz, localizada no bairro Centro, em Rinópolis-SP foi fundada em 2006. A atividade principal da empresa é Comércio Varejista de\xa0...', 'Mercearia São Luiz - Mercearias está no bairro Centro na cidade de Rinópolis, SP. Veja aqui o telefone ☎ Telefone (18)... e o endereço completo para nos\xa0...', '... 18/11/1994 através do CNPJ 00.308.216/0001-19, razão social Elton Cesar Baggio e nome fantasia Bar e Mercearia Sao Luiz. Localizada em Rinopolis / SP,\xa0...', 'Dados da empresa BAR E MERCEARIA SAO LUIZ - LUIZ JOAO DOS SANTOS RINOPOLIS - ME - CNPJ 66985490000130.', 'Mercearia Sao Luiz de Rinopolis LTDA com CNPJ 07.858.617/0001-91 é uma empresa de Rinópolis/SP aberta em 13/02/2006. Acesse para mais informações.']"
MERCADINHO ALVORADA,NAO DISPONIBILIZADO,"['https://supermercadosalvorada.com/', 'https://guiafacil.com/site/mercadinho-alvorada/alvorada-de-minas/mg/3138621197/', 'https://www.solutudo.com.br/mg/alvorada-minas/super-minimercados/mercadinho-alvorada-8111330', 'https://www.facebook.com/supermercadoalvoradaredesmart/?locale=pt_BR', 'https://gn-py.facebook.com/supermercadoalvoradaredesmart/', 'https://www.cliqueiachei.com.br/telefone2/alvorada-de-minas/mg/mercadinho-alvorada-2', 'https://www.guiatelefone.com/alvorada-de-minas-mg/mercados-e-supermercados/1027241/mercadinho-alvorada', 'https://www.guiaurbana.com.br/e/mercadinho-alvorada-alvorada-de-minas-mg']","['Supermercados Alvorada · Ofertas · Cartão Alvorada · Galeria · Lojas · Contato · Trabalhe Conosco · Compre Online. Escolha uma Página.', 'MERCADINHO ALVORADA tem como foco o segmento de Supermercados em Alvorada de Minas. Você pode localizá-lo em Rua Tiradentes, 26 no bairro Centro em Alvo...', 'A empresa Mercadinho Alvorada trabalha desde 2001 na categoria Super - Minimercados na cidade de Alvorada de Minas, MG na Rua Tiradentes, Nº 26 - Centro.', 'Supermercado Alvorada · Página · Supermercado · AVENIDA TRANCREDO NEVES 574, Novo Oriente de Minas, MG, Brazil · +55 33 3532-8453 · GS.MERCEARIA@HOTMAIL.COM · Aberto\xa0...', ""Supermercado Alvorada, Novo Oriente de Minas. 1.116 jeguerohory · 9 oñe'ê hína kóva rehe · 40 oî kuri ko'ápe. Supermercado Alvorada Rede SMART Aqui você..."", 'Alvorada de Minas MG. Mercadinho Alvorada. PROBLEMAS NO TELEFONE? Telefone. Fixo. (31) 3862-1197. Ligar. Endereço. Rua Tiradentes, 26 - Centro. Cidade.', 'Avaliações, telefone e endereço de MERCADINHO ALVORADA em Centro, Alvorada de Minas, MG. Ligue (31) 3862-11...', 'Mercadinho Alvorada. Supermercados · Rua Tiradentes, 26 - Centro - Alvorada de Minas, MG - CEP: 39140-000 · (31) 3862-1197 · Ligar Como chegar.']"
SBC - MERCEARIA,NAO DISPONIBILIZADO,"['https://www.econodata.com.br/consulta-empresa/38750139000125-HONORATO-PAZ-DA-FONSECA', 'https://www.diariocidade.com/mg/claro-dos-pocoes/guia/sbc-mercearia-01782988000150/', 'https://cnpj.biz/38750139000125', '/search?q=SBC+-+MERCEARIA,+CLARO+DOS+POCOES+-+MG&tbm=isch&source=univ&fir=K4qoGpH5fUhuIM%252CbPJf_a7K73BztM%252C_%253BLJtIGyVWD4BPVM%252CQU5-FgCrN0MJsM%252C_%253BaSzKZW9zUKSdnM%252CbWpmY9ZOEhHOVM%252C_%253BZwX2O0RxAu7WoM%252CHTHwUXIXMACudM%252C_%253BZtu_x-kwkiyjAM%252Cgt6EqFip0laNiM%252C_%253BjQuNagPa0tLQaM%252Crxdo629zeyDSrM%252C_%253BGM28tQppY5zMjM%252C148xQfhvgOSfRM%252C_%253BUMqez2mB0cR3QM%252CdxP5ljF6GfinBM%252C_%253B-3BmyRPPUX7eCM%252CoGBNMng2JHKwFM%252C_%253BxoGsk2-PmpKeDM%252C5xNpIoChgmGN8M%252C_&usg=AI4_-kRBu09bT4YjkCdwx2CZWtoHGB4DhA&sa=X&ved=2ahUKEwiOifHViJj9AhWsGFkFHRr-CO8QjJkEegQIFBAC', 'https://www.informecadastral.com.br/cnpj/vanusa-da-rocha-fonseca-01782988000150', 'https://leadeasy.com.br/consulta-cnpj/empresas/1782988000150/vanusa-da-rocha-fonseca', 'https://www.procep.com.br/mg/claro-dos-pocoes/indefinido/39380000/pagina1']","['Consulte o CNPJ da SBC MERCEARIA de Claro dos Poções, MG, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...', 'A empresa Sbc - Mercearia, localizada no bairro Centro, em Claro dos Poções-MG foi fundada em 1997. A atividade principal da empresa é Comércio Varejista de\xa0...', 'A empresa Sbc Mercearia de CNPJ 38.750.139/0001-25, fundada em 27/07/1990 e com razão social Honorato Paz da Fonseca, está localizada na cidade Claro dos Poções\xa0...', 'O CNPJ da empresa Vanusa da Rocha Fonseca (Sbc - Mercearia) é 01.782.988/0001-50. Com sede em CLARO DOS POCOES, MG, possui 25 anos, 6 meses e 8 dias e foi\xa0...', 'Claro Dos Poções - Minas Gerais ... varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns.', 'O CEP 39380-000 pertence a  e está localizada no bairro Indefinido, no município de Claro dos Poções, MG. O código IBGE do município de Claro dos Poções é\xa0...']"
MERCADO BOM JESUS,NAO DISPONIBILIZADO,"['https://www.guiatelefone.com/tacuru-ms/mercados-e-supermercados/739878/mercado-bom-jesus', 'https://www.solutudo.com.br/empresas/ms/tacuru/super-minimercados/mercado-bom-jesus-10229502', 'https://www.listaamarela.com.br/empresa/ms/tacuru/mercado_bom_jesus_9746949', 'https://www.diariocidade.com/ms/tacuru/guia/mercado-bom-jesus-11113911000141/', 'https://applocal.com.br/empresa/mercado-bom-jesus/tacuru/ms/9758299', 'https://www.econodata.com.br/consulta-empresa/24239433000162-MERCADO-G-ANJOS-EIRELI', 'https://eguias.net/empresa/supermercado-bom-jesus/tacuru/ms/135044', 'https://www.descubraonline.com/guia/ms/tacuru/mercado-bom-jesus-11113911000141/']","['Avaliações, telefone e endereço de MERCADO BOM JESUS em Centro, Tacuru, MS. Ligue (67) 3478-12...', 'A empresa Mercado Bom Jesus trabalha desde 2009 na categoria Super - Minimercados na cidade de Tacuru, MS na Rua Izidora Vilhalva, Nº 560 - Centro.', 'MERCADO BOM JESUS. MERCADO BOM JESUS está na categoria da Supermercados em Tacuru/MS. Rua Máximo Giacomo Destefani , 426. Centro, Tacuru, MS.', 'Mercado Bom Jesus em Tacuru - MS, Mato Grosso do Sul. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Diário\xa0...', 'Rua Máximo Giacomo Destefani, 426 no Bairro: Centro Cep: 79975-000 na Cidade: Tacuru, MS. Agradecemos pela sua preferência! Telefone.', 'Consulte o CNPJ da MERCADO BOM JESUS de Tacuru, MS, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de funcionários\xa0...', 'Supermercado Bom Jesus está localizada na cidade de Tacuru, MS. Atuamos no segmento Supermercados. Confira aqui o telefone (67) 3478... e o endereço\xa0...', 'Mercado Bom Jesus em Tacuru, Mato Grosso do Sul. Acesse agora e confira ✆ Telefones, Endereço, E-mail, Situação, CNAEs, Data de Abertura...']"
COMERCIAL BARATEIRO,NAO DISPONIBILIZADO,"['https://www.solutudo.com.br/empresas/mg/itamarandiba/super-minimercados/comercial-barateiro-7902515', 'https://www.econodata.com.br/consulta-empresa/02843545000195-BARATEIRO-VAREJISTA-AR-SOARES-SOUZA-LTDA', 'https://listatudo.com.br/minas-gerais/mtes-claros-diamantina-e-regiao/itamarandiba/alimentos-bebidas-e-fumo/alimentacao/compras/supermercados-e-hipermercados/comercial-barateiro/', 'https://www.descubraonline.com/guia/mg/itamarandiba/comercial-barateiro-02843545000195/', 'https://www.diariocidade.com/mg/itamarandiba/guia/comercial-barateiro-02843545000195/', 'https://www.boaempresa.com.br/local/comercial-barateiro-supermercados-itamarandiba-mg-714456', 'https://www.telelistas.net/locais/mg/itamarandiba/supermercados+e+hipermercados/bu-18997517/comercial+barateiro+em+centro']","['Comercial Barateiro ; Endereço. Praca Dos Agricultores, 100, Centro - B Itamarandiba/MG - CEP 39670-000 ; Telefone. (38) 3533-1381 ; Email. departamentocontabil.', 'Consulte o CNPJ da COMERCIAL BARATEIRO de Itamarandiba, MG, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...', 'Na Comercial Barateiro, você encontrará produtos de higiene e limpeza para ... Endereço: Praca Agricultores, 100 Centro - Itamarandiba - MG CEP: 39670-000\xa0...', 'Confira abaixo os telefones, endereço e e-mail para contato de Comercial Barateiro em Itamarandiba, Minas Gerais. ; Razão Social: BARATEIRO VAREJISTA AR SOARES &\xa0...', 'Comercial Barateiro em Itamarandiba - MG, Minas Gerais. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas\xa0...', 'Telefone e endereço de Comercial Barateiro em Itamarandiba Praca Agricultores, 100 Centro - Itamarandiba - MG Tel: (38) 352...', 'Ache endereço e telefone de Comercial Barateiro em Centro atuante em Supermercados e Hipermercados, perto de Centro, Itamarandiba - MG.']"
BRIT'S MERCEARIA E BAR,NAO DISPONIBILIZADO,"['https://m.facebook.com/Brits-bar-e-mercearia-265002793851667/', 'https://br.locale.online/brits-bar-e-mercearia-1342448799.html', 'https://www.solutudo.com.br/empresas/ms/selviria/super-minimercados/brit-s-mercearia-e-bar-10177317', 'https://www.descubraonline.com/guia/ms/selviria/brits-mercearia-e-bar-07618569000164/', 'https://www.diariocidade.com/ms/selviria/guia/brits-mercearia-e-bar-07618569000164/', 'https://cnpj.biz/07618569000164', 'https://cidadeurgente.com/ms/selviria/guia/brits-mercearia-e-bar-07618569000164/', ""/search?q=BRIT'S+MERCEARIA+E+BAR,+SELVIRIA+-+MS&tbm=isch&source=univ&fir=e_SuGT4BGWHzjM%252C-FgLUvPIu9W6FM%252C_%253BQIpP5vwolQVnQM%252CS-tvige4xvbkLM%252C_%253B5qzj1uaZSVmruM%252CS-tvige4xvbkLM%252C_%253BGOAIVuDediOHSM%252CS-tvige4xvbkLM%252C_%253BCrh87wMw0w-naM%252CS-tvige4xvbkLM%252C_%253Bxi-tSTQ1UnMMIM%252C-FgLUvPIu9W6FM%252C_%253BNMKBf8EiWRgshM%252CS-tvige4xvbkLM%252C_%253BIajOlMb173LHuM%252CMkpehCQP1mGfoM%252C_%253BYVlZest2XzetYM%252CXhLCvvmsLSRJJM%252C_%253BRtzVjzWdjCQr6M%252Cfgpr79z3RyuPOM%252C_&usg=AI4_-kQvABTegIJ0rgRPi9zHY8mDGHEV6g&sa=X&ved=2ahUKEwiU_rPniJj9AhXrF1kFHZtwDjEQjJkEegQIGxAC""]","['Brits bar e mercearia. 224 followers • 2 following. Posts. About. Photos. Videos. More.', 'Brits bar e mercearia in Selvíria - Contact details, Address Map, Photos, offers, Real time Reviews and Ratings. ... Selvíria, MS 7950090', ""Brit'S Mercearia E Bar ; Endereço. Rua Roberto Barraco, 867, Centro Selvíria/MS - CEP 79590-000 ; Telefones. 67579-1290 ; Email. aslotus@terra.com.br."", ""Razão Social: RICARDO SILVA BRITES ; Nome Fantasia: BRIT'S MERCEARIA E BAR ; Natureza Jurídica: 213-5 Empresário Individual ; CNPJ: 07.618.569/0001-64 ; Início das\xa0..."", ""A empresa Brit's Mercearia E Bar, localizada no bairro Centro, em Selvíria-MS foi fundada em 2005. A atividade principal da empresa é Comércio Varejista de\xa0..."", ""Todos os dados da empresa Brit's Mercearia e Bar Ricardo Silva Brites com CNPJ 07.618.569/0001-64 - 07618569000164 de Selvíria/MS. Telefone, E-mail..."", ""Brit's Mercearia E Bar em Selvíria - MS, Mato Grosso do Sul. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas\xa0...""]"
MERCEARIA AMERICO,NAO DISPONIBILIZADO,"['https://www.solutudo.com.br/empresas/mg/mutum/super-minimercados/mercearia-americo-7812907', 'https://www.diariocidade.com/mg/mutum/guia/mercearia-americo-05682808000110/', 'https://www.descubraonline.com/guia/mg/mutum/mercearia-americo-05682808000110/', 'https://www.apontador.com.br/local/mg/mutum/mercearias/C40511853E2E2O2E2A/mercearia_americo.html', 'https://cnpj.biz/05682808000110', 'https://www.telefonecomercial.com/telefone/antonio-americo-filho/05682808000110', 'https://empresasdobrasil.com/empresa/mercearia-americo-05682808000110', '/search?q=MERCEARIA+AMERICO,+MUTUM+-+MG&tbm=isch&source=univ&fir=7pxEhIhKeFpbCM%252C39pRqNH80k2MwM%252C_%253BG43CXGvCZ-vU-M%252C8szDLSS5uWOtOM%252C_%253BgQBbuXz1w7Vk-M%252CAda1EZAnWgh_6M%252C_%253BiYJlHddjNCgO1M%252Ctsq9lxvREyoCpM%252C_%253B7zzdkYjKSVHyNM%252C39pRqNH80k2MwM%252C_%253BKDCPNjUCcaDipM%252C39pRqNH80k2MwM%252C_%253BoWbif9ftQ43WeM%252Cu6CY7O0A9LU7-M%252C_%253B4JPx3C9bnLejoM%252C39mOT8cT0C1HqM%252C_%253BjDMN2-4Gjs3gIM%252C39pRqNH80k2MwM%252C_%253Bhefin5ZOrYNdtM%252Cu6CY7O0A9LU7-M%252C_&usg=AI4_-kRVRq7z6q8yFZCDt_NbnRKLV08yTA&sa=X&ved=2ahUKEwiE54_tiJj9AhVFFlkFHeO1D88QjJkEegQIGRAC', 'https://m.facebook.com/people/Mercearia-do-Povo/100080649224739/']","['Mercearia Americo ; Endereço. Rua A, 477, Ocidente Mutum/MG - CEP 36955-000 ; Telefone. 33312-1831 • 33312-1831 ; Email. asseplan@mutumnet.com.br.', 'Mercearia Americo em Mutum - MG, Minas Gerais. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Diário Cidade.', 'Mercearia Americo em Mutum, Minas Gerais. Acesse agora e confira ✆ Telefones, Endereço, E-mail, Situação, CNAEs, Data de Abertura...', 'Mercearia Americo. Rua A, , Ocidente,Mutum - MG, CEP: 36955-000. 0 avaliações. Aberto agora. Dom: 10:00 às 18:00. Seg à Sáb: 09:00 às 20:00.', 'Mercearia Americo Antonio Americo Filho 05.682.808/0001-10 ; CNPJ: 05.682.808/ ; Inscrição Estadual MG: 440235298.00-56 ; Razão Social: Antonio Americo Filho ; Nome\xa0...', 'Número do telefone da empresa ""Antonio Americo Filho (Mercearia Americo)"" localizada em Rua A, Mutum, MG. Entre em contato com a empresa pelo número do\xa0...', 'Dados da empresa MERCEARIA AMERICO - ANTONIO AMERICO FILHO - ME - CNPJ 5682808000110. ... Cidade Mutum. CEP 36.955-000. Telefone: Não disponível\xa0...', 'Mercearia do Povo, Mutum, Minas Gerais. 16 likes · 1 was here. Grocery Store.']"
MERCEARIA SILVA,NAO DISPONIBILIZADO,"['https://www.solutudo.com.br/empresas/sp/guarei/super-minimercados/mercearia-silva-7070113', 'https://www.diariocidade.com/sp/guarei/guia/mercearia-silva-05814754000107/', 'https://www.descubraonline.com/guia/sp/guarei/mercearia-silva-05814754000107/', 'https://cidadeurgente.com/sp/guarei/guia/mercearia-silva-05814754000107/amp/', 'https://cnpj.biz/05814754000107', 'http://cnpj.info/Maria-Aparecida-Vieira-da-Silva-Guarei-Mercearia-Lia', 'https://empresasdobrasil.com/empresa/mercearia-lia-03493247000185', 'https://www.econodata.com.br/consulta-empresa/11245920000196-MARGARETE-ANTONIA-DA-SILVA']","['No mercado, a empresa está localizada na Rua Sao Paulo, Nº 321 - B no bairro Centro em Guareí - SP, CEP 18250-000. A empresa Mercearia Silva está cadastrada\xa0...', 'A empresa Mercearia Silva, localizada no bairro Centro, em Guareí-SP foi fundada em 2003. A atividade principal da empresa é Comércio Varejista de\xa0...', 'Confira abaixo os telefones, endereço e e-mail para contato de Mercearia Silva em Guareí, São Paulo. MARGARETE ANTONIA DA SILVA MERCEARIA com o CNPJ 05.814.754\xa0...', 'A empresa Mercearia Silva, que tem a razão social MARGARETE ANTONIA DA SILVA MERCEARIA, está presente no segmento de Mercados e foi fundada em 24/03/2003.', 'CNPJ: 05.814.754/ ; Inscrição Estadual SP: 333.061.697.115 ; Razão Social: Margarete Antonia da Silva Mercearia ; Nome Fantasia: Mercearia Silva ; Data da Abertura:\xa0...', 'Endereço. Rua Pedro Domingues de Barros, Cjd 71. CONJ. HABITACIONAL GUAREI - SP 18250-000. Contatos. Atividades de negócios da empresa.', 'Razão Social. MARIA APARECIDA VIEIRA DA SILVA GUAREI - ME. CNPJ. 03.493.247/0001-85. Data da abertura. 15/10/1999. Status da empresa. Ativa\xa0...', 'Consulte o CNPJ da MARGARETE ANTONIA DA SILVA de Guareí, SP, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...']"
MERCADO PROVASI,+55 15 99708-9481,"['https://m.facebook.com/people/Mercado-Provasi/100063837923737/', 'https://www.diariocidade.com/sp/buri/guia/mercado-provasi-04450895000117/', 'https://consultas.plus/lista-de-empresas/sao-paulo/buri/04450895000117-mercado-provasi-eireli/', '/search?q=MERCADO+PROVASI,+BURI+-+SP&tbm=isch&source=univ&fir=q0gJZLM71kHGVM%252CNR5whZUnIQ7wsM%252C_%253BJuYye8qeZ2S4ZM%252CNR5whZUnIQ7wsM%252C_%253BB0cOOGNtX1s0SM%252CNR5whZUnIQ7wsM%252C_%253BV5lIxRzkqTarjM%252CVkm4qJGBD2RxBM%252C_%253BNkYy0wn8RMpIoM%252CNR5whZUnIQ7wsM%252C_%253Bvmbi3RsjYC4mtM%252CNR5whZUnIQ7wsM%252C_%253B8HnColVu1KuyHM%252CNR5whZUnIQ7wsM%252C_%253B5DYHKwfh4AcF-M%252C3jOlzVy58HrWPM%252C_%253BQoJAOdO-tjFmNM%252CNR5whZUnIQ7wsM%252C_%253BhqQBLioMIGiM7M%252CNR5whZUnIQ7wsM%252C_&usg=AI4_-kQW7m0XOQVanaK8H3gy-zAQwfLDXQ&sa=X&ved=2ahUKEwjOi834iJj9AhVQF1kFHVeKAB4QjJkEegQIHxAC', 'https://consultacnpj.com/cnpj/mercado-provasi---eireli-mercado-provasi-04450895000117', 'https://www.numerodozap.com/empresa/c-l-freitas-buri/04450895000117', 'http://cnpj.info/Mercado-Provasi', 'https://casadosdados.com.br/solucao/cnpj/mercado-provasi-eireli-04450895000117']","['Mercado Provasi. 56 curtidas. Compras e varejo. ... Mercado Provasi está em Buri. · 20 de fevereiro de 2021 · Instagram ·. Sim! Agudos.', 'Mercado Provasi em Buri, SP. ; Helio De Jesus Fonseca. Estrada Buri A Paranapanema, S/N, KM 14, Enxovia, 18290-000. (15) 3546-1281 ; Francisco Uziel De Souza E\xa0...', 'Telefone: (15) 3546-3007 · E-mail: mercadoprovasi@gmail.com\xa0...', 'MERCADO PROVASI. 04.450.895/0001-17 - Atualizado há um mês. Empresa de buri /SP fundada em 26/04/2001. Sua atividade principal é Comércio varejista de\xa0...', 'Número do whatsapp da empresa ""Mercado Provasi - Eireli (Mercado Provasi)"" localizada em Rua Fortunato Ferreira De Albuquerque, Buri, SP.', 'Consulta CNPJ da empresa Mercado Provasi - Eireli | Mercado Provasi. Também ver outro informações: situação cadastral, ... SAO JOSE BURI - SP 18290-000\xa0...', 'BURI. UF. SP. Telefone. 15 3546-3007. E-MAIL. mercadoprovasi@gmail.com. Quadro Societário. ADRIANE PROVASI - Titular Pessoa Física Residente ou Domiciliado\xa0...']"
