,tel,link,descricao
CALLAS,+55 41 3015-6101,"['https://www.facebook.com/callaspijamas/', 'https://m.yelp.com/biz/jo%C3%A3o-callas-decora%C3%A7%C3%A3o-de-festas-curitiba', '/search?q=CALLAS,+CURITIBA+-+PR&tbm=isch&source=univ&fir=UUFlzOSGkR9AFM%252CrLW1E8-pLLn7tM%252C_%253BSe76Euvy4eK47M%252CItIRsjU50zbUbM%252C_%253BXVACEc8-W7nKxM%252CrLW1E8-pLLn7tM%252C_%253B04x3reJJAWtGAM%252CItIRsjU50zbUbM%252C_%253BAyC7RopCBKA3hM%252CItIRsjU50zbUbM%252C_%253B1Oi2jYeBnJV4cM%252CgPXgiKHc3LscGM%252C_%253BFeTn_8dSlUChCM%252Ce8hZ2InAII-KXM%252C_%253BUXiiZjzT5MUqCM%252CawCl6yPzsrZerM%252C_%253BpNoDIhYHk1ojpM%252Cxm66b_i9AMyFcM%252C_%253BvIDL0KQU00kBDM%252CzQIfZdgtvK-35M%252C_&usg=AI4_-kSQqzIrdC9-KU5GKUi1Sln1FI9RUw&sa=X&ved=2ahUKEwjzrdiQ9I_9AhXTGVkFHfehDBcQjJkEegQICRAC', 'https://www.youtube.com/watch?v=cnDULLHRm-Y', 'https://www.youtube.com/watch?v=se7jeVRGTDc', 'https://www.youtube.com/watch?v=KI1ETXrTGag', 'https://restaurantguru.com/Callas-Curitiba/menu', 'https://www.setlist.fm/venue/espaco-alternativo-callas-curitiba-brazil-7bd2baf8.html']","['Callas · Halaman · Rekaan & Fesyen · Curitiba, PR, Brazil · +55 41 9914-7061 · Callaspijamas@hotmail.com · callas.com.br · Belum dinilai lagi (0 Ulasan) · Lihat Lagi\xa0...', 'R. Alferes Ângelo Sampaio 2453. Curitiba - PR 80730-460. Brazil. Directions ; (41) 3015-6101. Call Now ; More Info. Offerings for João Callas Decoração de Festas.', 'HARDSHIP - ULTIMA OPÇÃO ""AO VIVO"" ESPAÇO CALLAS CURITIBA-PR 26/05/07MY SPACEwww.myspace.com/hardshipmusicFOTOLOGwww.fotolog.com/hardship.', 'HARDSHIP - ANTÍTESE ""AO VIVO"" ESPAÇO CALLAS CURITIBA-PR26/05/07MY SPACEwww.myspace.com/hardshipmusicFOTOLOGwww.fotolog.com/hardship Views: 0Comments: 0Play.', 'HARDSHIP - RETICÊNCIAS ""AO VIVO"" ESPAÇO CALLAS CURITIBA-PR. 335 views 15 years ago. hardshiprock. hardshiprock. 2 subscribers. Subscribe.', 'Home /; Brazil /; Curitiba, State of Paraná /; Callas /; Callas menu\xa0...', 'Get Espaço Alternativo Callas, Curitiba, Brazil setlists - view them, share them, discuss them with other Espaço ... City Curitiba, Paraná, Brazil.']"
SOTTILE,NAO DISPONIBILIZADO,"['https://www.tripadvisor.com/Restaurant_Review-g303441-d3259867-Reviews-Sottile_Gastronomia-Curitiba_State_of_Parana.html', 'https://m.facebook.com/people/Sottile-Gastronomia/100069075932030/', 'https://sotile.com.br/', 'https://www.yelp.com/biz/sottile-gastronomia-curitiba', 'https://www.instagram.com/sotilepasticceria/?hl=en', 'https://www.solutudo.com.br/empresas/pr/curitiba/restaurantes/sottile-2816344', 'https://restaurantguru.com.br/Sottile-Gastronomia-Curitiba']","['Sottile Gastronomia, Curitiba, Brazil. 69 likes · 4 were here. Italian Restaurant.', 'E cada uma das nossas criações é minuciosamente pensada para ser única, inovadora e saborosa aos olhos de quem vê e daqueles que experimentam os nossos\xa0...', 'Rated 3.6/5 with Sottile Gastronomia in Curitiba, reviews by real people. Yelp is a fun and easy way to ... Photo of Sottile Gastronomia - Curitiba, PR, BR.', 'piattorotisseria. PIATTO O PASTIFÍCIO | Massas artesanais · confeitaria_holandesa. Confeitaria Holandesa · anneclairebaby. Da Inglaterra para o seu bebê · aspptur.', 'A empresa Sottile trabalha desde 1999 na categoria Restaurantes na cidade de Curitiba, PR na Rua Comendador Araujo, Nº 268 - Lj Ca 19 - Centro.', 'Nov 1, 2022 — Sottile Gastronomia, #124 entre Curitiba restaurantes italianos: 188 avaliações e 17 fotos detalhadas. Encontrar no mapa e ligar para\xa0...']"
COM@PIZZA,+55 41 3274-5914,"['https://www.tripadvisor.com/Restaurant_Review-g303441-d5346296-Reviews-Com_Pizza-Curitiba_State_of_Parana.html', 'https://m.yelp.com/biz/com-pizza-curitiba', 'https://restaurantguru.com/Com-Pizza-pizzas-e-calzones-Curitiba-2', 'https://www.instagram.com/pizzacompizza/', 'https://foursquare.com/v/com-pizza--pizzas-e-calzones/4dc8683b1838d0d8f4a86ef4', 'https://www.tripadvisor.co/Restaurant_Review-g303441-d5346296-Reviews-Com_Pizza-Curitiba_State_of_Parana.html', 'https://www.facebook.com/mafiadapizzacuritiba/photos/']","[""#1,145 of 4,965 Restaurants in Curitiba. There aren't enough food, service, value or atmosphere ratings for Com@Pizza, PR yet. Be one of the first to write\xa0..."", 'R. Renato Polatti 2671 lj 3. Curitiba - PR 81230-170. Brazil. Directions. (41) 3274-5914. Call Now. More Info. Menu for Com@ Pizza. Known For.', 'Savor Italian food that will combine many elements of culinary traditions. Ordering nicely cooked pizza and tasty calzones is a pleasant experience here.', '222 Followers, 463 Following, 26 Posts - See Instagram photos and videos from Pizza com Pizza (@pizzacompizza)', 'See 2 tips from 37 visitors to Com@ Pizza - Pizzas e Calzones. ""Preço justo e pizza de ótima qualidade !"" ... Curitiba, PR 81230-170', 'Todavía no hay suficientes calificaciones sobre comida, servicio, precio o ambiente para Com@Pizza, PR. Sé uno de los primeros en escribir una opinión.', 'Mafia da Pizza, Curitiba, Brazil. 322 likes · 35 were here. Pizza place.']"
HELGA & FRITZ RESTAURANTE,NAO DISPONIBILIZADO,"['https://www.tripadvisor.com/Restaurant_Review-g303441-d7863086-Reviews-Helga_Fritz_Restaurante-Curitiba_State_of_Parana.html', 'https://www.tripadvisor.com.br/Restaurant_Review-g303441-d7863086-Reviews-Helga_Fritz_Restaurante-Curitiba_State_of_Parana.html', 'https://restaurantguru.com.br/Helga-and-Fritz-Restaurante-Curitiba', 'https://www.apontador.com.br/local/pr/curitiba/restaurantes/C406223F045C0D5C0E/helga__fritz_restaurante.html', 'https://www.econodata.com.br/consulta-empresa/05303125000104-SORAYA-CALDAS-RIBEIRO-CIA-LTDA', 'https://restaurantespertodemim.com/e/helga-fritz-restaurante-ayanpp/', 'https://cnpj.biz/05303125000104', 'https://www.turismo2rodas.com/pr/curitiba/guia/helga-fritz-restaurante-05303125000104/amp/', '/search?q=HELGA+%26+FRITZ+RESTAURANTE,+CURITIBA+-+PR&tbm=isch&source=univ&fir=1pZbin74M4_BaM%252C6cvF5qHsF-GbIM%252C_%253BFBotakuVD0d8oM%252CZ_AO3mwRkHKUTM%252C_%253BIFhYypUBs9pfSM%252CsEeTZIm9JEaP2M%252C_%253BqiatcbsS-ZtE3M%252C488A8VOU6_paUM%252C_%253Bvcx2DrJkgrv6HM%252CP4wCn8qM3TsrpM%252C_%253B5LNofY1OB3sH-M%252CJaTlMh_wF5_J-M%252C_%253BiWoKRKSHDiYojM%252CHpjOVuoju2SAiM%252C_%253BstTvNtRHZrzuGM%252C488A8VOU6_paUM%252C_%253BgjWtK_Rb5Bw-WM%252CP4wCn8qM3TsrpM%252C_%253BXzSBFuTXODgDzM%252Cdy5Sz_M63cAKGM%252C_&usg=AI4_-kQP8dPGBCD0tgH15tIOSJopuCMJdQ&sa=X&ved=2ahUKEwiYjNyi9I_9AhX4EWIAHco6DHMQjJkEegQILxAC']","['Helga & Fritz Restaurante, Curitiba: See 2 unbiased reviews of Helga & Fritz Restaurante, rated 4 of 5 on Tripadvisor and ranked #3542 of 6919 restaurants\xa0...', 'Helga & Fritz Restaurante, PR ainda não recebeu pontuações suficientes para a comida, serviço, preço e ambiente. Seja uma das primeiras pessoas a deixar\xa0...', 'Nov 1, 2022 — Helga & Fritz Restaurante fica perto da UFPR - Federal University. O menu deste restaurante é recomendado para os amantes da culinária.', 'Encontre qual o telefone, o endereço, as fotos e as avaliações do Helga & Fritz Restaurante ... em Rua Amintas de Barros, 571, 80060-200, Centro, Curitiba, PR.', 'Consulte o CNPJ da HELGA & FRITZ RESTAURANTE de Curitiba, PR, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...', 'Veja o Endereço, Telefone, Localização e CNPJ da empresa Helga & Fritz Restaurante, para encontrar Restaurantes em Rua Amintas de Barros, Centro, Curitiba -\xa0...', 'Todos os dados da empresa Helga & Fritz Restaurante Soraya Caldas Ribeiro & Cia. LTDA com CNPJ 05.303.125/0001-04 - 05303125000104 de Curitiba/PR. Endereço.', 'Helga & Fritz Restaurante em Curitiba, Paraná. Acesse agora e confira ✆ telefones, endereço e horários de atendimento dessa empresa | Turismo2Rodas.']"
LANCHONETE E RESTAURANTE MEI YING,NAO DISPONIBILIZADO,"['https://www.tripadvisor.com.br/Restaurant_Review-g303441-d5340988-Reviews-Lanchonete_e_Restaurante_Mei_Ying-Curitiba_State_of_Parana.html', 'https://restaurantguru.com.br/Lanchonete-The-brothers-Curitiba', 'https://www.solutudo.com.br/pr/curitiba/restaurantes/lanchonete-e-restaurante-mei-ying-2819213', 'https://www.descubraonline.com/guia/pr/curitiba/lanchonete-e-restaurante-mei-ying-03764460000184/', 'https://cnpj.biz/03764460000184', 'https://www.tripadvisor.co/Restaurant_Review-g303441-d5340988-Reviews-Lanchonete_e_Restaurante_Mei_Ying-Curitiba_State_of_Parana.html', 'https://www.guiatelefone.com/curitiba-pr/restaurantes/1446617/lanchonete-e-restaurante-mei-ying', 'https://www.sluurpy.com.br/curitiba/restaurante/1333608/lanchonete-e-restaurante-mei-ying', 'http://cnpj.info/Huang-Junyuan-Lanchonete-e-Restaurante-Mei-Ying']","['Lanchonete e Restaurante Mei Ying, PR ainda não recebeu pontuações suficientes para a comida, serviço, preço e ambiente. Seja uma das primeiras pessoas a\xa0...', 'Lanchonete e Restaurante Mei Ying, #9511 entre Curitiba restaurantes: 5 avaliações. Encontrar no mapa e ligar para reservar uma mesa.', 'Restaurantes em Curitiba, PR | Lanchonete e restaurante mei ying em ... Avenida Comendador Franco, 6005, Uberaba - Loja 1 E 2 Curitiba/PR - CEP 81560-001\xa0...', 'Confira abaixo os telefones, endereço e e-mail para contato de Lanchonete E Restaurante Mei Ying em Curitiba, Paraná. HUANG JUNYUAN com o CNPJ 03.764.460/\xa0...', 'CNPJ: 03.764.460/ ; Inscrição Estadual PR: 90211139-53 ; Razão Social: Huang Junyuan ; Nome Fantasia: Lanchonete e Restaurante Mei Ying ; Data da Abertura: 17/04/\xa0...', 'Todavía no hay suficientes calificaciones sobre comida, servicio, precio o ambiente para Lanchonete e Restaurante Mei Ying, PR.', 'Lanchonete e Restaurante Mei Ying, o melhor lugar para comer da região. Aqui você encontra a comida mais deliciosa da cidade de Curitiba, PR. Espaço ideal para\xa0...', 'Lanchonete E Restaurante Mei Ying, Curitiba: navegue nos menu, leia acima de 5 revisões dos usuários de Sluurpy com uma classificação de 80/100 e verifique\xa0...', 'Consulta CNPJ da empresa Huang Junyuan | Lanchonete e Restaurante Mei Ying. ... Fantasia nome, LANCHONETE E RESTAURANTE MEI YING ... CURITIBA - PR 81560-001\xa0...']"
RESTAURANTE ASPARGOS,NAO DISPONIBILIZADO,"['https://www.tripadvisor.com.br/LocationPhotoDirectLink-g303441-d3952778-i60748067-Restaurante_Tartine-Curitiba_State_of_Parana.html', 'https://restaurantguru.com.br/Aspargus-Curitiba', 'https://m.facebook.com/people/Restaurante-Aspargus/100069839612245/', 'https://www.solutudo.com.br/empresas/pr/curitiba/restaurantes/restaurante-aspargos-2803100', 'https://www.econodata.com.br/consulta-empresa/00735872000106-RICARDO-FERNANDES-DE-SOUZA', 'https://www.descubraonline.com/guia/pr/curitiba/restaurante-aspargos-00735872000106/', 'https://cnpj.biz/00735872000106', 'https://www.waze.com/live-map/directions/restaurante-aspargus-r.-nilo-pecanha-curitiba?to=place.w.203621898.2036415586.3273335']","['Jan 5, 2023 — Restaurante Aspargus, #3414 entre Curitiba restaurantes: 146 avaliações e 26 fotos detalhadas. Encontrar no mapa e ligar para reservar uma mesa.', 'Restaurante Aspargus, Curitiba, Brazil. Restaurant.', 'A empresa Restaurante Aspargos trabalha desde 1995 na categoria Restaurantes na cidade de Curitiba, PR na Rua David Carneiro, Nº 469 - Sao Francisco.', 'Consulte o CNPJ da RESTAURANTE ASPARGOS de Curitiba, PR, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...', 'Restaurante Aspargos em Curitiba, Paraná. Acesse agora e confira ✆ Telefones, Endereço, E-mail, Situação, CNAEs, Data de Abertura...', 'Todos os dados da empresa Restaurante Aspargos Ricardo Fernandes de Souza com CNPJ 00.735.872/0001-06 - 00735872000106 de Curitiba/PR. Telefone, Endereço...', 'Driving directions. Restaurante AspargusR. Nilo Peçanha, Curitiba, Paraná, Brazil. Restaurante Aspargus. R. Nilo Peçanha, Curitiba, Paraná, Brazil.']"
K W B,NAO DISPONIBILIZADO,"['https://restaurantguru.com/K-W-B-Curitiba', 'https://www.solutudo.com.br/empresas/pr/curitiba/industrias/kwb-industria-e-comercio-de-equipamentos-ambientais-ltda-2823637', 'https://www.econodata.com.br/consulta-empresa/04513474000198-KWB-COMERCIO-DE-EQUIPAMENTOS-AMBIENTAIS-EIRELI', 'https://www.instagram.com/kwbtransportes/', '/search?q=K+W+B,+CURITIBA+-+PR&tbm=isch&source=univ&fir=RJpQlnw_ZpwPrM%252CQCocmGySgTCwEM%252C_%253Byg1xvagHyMnafM%252CmeoAjBADdxD_dM%252C_%253BU3_b9iR8_7ZSQM%252CObCFDsbnlP_vpM%252C_%253Bw-EkplZQ5p5WiM%252CDOk8PgVt8V3F5M%252C_%253BBizh3dtS-Q7ErM%252CYusTCFFDGf44XM%252C_%253B6_5n9hIE5bF6vM%252CmYFXJOjAvo6Z6M%252C_%253B2XL_p8BA6FYPwM%252C1BF40u2_rZft6M%252C_%253B6i8LUYKdxOCmAM%252CDOk8PgVt8V3F5M%252C_%253BRaZJFg-bvYC_qM%252CCDo2iG5RPg5v7M%252C_%253BM63eNUtIbujJOM%252CDOk8PgVt8V3F5M%252C_&usg=AI4_-kSm6DglLWP0P0Yy6DNRAr_y9UGyKw&sa=X&ved=2ahUKEwj4iPGz9I_9AhVJEFkFHT7tDtcQjJkEegQIHRAC', 'https://www.descubraonline.com/guia/pr/curitiba/k-w-b-05929384000145/', 'https://restaurantespertodemim.com/e/k-w-b-restaurante-eireli-bajmmc/', 'https://pr.linkedin.com/company/kwb-comunica%C3%A7%C3%A3o']","['K W B, #16823 among Curitiba restaurants. Find on the map and call to book ... #16823 of 17955 restaurants in Curitiba ... Curitiba, State of Paraná, Brazil.', 'Kwb Industria E Comercio De Equipamentos Ambientais Ltda ; Endereço. Rua Augusto Zibarth, 393, Uberba - Brcao A Curitiba/PR - CEP 81560-360 ; Telefones. (41) 3019\xa0...', 'Consulte o CNPJ da KWB COMERCIO DE EQUIPAMENTOS AMBIENTAIS EIRELI de Curitiba, PR, seus sócios e contatos como telefones, emails e website,\xa0...', 'Fretes em Curitiba e Região Metropolitana, viagens para interior e litoral. Agilidade e Confiança, solicite um orçamento no: Whatsapp: (41) 99522-4996.', 'K W B. Confira abaixo os telefones, endereço e e-mail para contato de K W B em Curitiba, Paraná. K W B RESTAURANTE EIRELI com o CNPJ 05.929.384/0001-45,\xa0...', 'K W B em Curitiba desde 2003. Acesse agora e confira Telefones, whatsapp, Endereço e Localização da empresa, para encontrar Restaurantes.', 'KWB Comunicação | 1061 seguidores en LinkedIn. Juntos escolhemos ser exponenciais. | Com 27 anos de caminhada, a disrupção sempre esteve presente na KWB,\xa0...']"
BISTRO ACONCHEGO,+55 41 3344-9117,"['https://pt-br.facebook.com/aracidoris/', 'https://restaurantguru.com.br/Bistro-Aconchego-Curitiba', 'https://www.solutudo.com.br/pr/curitiba/restaurantes/bistro-aconchego-2834386', 'https://www.top-rated.online/cities/Curitiba/place/p/2323483/Restaurante+Bistr%C3%B4+Aconchego', 'https://www.descubraonline.com/guia/pr/curitiba/bistro-aconchego-06042975000169/', 'https://www.diariocidade.com/pr/curitiba/guia/bistro-aconchego-06042975000169/', 'https://www.benditoguia.com.br/empresa/bistro-aconchego-uberaba-curitiba-pr', '/search?q=BISTRO+ACONCHEGO,+CURITIBA+-+PR&tbm=isch&source=univ&fir=2ymvIw_h0-CpCM%252C1Gfh3BjFCEkkNM%252C_%253BVC8CbHivkQS-6M%252CIcsJV-cMClzEzM%252C_%253BSApL-R11wOffYM%252CVOO7DkJ0gJssAM%252C_%253BbxKz9K_fi2P5WM%252C1Gfh3BjFCEkkNM%252C_%253BJ2_CA-sFL3YgHM%252C-skkt_kvxAPiUM%252C_%253BJgCuDrkrfoxOqM%252Csr2k8JpwBAiJNM%252C_%253BAIkH0E0rqKnj2M%252CIcsJV-cMClzEzM%252C_%253BKp3ixUjbDpWPFM%252C1Gfh3BjFCEkkNM%252C_%253BI0UZtsj_6FUbWM%252Csr2k8JpwBAiJNM%252C_%253BnWBNy8H4NXolKM%252CVdS9WK52SkwNtM%252C_&usg=AI4_-kTVlvrK2BI5VOZVemsaTMbJFHNgmA&sa=X&ved=2ahUKEwismMy59I_9AhVcFVkFHU0gBw8QjJkEegQILhAC']","['O menu real dos Restaurante Bistrô Aconchego. Preços e opiniões dos visitantes sobre os pratos.', 'Bistro Aconchego ; Endereço. Rua Capitao Zeppin, 151, Uberaba Curitiba/PR - CEP 81530-540 ; Telefones. (41) 3296-2279\xa0...', 'Dec 7, 2022 — Restaurante Bistrô Aconchego is Restaurante Bistrô Aconchego - Down home cooking ... Zeppin, 151 - Uberaba, Curitiba - PR, 81530-540, Brazil\xa0...', 'Confira abaixo os telefones, endereço e e-mail para contato de Bistro Aconchego em Curitiba, Paraná. JANECZKO E CIA LTDA com o CNPJ 06.042.975/0001\xa0...', 'Bistro Aconchego em Curitiba - PR, Paraná. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Diário Cidade.', 'Bistrô Aconchego Uberaba Curitiba PR - Restaurante em Curitiba localizada no endereço R. Cap. Zeppin, 151 - Uberaba, Curitiba - PR, 81530-540, Brazil.']"
RESTAURANTE KAMILA 2,+55 41 3209-6061,"['https://business.google.com/website/churrascariakamila2', 'https://restaurantguru.com.br/Churrascaria-Kamila2-Curitiba', 'https://www.facebook.com/restaurantekamila/?locale=pt_BR', 'https://www.solutudo.com.br/pr/curitiba/restaurantes/restaurante-kamila-2-2826005', 'https://pt.foursquare.com/v/churrascaria-kamila-2/4fcb7915e4b067457c793a7d', 'https://www.diariocidade.com/pr/curitiba/guia/restaurante-kamila-2-04631955000106/', 'https://applocal.com.br/empresa/restaurante-kamila-2/curitiba/pr/12677892', 'https://guiafacil.com/site/churrascaria-kamila-ii/curitiba/pr/4132464516/', 'https://restaurantespertodemim.com/e/restaurante-kamila-2-argrve/']","['Restaurante Kamila, Curitiba. 322 curtidas · 94 estiveram aqui. Há mais de 20 anos servimos almoço e marmitex de segunda a sábado com cardápio variado....', 'A empresa Restaurante Kamila 2 trabalha há mais de 21 anos na categoria Restaurantes na cidade de Curitiba, PR na Rua Joaquim Simoes, Nº 78 - Pinheirinho.', 'Ver 3 dicas de 40 clientes para Churrascaria kamila 2. ... churrascaria kamila 2 curitiba •; churrascaria kamila 2 curitiba •; restaurante kamila curitiba •.', 'A empresa Restaurante Kamila 2, localizada no bairro Pinheirinho, em Curitiba-PR foi fundada em 2001. A atividade principal da empresa é Restaurantes e\xa0...', 'Restaurantes em Curitiba, PR Ligue ☎ (41)... Restaurante Kamila 2 oferece pratos típicos da sua região. A nossa equipe é comprometida em levar delícias em\xa0...', 'CHURRASCARIA KAMILA II tem como foco o segmento de Churrascarias em Curitiba. Você pode localizá-lo em Rua Joaquim Simões, 78 no bairro Pinheirinho em C...', 'Veja o Endereço, Telefone, Localização e CNPJ da empresa Restaurante Kamila 2, para encontrar Restaurantes em Rua Joaquim Simoes, Pinheirinho, Curitiba - PR\xa0...']"
BUFFET TERRA PAMPEANA,+55 41 3349-4254,"['https://www.terrapampeana.com.br/', 'https://www.facebook.com/people/Buffet-Terra-Pampeana/100064254656362/', 'https://pt-br.facebook.com/Buffet-Terra-Pampeana-205436146145547/', 'https://www.casamentos.com.br/salao-casamento/terra-pampeana--e112267', '/search?q=BUFFET+TERRA+PAMPEANA,+CURITIBA+-+PR&tbm=isch&source=univ&fir=VtSj1uu6LhQxrM%252CRIa3RkiEqq8Q6M%252C_%253B8FWuR-uz7SRZhM%252CRIa3RkiEqq8Q6M%252C_%253BwjFkmYPo2hb-VM%252CsJj8FHViWqRiSM%252C_%253Bt36Eom_J1j6LKM%252CqedSBE7W449XuM%252C_%253BbJta08w2LCXXWM%252CqedSBE7W449XuM%252C_%253B5an8bJtnVXLW0M%252CqedSBE7W449XuM%252C_%253BgkQ9qdOo31-yGM%252Cs4g-XS3QADKhNM%252C_%253BmdVByx0y0U8VYM%252CqedSBE7W449XuM%252C_%253BHega44k-9UJ6dM%252CRIa3RkiEqq8Q6M%252C_%253BovovlJzhjnae-M%252CfNhpLo0fELeJXM%252C_&usg=AI4_-kQhngC5GwWXEvwXXLSzhnkaGe_10w&sa=X&ved=2ahUKEwiE2qXF9I_9AhVNEGIAHag6CEkQjJkEegQICRAC', 'https://www.solutudo.com.br/empresas/pr/curitiba/restaurantes/buffet-terra-pampeana-2815266', 'https://www.apontador.com.br/local/pr/curitiba/restaurantes/C4046743621C1N1C11/buffet_terra_pampeana.html', 'https://guiafacil.com/site/buffet-terra-pampeana/curitiba/pr/4133494254/']","[""No mercado, a empresa está localizada na Rua Helio Dirceu Woitikiw, Nº 191 - Casa' no bairro Pinheirinho em Curitiba - PR, CEP 81870-350. A empresa Buffet Terra\xa0..."", 'Buffet Terra Pampeana ... Dom à Sáb: 11:30 às 14:30. ver telefone. +55 41 3349-5451 +55 41 3349-4254.', 'BUFFET TERRA PAMPEANA tem como foco o segmento de Buffet em Curitiba. Você pode localizá-lo em Rua Hélio Dirceu Woitikiw, 203 no bairro Pinheirinho em C...']"
